exclude_outliers,window,model,RMSE,MAE,R2
False,full_32_42,ExtraTrees,0.010448665809492597,0.009309782237469854,0.9689057675799638
False,full_32_42,RandomForest,0.01089353150328506,0.009591672335167365,0.9698720544471628
False,full_32_42,Ridge,0.011996991810317815,0.01100589478693815,0.9611229819147024
False,full_32_42,ElasticNet,0.01218235238572721,0.011340432633857851,0.9605284543083963
False,full_32_42,CatBoost,0.01356270483043398,0.011657150987294432,0.956308001154453
False,full_32_42,XGBoost,0.013951451278390032,0.011406926291105655,0.9401110264250079
False,full_32_42,SVR,0.02336606104945248,0.018835251267142812,0.8678761318602011
False,full_32_42,HistGB,0.03522883690483129,0.02950704713215648,0.7650474718044039
False,full_32_42,LightGBM,0.0380454059228016,0.031860492041218345,0.7310377091914417
False,medium_35_40,ExtraTrees,0.010603997016880343,0.009099245888194822,0.9689673342529488
False,medium_35_40,RandomForest,0.011506239044481807,0.010154285668730166,0.9655669106219987
False,medium_35_40,Ridge,0.013960807151966315,0.012095605104938786,0.9510961198202104
False,medium_35_40,XGBoost,0.014778857480709253,0.012166272139023299,0.9431586699546333
False,medium_35_40,CatBoost,0.015015802335833928,0.012707993975237045,0.9464617402317538
False,medium_35_40,ElasticNet,0.015608261166069814,0.013502727995275573,0.9428707758357973
False,medium_35_40,SVR,0.027215728335783083,0.021868338265831407,0.8350058207714761
False,medium_35_40,HistGB,0.04221661202462204,0.03534456496327172,0.6545360906905031
False,medium_35_40,LightGBM,0.04234351338736812,0.035860080244589615,0.6454123845577122
False,narrow_36_385,ElasticNet,0.010447321470015642,0.00942030208743422,0.9691933931955294
False,narrow_36_385,Ridge,0.010526584598761235,0.009520206795695717,0.9683475245567064
False,narrow_36_385,ExtraTrees,0.01057083816725803,0.009657525919167034,0.9650685513733259
False,narrow_36_385,RandomForest,0.010808616691760618,0.009620977954726804,0.966076819866671
False,narrow_36_385,XGBoost,0.013332332997459917,0.011596976052579016,0.9467622574996163
False,narrow_36_385,CatBoost,0.013502564321200164,0.011339338242009441,0.9526797771133213
False,narrow_36_385,SVR,0.024888587709889366,0.02001381248158002,0.8740591648874625
False,narrow_36_385,LightGBM,0.039699412173791616,0.03341356830078647,0.7161981747801598
False,narrow_36_385,HistGB,0.040553430935356724,0.03278892268294148,0.7034433940401744
False,very_narrow_365_38,ExtraTrees,0.012313791901511249,0.009955355817785424,0.9672172893229314
False,very_narrow_365_38,RandomForest,0.013723485336810842,0.011058160310907821,0.9618739874366773
False,very_narrow_365_38,CatBoost,0.015616349290284284,0.012622558436462605,0.9518861010122427
False,very_narrow_365_38,XGBoost,0.017123915545765554,0.013776756988024597,0.9315384654692508
False,very_narrow_365_38,Ridge,0.02063721060892701,0.018778287905874227,0.9075421649854934
False,very_narrow_365_38,ElasticNet,0.021454298608996156,0.019890756183002827,0.8963610642372817
False,very_narrow_365_38,SVR,0.03185252382815943,0.027919752511289815,0.7170741432404019
False,very_narrow_365_38,HistGB,0.04007007448935433,0.032907461664768774,0.7119731426998509
False,very_narrow_365_38,LightGBM,0.04043277378513962,0.03364337948867308,0.7094432801330732
True,full_32_42,ExtraTrees,0.010706548487566426,0.009615759619620894,0.9576310721128618
True,full_32_42,RandomForest,0.012545427972846666,0.010934203312639935,0.9488821177521114
True,full_32_42,ElasticNet,0.012672378470048162,0.011995688302611291,0.9439032784863854
True,full_32_42,Ridge,0.013174895010901572,0.01212042069622393,0.9391172667216278
True,full_32_42,XGBoost,0.013659789165732206,0.011605880076049537,0.9287927785019454
True,full_32_42,CatBoost,0.018439905908097506,0.014880434066505438,0.890952649062249
True,full_32_42,SVR,0.03912460065494595,0.028923591941911964,0.5650679438016977
True,full_32_42,HistGB,0.04811056412801542,0.03909369556011834,0.21349638296922135
True,full_32_42,LightGBM,0.0496084593677143,0.04117392231440235,0.1854513071005923
True,medium_35_40,ExtraTrees,0.010978931641984302,0.009532189238488371,0.9581719907556259
True,medium_35_40,RandomForest,0.013146233349944442,0.011216163498338696,0.9452586238438764
True,medium_35_40,XGBoost,0.014521611050656389,0.012041940784201432,0.9276624306593091
True,medium_35_40,Ridge,0.017472973701735804,0.014929050996941001,0.9074247295573155
True,medium_35_40,ElasticNet,0.018564927747489246,0.016253453031523687,0.8955927685676859
True,medium_35_40,CatBoost,0.01971377949545273,0.015643355587488212,0.8844085166999
True,medium_35_40,SVR,0.04450396146012618,0.03354693481437043,0.4040372745677191
True,medium_35_40,HistGB,0.05303265756225445,0.04398234530053267,0.10627240782597891
True,medium_35_40,LightGBM,0.053132621602924666,0.04343764726786312,0.11561055026664935
True,narrow_36_385,ExtraTrees,0.010702606301223883,0.009952030007926488,0.9544639445560404
True,narrow_36_385,RandomForest,0.011505438928505909,0.010441893277890557,0.9534920129228184
True,narrow_36_385,ElasticNet,0.011891444716434916,0.011038739031282718,0.9512606202219114
True,narrow_36_385,Ridge,0.011951040184325376,0.010838847066377477,0.9502458834037146
True,narrow_36_385,XGBoost,0.013441075607898815,0.011619223982260944,0.935500401856258
True,narrow_36_385,CatBoost,0.01622019867332708,0.013367114931239285,0.907733366491415
True,narrow_36_385,SVR,0.030167898840652824,0.022728040117972432,0.7504979980528984
True,narrow_36_385,LightGBM,0.04814763790808137,0.03909633195372094,0.23240315409081935
True,narrow_36_385,HistGB,0.048716693186463524,0.03973811633416367,0.22036596738041095
True,very_narrow_365_38,ExtraTrees,0.013384690224648962,0.010976671539741975,0.9421897640921676
True,very_narrow_365_38,RandomForest,0.015809355347440567,0.012881872424169938,0.9181370111657277
True,very_narrow_365_38,XGBoost,0.017933819639436077,0.014780503183239832,0.8949798183360436
True,very_narrow_365_38,CatBoost,0.0199922275176559,0.01620513316947355,0.8746173223003957
True,very_narrow_365_38,Ridge,0.023136184273566607,0.021104456268676575,0.8401488781831411
True,very_narrow_365_38,ElasticNet,0.024064604928665363,0.022122641979396018,0.8199016144178246
True,very_narrow_365_38,SVR,0.03895278510112464,0.032532613722032935,0.5334902618827007
True,very_narrow_365_38,HistGB,0.04860909414650226,0.039254158402185615,0.2258605229648624
True,very_narrow_365_38,LightGBM,0.04956316361168928,0.04088575216520204,0.2086778865403472
