dataset,test_cell,deployment_model,expert_window,expert_model,expert_inner_rmse,expert_rank_score,expert_weight,expert_model_size_kb,n_features
Dataset 1,Cell01,MAW-GME-full-36experts,narrow_36_385,ExtraTrees,0.01044489905754965,0.011966565699179773,0.05159552008847932,1911.5068359375,19
Dataset 1,Cell01,MAW-GME-full-36experts,narrow_36_385,RandomForest,0.011203032532157878,0.012741689418479495,0.048456777749903736,1249.2119140625,19
Dataset 1,Cell01,MAW-GME-full-36experts,medium_35_40,ExtraTrees,0.01113235424180162,0.012754186917656122,0.04840929623899864,1911.3525390625,19
Dataset 1,Cell01,MAW-GME-full-36experts,full_32_42,ExtraTrees,0.011387576402795214,0.013046537748137391,0.04732452667147028,1910.2001953125,19
Dataset 1,Cell01,MAW-GME-full-36experts,full_32_42,RandomForest,0.012264708058547449,0.013949177035106817,0.044262199318385625,1248.8896484375,19
Dataset 1,Cell01,MAW-GME-full-36experts,medium_35_40,RandomForest,0.012834180415212108,0.014596831822218664,0.04229830701717454,1249.1982421875,19
Dataset 1,Cell01,MAW-GME-full-36experts,very_narrow_365_38,RandomForest,0.013672163946002912,0.015550028223979896,0.03970547776051156,1249.2802734375,19
Dataset 1,Cell01,MAW-GME-full-36experts,very_narrow_365_38,ExtraTrees,0.013784582250184581,0.01579305003818322,0.039094494378200596,1913.8251953125,19
Dataset 1,Cell01,MAW-GME-full-36experts,narrow_36_385,Ridge,0.015536621472935212,0.015909518691980904,0.038808295885505766,2.3203125,19
Dataset 1,Cell01,MAW-GME-full-36experts,full_32_42,ElasticNet,0.01572180865693543,0.016103102342640885,0.03834176175014389,2.3623046875,19
Dataset 1,Cell01,MAW-GME-full-36experts,full_32_42,Ridge,0.016015766696164408,0.01639618248613866,0.03765640696151297,2.279296875,19
Dataset 1,Cell01,MAW-GME-full-36experts,narrow_36_385,ElasticNet,0.016135730127731934,0.01653097532696085,0.03734935847232094,2.4033203125,19
Dataset 1,Cell01,MAW-GME-full-36experts,narrow_36_385,XGBoost,0.015312090178306217,0.01709166865859867,0.036124110990509356,340.6650390625,19
Dataset 1,Cell01,MAW-GME-full-36experts,full_32_42,XGBoost,0.015496560271482048,0.01729708703379901,0.03569510511913526,340.5732421875,19
Dataset 1,Cell01,MAW-GME-full-36experts,medium_35_40,Ridge,0.016993286710714303,0.017399743275274847,0.03548450872316094,2.306640625,19
Dataset 1,Cell01,MAW-GME-full-36experts,narrow_36_385,CatBoost,0.016053831484194633,0.017549593084216004,0.035181519144022316,104.994140625,19
Dataset 1,Cell01,MAW-GME-full-36experts,medium_35_40,XGBoost,0.01617976948483111,0.018061697717669772,0.03418401551661223,348.97265625,19
