dataset,protocol,test_cell,row_index,cycle_number,stress_scenario,scenario_family,allowed_windows,removed_feature_group,measurement_source,model,window,selected_model,selected_window,mode,availability,true_soh,pred_soh,abs_error,feature_assembly_time_ms,inference_time_ms,total_update_time_ms,model_size_kb,n_experts,measurement_val_rmse
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,0,0.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Best-single-selected,Best-single-selected,per_fold_selected,ExtraTrees,narrow_36_385,measurement_update,1.0,1.0,0.9998327347440854,0.00016726525591459485,0.3716500000336964,94.22231900020961,94.5939690002433,1911.5068359375,1,0.010444899057549632
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,1,41.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Best-single-selected,Best-single-selected,per_fold_selected,ExtraTrees,narrow_36_385,measurement_update,1.0,0.9456190529227664,0.9501573100907897,0.004538257168023363,0.45062999993206176,79.2642070000511,79.71483699998316,1911.5068359375,1,0.010444899057549632
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,2,59.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Best-single-selected,Best-single-selected,per_fold_selected,ExtraTrees,narrow_36_385,measurement_update,1.0,0.9187197468101648,0.9236123314112848,0.004892584601120076,0.4693599998972786,98.2741799998621,98.74353999975938,1911.5068359375,1,0.010444899057549632
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,3,98.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Best-single-selected,Best-single-selected,per_fold_selected,ExtraTrees,narrow_36_385,measurement_update,1.0,0.8968224477968175,0.9141803750290503,0.017357927232232728,0.546790000043984,93.8969779999752,94.44376800001919,1911.5068359375,1,0.010444899057549632
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,4,134.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Best-single-selected,Best-single-selected,per_fold_selected,ExtraTrees,narrow_36_385,measurement_update,1.0,0.8775754212904102,0.8995465898818021,0.02197116859139192,0.5061910001131764,86.09118699996543,86.5973780000786,1911.5068359375,1,0.010444899057549632
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,5,175.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Best-single-selected,Best-single-selected,per_fold_selected,ExtraTrees,narrow_36_385,measurement_update,1.0,0.8659219407337793,0.8738962065814646,0.007974265847685347,0.5465899998853274,95.0587390000237,95.60532899990903,1911.5068359375,1,0.010444899057549632
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,6,216.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Best-single-selected,Best-single-selected,per_fold_selected,ExtraTrees,narrow_36_385,measurement_update,1.0,0.8441512446516494,0.8542229999700661,0.010071755318416753,1.1417199998504657,102.93720900017433,104.0789290000248,1911.5068359375,1,0.010444899057549632
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,7,257.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Best-single-selected,Best-single-selected,per_fold_selected,ExtraTrees,narrow_36_385,measurement_update,1.0,0.8164720945178325,0.8272547293272383,0.010782634809405778,0.5392010000377923,87.54255799999555,88.08175900003334,1911.5068359375,1,0.010444899057549632
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,8,298.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Best-single-selected,Best-single-selected,per_fold_selected,ExtraTrees,narrow_36_385,measurement_update,1.0,0.7743791817179085,0.7807578464296386,0.006378664711730098,0.571660000105112,90.98353800004588,91.555198000151,1911.5068359375,1,0.010444899057549632
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,9,339.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Best-single-selected,Best-single-selected,per_fold_selected,ExtraTrees,narrow_36_385,measurement_update,1.0,0.7466560722603011,0.7551341615339702,0.00847808927366911,0.5196699999032717,81.4429670001573,81.96263700006057,1911.5068359375,1,0.010444899057549632
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,10,380.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Best-single-selected,Best-single-selected,per_fold_selected,ExtraTrees,narrow_36_385,measurement_update,1.0,0.694138598795892,0.709022185457765,0.01488358666187295,0.4852900001424132,93.65437799988285,94.13966800002527,1911.5068359375,1,0.010444899057549632
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,0,0.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,Fast-MAW-GME-K3-latency-aware,adaptive_windows,measurement_update,1.0,1.0,0.9986565498557294,0.0013434501442706193,1.1789300001510128,255.28004300008433,256.45897300023535,5072.0712890625,3,0.010916508751521059
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,1,41.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,Fast-MAW-GME-K3-latency-aware,adaptive_windows,measurement_update,1.0,0.9456190529227664,0.9487462513955237,0.003127198472757331,1.0188700000526296,284.20208600005026,285.2209560001029,5072.0712890625,3,0.010916508751521059
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,2,59.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,Fast-MAW-GME-K3-latency-aware,adaptive_windows,measurement_update,1.0,0.9187197468101648,0.9231125148101031,0.004392767999938374,1.2294600001041545,290.0248759999613,291.25433600006545,5072.0712890625,3,0.010916508751521059
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,3,98.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,Fast-MAW-GME-K3-latency-aware,adaptive_windows,measurement_update,1.0,0.8968224477968175,0.9134165953814839,0.016594147584666374,1.146820000030857,261.6532740000821,262.80009400011295,5072.0712890625,3,0.010916508751521059
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,4,134.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,Fast-MAW-GME-K3-latency-aware,adaptive_windows,measurement_update,1.0,0.8775754212904102,0.8946440494879235,0.017068628197513314,0.9218899999723362,257.4877839999772,258.4096739999495,5072.0712890625,3,0.010916508751521059
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,5,175.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,Fast-MAW-GME-K3-latency-aware,adaptive_windows,measurement_update,1.0,0.8659219407337793,0.8755675612677645,0.00964562053398521,1.3693600001261075,271.66286400006356,273.0322240001897,5072.0712890625,3,0.010916508751521059
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,6,216.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,Fast-MAW-GME-K3-latency-aware,adaptive_windows,measurement_update,1.0,0.8441512446516494,0.855428041312684,0.01127679666103465,1.2790410000889096,275.35636500010696,276.63540600019587,5072.0712890625,3,0.010916508751521059
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,7,257.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,Fast-MAW-GME-K3-latency-aware,adaptive_windows,measurement_update,1.0,0.8164720945178325,0.8265515654865216,0.010079470968689108,1.9996400001218717,274.2761539998355,276.2757939999574,5072.0712890625,3,0.010916508751521059
Dataset 1,BMS-3B_structured_missing_fast_pruned,Cell01,8,298.0,all_windows_available,consolidated_window_availability,full_32_42;medium_35_40;narrow_36_385;very_narrow_365_38,none,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,Fast-MAW-GME-K3-latency-aware,adaptive_windows,measurement_update,1.0,0.7743791817179085,0.7803502134181782,0.005971031700269691,1.2540699999590288,260.9694230000059,262.22349299996495,5072.0712890625,3,0.010916508751521059
