dataset,protocol,stress_scenario,measurement_source,model,window,rmse,mae,r2,n_eval,n_rows,n_predictions,measurement_update_count,prediction_only_count,no_measurement_count,mean_availability,mean_update_time_ms,median_update_time_ms,p95_update_time_ms,mean_feature_assembly_time_ms,mean_inference_time_ms,mean_model_size_kb,mean_n_experts,measurement_val_rmse
Dataset 1,BMS-3B_structured_missing_fast_pruned,all_windows_available,Best-single-selected,Best-single-selected,per_fold_selected,0.01149024187289315,0.009464925114056926,0.9819500535859933,58,58,58,58,0,0,1.0,35.176249258621155,2.1444000000201413,94.74567300019316,0.359033982747327,34.81721527587383,750.4757879849138,1.0,0.009330856207861936
Dataset 1,BMS-3B_structured_missing_fast_pruned,all_windows_available,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.011216305196875257,0.009265106582263975,0.9828004449753818,58,58,58,58,0,0,1.0,151.23967865520956,91.89369400019132,276.32973579999316,1.0705720862249328,150.16910656898463,2981.067736395474,3.0,0.010260042961884548
Dataset 1,BMS-3B_structured_missing_fast_pruned,all_windows_available,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.010907600004305962,0.008815552792580702,0.9837341792457497,58,58,58,58,0,0,1.0,252.41862318964178,178.2425775001002,442.1635721501275,1.553761241368569,250.86486194827322,5009.275121228448,5.0,0.0108810089509301
Dataset 1,BMS-3B_structured_missing_fast_pruned,best_window_only,Best-single-selected,Best-single-selected,per_fold_selected,0.011490241872893157,0.009464925114056938,0.9819500535859932,58,58,58,58,0,0,1.0,33.41786315516025,2.451475500038214,91.04733850017509,0.37625617240509796,33.041606982755155,750.4757879849138,1.0,0.009330856207861936
Dataset 1,BMS-3B_structured_missing_fast_pruned,best_window_only,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.011427092111655027,0.00955530533150296,0.98214791148,58,58,58,58,0,0,1.0,78.99885915516874,78.74518999994962,169.80025835014203,0.7055669310367538,78.29329222413199,2981.067736395474,3.0,0.010260042961884548
Dataset 1,BMS-3B_structured_missing_fast_pruned,best_window_only,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.011242664169258449,0.009298685515799463,0.9827195100681693,58,58,58,58,0,0,1.0,113.65670227587151,93.6484390001624,166.86245429991686,0.9409662241421693,112.71573605172934,5009.275121228448,5.0,0.0108810089509301
Dataset 1,BMS-3B_structured_missing_fast_pruned,best_window_unavailable,Best-single-selected,Best-single-selected,per_fold_selected,0.1651763559655556,0.1413108840546723,-2.7300386912721795,58,58,58,0,58,0,0.0,0.0,0.0,0.0,0.0,0.0,750.4757879849138,1.0,0.009330856207861936
Dataset 1,BMS-3B_structured_missing_fast_pruned,best_window_unavailable,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.04188223039124477,0.020378279253412426,0.7601845392866831,58,58,58,48,10,0,0.8275862068965517,66.36651401721213,77.68019499997081,92.03408084997591,0.3929803965351751,65.97353362067695,2981.067736395474,3.0,0.010260042961884548
Dataset 1,BMS-3B_structured_missing_fast_pruned,best_window_unavailable,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.011017122497236149,0.008514669635304445,0.9834058912510384,58,58,58,58,0,0,1.0,130.1739677069079,88.83401350010445,242.40064364986438,0.782468775876874,129.391498931031,5009.275121228448,5.0,0.0108810089509301
Dataset 1,BMS-3B_structured_missing_fast_pruned,icdva_shape_features_removed,Best-single-selected,Best-single-selected,per_fold_selected,0.04022640770181826,0.029577825944704456,0.7787720081217188,58,58,58,58,0,0,0.631578947368421,33.200692379323456,1.952204500071275,86.59031369999184,0.2708920862091716,32.92980029311428,750.4757879849138,1.0,0.009330856207861936
Dataset 1,BMS-3B_structured_missing_fast_pruned,icdva_shape_features_removed,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.045191061196661726,0.03644369314280011,0.7207953449477742,58,58,58,58,0,0,0.631578947368421,141.5902591896799,87.05790099998012,248.06185450026987,0.8104060000003552,140.77985318967956,2981.067736395474,3.0,0.010260042961884548
Dataset 1,BMS-3B_structured_missing_fast_pruned,icdva_shape_features_removed,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.047008907801194086,0.03815137603869987,0.6978810982915558,58,58,58,58,0,0,0.631578947368421,236.39925924138376,168.16902749997098,397.35322749995703,1.2606538620714454,235.13860537931234,5009.275121228448,5.0,0.0108810089509301
Dataset 1,BMS-3B_structured_missing_fast_pruned,only_full_32_42,Best-single-selected,Best-single-selected,per_fold_selected,0.14504539247961643,0.11026183519627045,-1.8762421764958614,58,58,58,12,46,0,0.20689655172413793,16.147896413795493,0.0,79.75374150009884,0.12074258620878968,16.027153827586705,750.4757879849138,1.0,0.009330856207861936
Dataset 1,BMS-3B_structured_missing_fast_pruned,only_full_32_42,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.08515180888764592,0.04675961656443754,0.008699485421435837,58,58,58,37,21,0,0.6379310344827587,67.8188384310433,77.41317549994164,165.39802749994124,0.3596077931080862,67.45923063793522,2981.067736395474,3.0,0.010260042961884548
Dataset 1,BMS-3B_structured_missing_fast_pruned,only_full_32_42,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.011101043350240284,0.008655347264005275,0.9831521234157494,58,58,58,58,0,0,1.0,99.12392570690983,90.73933100012255,175.29908465004382,0.6746862930977559,98.44923941381208,5009.275121228448,5.0,0.0108810089509301
Dataset 1,BMS-3B_structured_missing_fast_pruned,only_medium_35_40,Best-single-selected,Best-single-selected,per_fold_selected,0.1651763559655556,0.1413108840546723,-2.7300386912721795,58,58,58,0,58,0,0.0,0.0,0.0,0.0,0.0,0.0,750.4757879849138,1.0,0.009330856207861936
Dataset 1,BMS-3B_structured_missing_fast_pruned,only_medium_35_40,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.1476149751858019,0.1151116178959805,-1.9790542433337381,58,58,58,11,47,0,0.1896551724137931,14.603357172400765,0.0005499999815583578,79.12217615007648,0.08726639654516224,14.516090775855602,2981.067736395474,3.0,0.010260042961884548
Dataset 1,BMS-3B_structured_missing_fast_pruned,only_medium_35_40,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.12469898548494376,0.08422011649527715,-1.1259028576133567,58,58,58,23,35,0,0.39655172413793105,30.622208827586636,0.0007950000053824624,86.3539238500266,0.18127655172175483,30.44093227586488,5009.275121228448,5.0,0.0108810089509301
Dataset 1,BMS-3B_structured_missing_fast_pruned,only_narrow_36_385,Best-single-selected,Best-single-selected,per_fold_selected,0.07985667378993165,0.040513973972458754,0.12815353880967517,58,58,58,46,12,0,0.7931034482758621,16.397152758596068,1.8766300001971103,81.88249099985114,0.24202737930754037,16.155125379288528,750.4757879849138,1.0,0.009330856207861936
Dataset 1,BMS-3B_structured_missing_fast_pruned,only_narrow_36_385,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.01126573436534002,0.009373234179169616,0.982648517406806,58,58,58,58,0,0,1.0,59.988071155175774,73.48473999979888,155.2541721998523,0.6133681034372848,59.374703051738486,2981.067736395474,3.0,0.010260042961884548
Dataset 1,BMS-3B_structured_missing_fast_pruned,only_narrow_36_385,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.010993188728767795,0.00896115559084483,0.9834779115374667,58,58,58,58,0,0,1.0,111.61380027584559,85.93738599995504,167.74857599989446,0.9264757758430654,110.68732450000253,5009.275121228448,5.0,0.0108810089509301
Dataset 1,BMS-3B_structured_missing_fast_pruned,only_very_narrow_365_38,Best-single-selected,Best-single-selected,per_fold_selected,0.1651763559655556,0.1413108840546723,-2.7300386912721795,58,58,58,0,58,0,0.0,0.0,0.0,0.0,0.0,0.0,750.4757879849138,1.0,0.009330856207861936
Dataset 1,BMS-3B_structured_missing_fast_pruned,only_very_narrow_365_38,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.1651763559655556,0.1413108840546723,-2.7300386912721795,58,58,58,0,58,0,0.0,0.0006765517433638612,0.000470000031782547,0.00228950005976003,0.0006765517433638612,0.0,2981.067736395474,3.0,0.010260042961884548
Dataset 1,BMS-3B_structured_missing_fast_pruned,only_very_narrow_365_38,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.1651763559655556,0.1413108840546723,-2.7300386912721795,58,58,58,0,58,0,0.0,0.0007639655019249466,0.0005449999207485234,0.0027029999046135345,0.0007639655019249466,0.0,5009.275121228448,5.0,0.0108810089509301
Dataset 1,BMS-3B_structured_missing_fast_pruned,pmax_features_removed,Best-single-selected,Best-single-selected,per_fold_selected,0.03828307708885215,0.03044301064939811,0.7996306676262093,58,58,58,58,0,0,0.7368421052631577,33.09300143099602,2.1829344999559908,87.1176025000409,0.2767452586081633,32.81625617238786,750.4757879849138,1.0,0.009330856207861936
Dataset 1,BMS-3B_structured_missing_fast_pruned,pmax_features_removed,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.03282441773486683,0.02697237988447435,0.8526969845988593,58,58,58,58,0,0,0.7368421052631577,144.50091684479645,89.15268100008689,250.02188100021385,0.8606515516868088,143.64026529310962,2981.067736395474,3.0,0.010260042961884548
Dataset 1,BMS-3B_structured_missing_fast_pruned,pmax_features_removed,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.030090093414199014,0.02478194950813701,0.8762159615829549,58,58,58,58,0,0,0.7368421052631577,241.97168622418397,165.2644670000427,409.43357399986553,1.2627069655411167,240.70897925864284,5009.275121228448,5.0,0.0108810089509301
