window,model_name,inner_rmse,inner_mae,inner_valid_folds,inner_model_size_kb,rank_score,n_features,test_cell,dataset
narrow_36_385,ExtraTrees,0.01044489905754965,0.00949057098183741,4,1456.178466796875,0.011966565699179773,19,Cell01,Dataset 1
narrow_36_385,RandomForest,0.011203032532157878,0.009700656920203018,4,959.202880859375,0.012741689418479495,19,Cell01,Dataset 1
medium_35_40,ExtraTrees,0.01113235424180162,0.009617447580625384,4,1456.270263671875,0.012754186917656122,19,Cell01,Dataset 1
full_32_42,ExtraTrees,0.011387576402795214,0.010308638893624066,4,1455.926513671875,0.013046537748137391,19,Cell01,Dataset 1
full_32_42,RandomForest,0.012264708058547449,0.010565596961667648,4,959.197021484375,0.013949177035106817,19,Cell01,Dataset 1
medium_35_40,RandomForest,0.012834180415212108,0.010879380323535214,4,959.0830078125,0.014596831822218664,19,Cell01,Dataset 1
very_narrow_365_38,RandomForest,0.013672163946002912,0.010371093162690727,4,959.51806640625,0.015550028223979896,19,Cell01,Dataset 1
very_narrow_365_38,ExtraTrees,0.013784582250184581,0.011452925740185893,4,1457.547607421875,0.01579305003818322,19,Cell01,Dataset 1
narrow_36_385,Ridge,0.015536621472935212,0.013509221846495906,4,2.3203125,0.015909518691980904,19,Cell01,Dataset 1
full_32_42,ElasticNet,0.01572180865693543,0.014140346867520293,4,2.3623046875,0.016103102342640885,19,Cell01,Dataset 1
full_32_42,Ridge,0.016015766696164408,0.014161592813828821,4,2.279296875,0.01639618248613866,19,Cell01,Dataset 1
narrow_36_385,ElasticNet,0.016135730127731934,0.013928700171671438,4,2.4033203125,0.01653097532696085,19,Cell01,Dataset 1
narrow_36_385,XGBoost,0.015312090178306217,0.011516958987912055,4,332.9609375,0.01709166865859867,19,Cell01,Dataset 1
full_32_42,XGBoost,0.015496560271482048,0.011387833660251735,4,332.432373046875,0.01729708703379901,19,Cell01,Dataset 1
medium_35_40,Ridge,0.016993286710714303,0.014656463051256797,4,2.306640625,0.017399743275274847,19,Cell01,Dataset 1
narrow_36_385,CatBoost,0.016053831484194633,0.013464442725143078,4,104.486328125,0.017549593084216004,19,Cell01,Dataset 1
medium_35_40,XGBoost,0.01617976948483111,0.01194038794306931,4,334.5205078125,0.018061697717669772,19,Cell01,Dataset 1
