window,feature,exclude_outliers,n_features
full_32_42,pmax_full_32_42,False,19
full_32_42,pmax_voltage_full_32_42,False,19
full_32_42,ic_area_full_32_42,False,19
full_32_42,ic_mean_full_32_42,False,19
full_32_42,ic_std_full_32_42,False,19
full_32_42,peak_width_full_32_42,False,19
full_32_42,charge_time_window_full_32_42,False,19
full_32_42,q_delta_window_full_32_42,False,19
full_32_42,dva_mean_full_32_42,False,19
full_32_42,dva_std_full_32_42,False,19
full_32_42,dva_abs_mean_full_32_42,False,19
full_32_42,temp_mean_window_full_32_42,False,19
full_32_42,temp_max_window_full_32_42,False,19
full_32_42,pmax_norm_full_32_42,False,19
full_32_42,cycle_number,False,19
full_32_42,temp_mean,False,19
full_32_42,temp_max,False,19
full_32_42,temp_min,False,19
full_32_42,temp_std,False,19
medium_35_40,pmax_medium_35_40,False,19
medium_35_40,pmax_voltage_medium_35_40,False,19
medium_35_40,ic_area_medium_35_40,False,19
medium_35_40,ic_mean_medium_35_40,False,19
medium_35_40,ic_std_medium_35_40,False,19
medium_35_40,peak_width_medium_35_40,False,19
medium_35_40,charge_time_window_medium_35_40,False,19
medium_35_40,q_delta_window_medium_35_40,False,19
medium_35_40,dva_mean_medium_35_40,False,19
medium_35_40,dva_std_medium_35_40,False,19
medium_35_40,dva_abs_mean_medium_35_40,False,19
medium_35_40,temp_mean_window_medium_35_40,False,19
medium_35_40,temp_max_window_medium_35_40,False,19
medium_35_40,pmax_norm_medium_35_40,False,19
medium_35_40,cycle_number,False,19
medium_35_40,temp_mean,False,19
medium_35_40,temp_max,False,19
medium_35_40,temp_min,False,19
medium_35_40,temp_std,False,19
narrow_36_385,pmax_narrow_36_385,False,19
narrow_36_385,pmax_voltage_narrow_36_385,False,19
narrow_36_385,ic_area_narrow_36_385,False,19
narrow_36_385,ic_mean_narrow_36_385,False,19
narrow_36_385,ic_std_narrow_36_385,False,19
narrow_36_385,peak_width_narrow_36_385,False,19
narrow_36_385,charge_time_window_narrow_36_385,False,19
narrow_36_385,q_delta_window_narrow_36_385,False,19
narrow_36_385,dva_mean_narrow_36_385,False,19
narrow_36_385,dva_std_narrow_36_385,False,19
narrow_36_385,dva_abs_mean_narrow_36_385,False,19
narrow_36_385,temp_mean_window_narrow_36_385,False,19
narrow_36_385,temp_max_window_narrow_36_385,False,19
narrow_36_385,pmax_norm_narrow_36_385,False,19
narrow_36_385,cycle_number,False,19
narrow_36_385,temp_mean,False,19
narrow_36_385,temp_max,False,19
narrow_36_385,temp_min,False,19
narrow_36_385,temp_std,False,19
very_narrow_365_38,pmax_very_narrow_365_38,False,19
very_narrow_365_38,pmax_voltage_very_narrow_365_38,False,19
very_narrow_365_38,ic_area_very_narrow_365_38,False,19
very_narrow_365_38,ic_mean_very_narrow_365_38,False,19
very_narrow_365_38,ic_std_very_narrow_365_38,False,19
very_narrow_365_38,peak_width_very_narrow_365_38,False,19
very_narrow_365_38,charge_time_window_very_narrow_365_38,False,19
very_narrow_365_38,q_delta_window_very_narrow_365_38,False,19
very_narrow_365_38,dva_mean_very_narrow_365_38,False,19
very_narrow_365_38,dva_std_very_narrow_365_38,False,19
very_narrow_365_38,dva_abs_mean_very_narrow_365_38,False,19
very_narrow_365_38,temp_mean_window_very_narrow_365_38,False,19
very_narrow_365_38,temp_max_window_very_narrow_365_38,False,19
very_narrow_365_38,pmax_norm_very_narrow_365_38,False,19
very_narrow_365_38,cycle_number,False,19
very_narrow_365_38,temp_mean,False,19
very_narrow_365_38,temp_max,False,19
very_narrow_365_38,temp_min,False,19
very_narrow_365_38,temp_std,False,19
full_32_42,pmax_full_32_42,True,19
full_32_42,pmax_voltage_full_32_42,True,19
full_32_42,ic_area_full_32_42,True,19
full_32_42,ic_mean_full_32_42,True,19
full_32_42,ic_std_full_32_42,True,19
full_32_42,peak_width_full_32_42,True,19
full_32_42,charge_time_window_full_32_42,True,19
full_32_42,q_delta_window_full_32_42,True,19
full_32_42,dva_mean_full_32_42,True,19
full_32_42,dva_std_full_32_42,True,19
full_32_42,dva_abs_mean_full_32_42,True,19
full_32_42,temp_mean_window_full_32_42,True,19
full_32_42,temp_max_window_full_32_42,True,19
full_32_42,pmax_norm_full_32_42,True,19
full_32_42,cycle_number,True,19
full_32_42,temp_mean,True,19
full_32_42,temp_max,True,19
full_32_42,temp_min,True,19
full_32_42,temp_std,True,19
medium_35_40,pmax_medium_35_40,True,19
medium_35_40,pmax_voltage_medium_35_40,True,19
medium_35_40,ic_area_medium_35_40,True,19
medium_35_40,ic_mean_medium_35_40,True,19
medium_35_40,ic_std_medium_35_40,True,19
medium_35_40,peak_width_medium_35_40,True,19
medium_35_40,charge_time_window_medium_35_40,True,19
medium_35_40,q_delta_window_medium_35_40,True,19
medium_35_40,dva_mean_medium_35_40,True,19
medium_35_40,dva_std_medium_35_40,True,19
