experiment,window,test_cell,model,exclude_outliers,n_train,n_test,n_features,n_experts,RMSE,MAE,R2
MAW-GME,adaptive_all_windows,Cell01,MAW-GME,False,47,11,61,28,0.01097702640337164,0.010074291239867039,0.9837042485266639
MAW-GME,adaptive_all_windows,Cell03,MAW-GME,False,48,10,61,28,0.01854002447920847,0.017661417851042728,0.8803742274447024
MAW-GME,adaptive_all_windows,Cell10,MAW-GME,False,46,12,61,28,0.006949779468687698,0.006472060681992131,0.9919253471069901
MAW-GME,adaptive_all_windows,Cell11,MAW-GME,False,43,15,61,28,0.006812870371228468,0.00607663100743944,0.9927599832761271
MAW-GME,adaptive_all_windows,Cell12,MAW-GME,False,48,10,61,28,0.015034431099313291,0.013968551014760666,0.9683878785194634
MAW-GME,adaptive_all_windows,Cell01,MAW-GME,True,44,9,61,28,0.010597787997209873,0.009555906056303928,0.9706855615936015
MAW-GME,adaptive_all_windows,Cell03,MAW-GME,True,43,10,61,28,0.021209480746727273,0.0195450062299105,0.843445980895181
MAW-GME,adaptive_all_windows,Cell10,MAW-GME,True,42,11,61,28,0.006667649388109716,0.0061677626725740176,0.9892111355891278
MAW-GME,adaptive_all_windows,Cell11,MAW-GME,True,39,14,61,28,0.014250370591670478,0.010621761470613706,0.9522739712280792
MAW-GME,adaptive_all_windows,Cell12,MAW-GME,True,44,9,61,28,0.014614426869358795,0.013174468028481842,0.9371375289960011
