experiment,window,test_cell,model,exclude_outliers,n_train,n_test,n_features,RMSE,MAE,R2
Multi-HI-Tabular,full_32_42,Cell01,Ridge,False,47,11,19,0.013322192026427336,0.011585242950567853,0.9759975068981331
Multi-HI-Tabular,full_32_42,Cell03,Ridge,False,48,10,19,0.018774335737187432,0.018032276682314254,0.8773314281672415
Multi-HI-Tabular,full_32_42,Cell10,Ridge,False,46,12,19,0.010404843561326827,0.00967311854941045,0.9819010689871834
Multi-HI-Tabular,full_32_42,Cell11,Ridge,False,43,15,19,0.003375074442367417,0.0030816929802502057,0.9982231693765504
Multi-HI-Tabular,full_32_42,Cell12,Ridge,False,48,10,19,0.014108513284280064,0.01265714277214799,0.9721617361444036
Multi-HI-Tabular,full_32_42,Cell01,ElasticNet,False,47,11,19,0.013828513110849469,0.012236146099550593,0.9741383668721988
Multi-HI-Tabular,full_32_42,Cell03,ElasticNet,False,48,10,19,0.018737584893198433,0.018385676195379386,0.8778112066503951
Multi-HI-Tabular,full_32_42,Cell10,ElasticNet,False,46,12,19,0.011692991869558647,0.011193841030320442,0.9771422693778831
Multi-HI-Tabular,full_32_42,Cell11,ElasticNet,False,43,15,19,0.0033687030234894944,0.002562266521151768,0.9982298715969729
Multi-HI-Tabular,full_32_42,Cell12,ElasticNet,False,48,10,19,0.01328396903154,0.012324233322887068,0.9753205570445312
Multi-HI-Tabular,full_32_42,Cell01,SVR,False,47,11,19,0.02842327486859314,0.021091550682257997,0.8907420104420493
Multi-HI-Tabular,full_32_42,Cell03,SVR,False,48,10,19,0.03352956665854732,0.03095003314950816,0.6087448832457529
Multi-HI-Tabular,full_32_42,Cell10,SVR,False,46,12,19,0.015259077234793505,0.012499436783929082,0.9610741273636088
Multi-HI-Tabular,full_32_42,Cell11,SVR,False,43,15,19,0.014442342067438699,0.010234449048320849,0.9674647182387882
Multi-HI-Tabular,full_32_42,Cell12,SVR,False,48,10,19,0.025176044417889735,0.019400786671697968,0.9113549200108063
Multi-HI-Tabular,full_32_42,Cell01,RandomForest,False,47,11,19,0.009563153223762553,0.008220385939332588,0.9876317799501448
Multi-HI-Tabular,full_32_42,Cell03,RandomForest,False,48,10,19,0.01618240569720877,0.015715944662834304,0.9088639254041199
Multi-HI-Tabular,full_32_42,Cell10,RandomForest,False,46,12,19,0.008580997008226711,0.006732694713817923,0.9876900208894074
Multi-HI-Tabular,full_32_42,Cell11,RandomForest,False,43,15,19,0.005446870260342212,0.004566653806972558,0.9953722128078569
Multi-HI-Tabular,full_32_42,Cell12,RandomForest,False,48,10,19,0.014694231326885049,0.01272268255287945,0.9698023331842852
Multi-HI-Tabular,full_32_42,Cell01,ExtraTrees,False,47,11,19,0.008578455230584371,0.0073875466488732,0.9900477070045529
Multi-HI-Tabular,full_32_42,Cell03,ExtraTrees,False,48,10,19,0.017424326954021054,0.01716134586656749,0.8943386458125769
Multi-HI-Tabular,full_32_42,Cell10,ExtraTrees,False,46,12,19,0.007222528766091364,0.006064084288919969,0.9912791187003339
Multi-HI-Tabular,full_32_42,Cell11,ExtraTrees,False,43,15,19,0.005105255447982981,0.003966048321168906,0.9959344971212617
Multi-HI-Tabular,full_32_42,Cell12,ExtraTrees,False,48,10,19,0.013912762648783219,0.011969886061819701,0.9729288692610935
Multi-HI-Tabular,full_32_42,Cell01,HistGB,False,47,11,19,0.026525708404005782,0.02018447077508106,0.9048433909785951
Multi-HI-Tabular,full_32_42,Cell03,HistGB,False,48,10,19,0.03291859672876782,0.026508472772863157,0.6228737381998958
Multi-HI-Tabular,full_32_42,Cell10,HistGB,False,46,12,19,0.04025247052784154,0.035303576152987154,0.7291262649417412
Multi-HI-Tabular,full_32_42,Cell11,HistGB,False,43,15,19,0.034652759282121824,0.02966677993600202,0.8126925887921975
Multi-HI-Tabular,full_32_42,Cell12,HistGB,False,48,10,19,0.04179464958141948,0.03587193602384904,0.7557013761095903
Multi-HI-Tabular,full_32_42,Cell01,XGBoost,False,47,11,19,0.006777493348690601,0.005725046937156566,0.9937878322446201
Multi-HI-Tabular,full_32_42,Cell03,XGBoost,False,48,10,19,0.025129452173259854,0.022417622013113092,0.7802290977971975
Multi-HI-Tabular,full_32_42,Cell10,XGBoost,False,46,12,19,0.010958258870624155,0.008227590973163335,0.9799245667662041
Multi-HI-Tabular,full_32_42,Cell11,XGBoost,False,43,15,19,0.012266835133771975,0.009179746789537516,0.9765283092333844
Multi-HI-Tabular,full_32_42,Cell12,XGBoost,False,48,10,19,0.014625216865603578,0.01148462474255777,0.9700853260836337
Multi-HI-Tabular,full_32_42,Cell01,LightGBM,False,47,11,19,0.031766204650877886,0.02520414103408365,0.8635304894637998
Multi-HI-Tabular,full_32_42,Cell03,LightGBM,False,48,10,19,0.03454454878847771,0.028716793673774277,0.58469878861468
Multi-HI-Tabular,full_32_42,Cell10,LightGBM,False,46,12,19,0.04338134622790428,0.037601041348606486,0.6853788855840371
Multi-HI-Tabular,full_32_42,Cell11,LightGBM,False,43,15,19,0.03878708385807894,0.0334569243841921,0.7653321597910488
Multi-HI-Tabular,full_32_42,Cell12,LightGBM,False,48,10,19,0.041747846088669174,0.03432355976543523,0.7562482225036427
Multi-HI-Tabular,full_32_42,Cell01,CatBoost,False,47,11,19,0.014861423953897902,0.01241194774446515,0.9701306465479625
Multi-HI-Tabular,full_32_42,Cell03,CatBoost,False,48,10,19,0.019040652108345275,0.017817088096830035,0.8738266060672313
Multi-HI-Tabular,full_32_42,Cell10,CatBoost,False,46,12,19,0.009114713450953563,0.0072867303973919535,0.9861110998884137
Multi-HI-Tabular,full_32_42,Cell11,CatBoost,False,43,15,19,0.008440140053313923,0.006655142357098306,0.988888348178634
Multi-HI-Tabular,full_32_42,Cell12,CatBoost,False,48,10,19,0.016356594585659242,0.014114846340686715,0.9625833050900233
Multi-HI-Tabular,medium_35_40,Cell01,Ridge,False,47,11,19,0.013669156427511438,0.011309846183391975,0.9747309798331367
Multi-HI-Tabular,medium_35_40,Cell03,Ridge,False,48,10,19,0.020864093517530873,0.018290118652814224,0.8485032938868887
Multi-HI-Tabular,medium_35_40,Cell10,Ridge,False,46,12,19,0.008810439713240898,0.007323813077677904,0.987022919984287
Multi-HI-Tabular,medium_35_40,Cell11,Ridge,False,43,15,19,0.009247104444656715,0.00758371110900428,0.9866619959816658
Multi-HI-Tabular,medium_35_40,Cell12,Ridge,False,48,10,19,0.01721324165689165,0.015970536501805542,0.9585614094150734
Multi-HI-Tabular,medium_35_40,Cell01,ElasticNet,False,47,11,19,0.014070031479245366,0.011415096138651852,0.9732271186612728
Multi-HI-Tabular,medium_35_40,Cell03,ElasticNet,False,48,10,19,0.021739754174016034,0.019443736993220762,0.8355198827528032
Multi-HI-Tabular,medium_35_40,Cell10,ElasticNet,False,46,12,19,0.009340913306137807,0.0077931082787619415,0.9854131842401869
Multi-HI-Tabular,medium_35_40,Cell11,ElasticNet,False,43,15,19,0.01520499314910524,0.012742805050613478,0.9639378367026545
Multi-HI-Tabular,medium_35_40,Cell12,ElasticNet,False,48,10,19,0.017685613721844618,0.01611889351512983,0.9562558568220694
Multi-HI-Tabular,medium_35_40,Cell01,SVR,False,47,11,19,0.02562218780991953,0.020183329432095786,0.9112154504930366
Multi-HI-Tabular,medium_35_40,Cell03,SVR,False,48,10,19,0.034016241548368464,0.031240165392073783,0.5973044758304784
Multi-HI-Tabular,medium_35_40,Cell10,SVR,False,46,12,19,0.011871616810187195,0.009495409632427306,0.9764385748976551
Multi-HI-Tabular,medium_35_40,Cell11,SVR,False,43,15,19,0.03343106448454443,0.02355558830729545,0.8256669499053597
Multi-HI-Tabular,medium_35_40,Cell12,SVR,False,48,10,19,0.031137531025895806,0.024867198565264714,0.8644036527308508
Multi-HI-Tabular,medium_35_40,Cell01,RandomForest,False,47,11,19,0.012007519827338409,0.011125026719562866,0.980501033199853
Multi-HI-Tabular,medium_35_40,Cell03,RandomForest,False,48,10,19,0.01754127561405002,0.015816467247711387,0.8929155294368201
Multi-HI-Tabular,medium_35_40,Cell10,RandomForest,False,46,12,19,0.007633370362571469,0.005932351268149959,0.9902587546127781
Multi-HI-Tabular,medium_35_40,Cell11,RandomForest,False,43,15,19,0.005384697511571158,0.004636852162489665,0.9954772566765557
Multi-HI-Tabular,medium_35_40,Cell12,RandomForest,False,48,10,19,0.01496433190687798,0.013260730945736954,0.9686819791839865
Multi-HI-Tabular,medium_35_40,Cell01,ExtraTrees,False,47,11,19,0.010192271116734755,0.0087510732554562,0.9859509515602521
Multi-HI-Tabular,medium_35_40,Cell03,ExtraTrees,False,48,10,19,0.017109212167948307,0.015611960462526275,0.8981258090054094
Multi-HI-Tabular,medium_35_40,Cell10,ExtraTrees,False,46,12,19,0.007775292048891581,0.005867686496996242,0.9898931635941696
Multi-HI-Tabular,medium_35_40,Cell11,ExtraTrees,False,43,15,19,0.004213291799274353,0.0036073129644835036,0.9972310035810286
Multi-HI-Tabular,medium_35_40,Cell12,ExtraTrees,False,48,10,19,0.01372991795155272,0.011658196261511888,0.9736357435238847
Multi-HI-Tabular,medium_35_40,Cell01,HistGB,False,47,11,19,0.03873914563679734,0.03372806040782227,0.7970425246875147
Multi-HI-Tabular,medium_35_40,Cell03,HistGB,False,48,10,19,0.043878456258677714,0.03551928885206619,0.32995059092787105
Multi-HI-Tabular,medium_35_40,Cell10,HistGB,False,46,12,19,0.045682912459416095,0.03626282838805538,0.6511093081528267
Multi-HI-Tabular,medium_35_40,Cell11,HistGB,False,43,15,19,0.03967213398904854,0.03440479547987671,0.7545005959674362
Multi-HI-Tabular,medium_35_40,Cell12,HistGB,False,48,10,19,0.04311041177917051,0.03680785168853802,0.7400774337168672
Multi-HI-Tabular,medium_35_40,Cell01,XGBoost,False,47,11,19,0.01282839045124698,0.010173160569191849,0.9777438871539431
Multi-HI-Tabular,medium_35_40,Cell03,XGBoost,False,48,10,19,0.02324069662748816,0.021331911487600396,0.8120239876644737
Multi-HI-Tabular,medium_35_40,Cell10,XGBoost,False,46,12,19,0.010244032750691818,0.007509754680272651,0.9824561974290436
Multi-HI-Tabular,medium_35_40,Cell11,XGBoost,False,43,15,19,0.014103163021303981,0.011708148530141438,0.9689749585714343
Multi-HI-Tabular,medium_35_40,Cell12,XGBoost,False,48,10,19,0.013478004552815328,0.01010838542791016,0.9745943189542716
Multi-HI-Tabular,medium_35_40,Cell01,LightGBM,False,47,11,19,0.04320424316242106,0.03792255707872938,0.7475602285093967
Multi-HI-Tabular,medium_35_40,Cell03,LightGBM,False,48,10,19,0.0463746431217921,0.03744411446243033,0.2515456616788875
Multi-HI-Tabular,medium_35_40,Cell10,LightGBM,False,46,12,19,0.04330147708008237,0.03565854088445114,0.686536313395335
Multi-HI-Tabular,medium_35_40,Cell11,LightGBM,False,43,15,19,0.03821374947998991,0.03348089893418216,0.7722184088643516
Multi-HI-Tabular,medium_35_40,Cell12,LightGBM,False,48,10,19,0.04062345409255517,0.03479428986315507,0.7692013103405905
Multi-HI-Tabular,medium_35_40,Cell01,CatBoost,False,47,11,19,0.018256642966087807,0.015472436715338843,0.9549238495476542
Multi-HI-Tabular,medium_35_40,Cell03,CatBoost,False,48,10,19,0.021011104858581233,0.019280047238131724,0.8463608381124804
Multi-HI-Tabular,medium_35_40,Cell10,CatBoost,False,46,12,19,0.009957320840732952,0.006336452707087816,0.983424493164162
Multi-HI-Tabular,medium_35_40,Cell11,CatBoost,False,43,15,19,0.008979567218248106,0.007387069451979133,0.9874226215299413
Multi-HI-Tabular,medium_35_40,Cell12,CatBoost,False,48,10,19,0.01687437579551954,0.015063963763647704,0.9601768988045313
Multi-HI-Tabular,narrow_36_385,Cell01,Ridge,False,47,11,19,0.010198050696173636,0.008514371224599394,0.9859350138732886
Multi-HI-Tabular,narrow_36_385,Cell03,Ridge,False,48,10,19,0.01786208770314376,0.01726574624582349,0.8889627789908857
Multi-HI-Tabular,narrow_36_385,Cell10,Ridge,False,46,12,19,0.005871942179803576,0.005078284827715783,0.9942357161865442
Multi-HI-Tabular,narrow_36_385,Cell11,Ridge,False,43,15,19,0.006509694636371579,0.005644399029021437,0.993390013820652
Multi-HI-Tabular,narrow_36_385,Cell12,Ridge,False,48,10,19,0.012191147778313621,0.011098232651318485,0.9792140999121608
Multi-HI-Tabular,narrow_36_385,Cell01,ElasticNet,False,47,11,19,0.008811750790401552,0.0072786079604394835,0.98949903073748
Multi-HI-Tabular,narrow_36_385,Cell03,ElasticNet,False,48,10,19,0.017406903241827667,0.017174382128517872,0.8945498554112198
Multi-HI-Tabular,narrow_36_385,Cell10,ElasticNet,False,46,12,19,0.005843126593911383,0.00511443082861011,0.9942921519119403
Multi-HI-Tabular,narrow_36_385,Cell11,ElasticNet,False,43,15,19,0.006712978845526382,0.005151131331600841,0.9929707356650467
Multi-HI-Tabular,narrow_36_385,Cell12,ElasticNet,False,48,10,19,0.013461847878411223,0.01238295818800279,0.9746551922519604
Multi-HI-Tabular,narrow_36_385,Cell01,SVR,False,47,11,19,0.02516071656335698,0.018687038658521272,0.9143847782664112
Multi-HI-Tabular,narrow_36_385,Cell03,SVR,False,48,10,19,0.02701486797425634,0.02572502536637169,0.7460139593992821
Multi-HI-Tabular,narrow_36_385,Cell10,SVR,False,46,12,19,0.01503019190554849,0.01215023488549169,0.9622331410538547
Multi-HI-Tabular,narrow_36_385,Cell11,SVR,False,43,15,19,0.033088384625962426,0.023505790940641254,0.8292225797342516
Multi-HI-Tabular,narrow_36_385,Cell12,SVR,False,48,10,19,0.0241487774803226,0.0200009725568742,0.9184413659835128
Multi-HI-Tabular,narrow_36_385,Cell01,RandomForest,False,47,11,19,0.01130087275843251,0.00970936447074529,0.9827285442194865
Multi-HI-Tabular,narrow_36_385,Cell03,RandomForest,False,48,10,19,0.017874909575979474,0.017622332171895193,0.8888033109446156
Multi-HI-Tabular,narrow_36_385,Cell10,RandomForest,False,46,12,19,0.005460327357968928,0.004665544639049289,0.9950155278299655
Multi-HI-Tabular,narrow_36_385,Cell11,RandomForest,False,43,15,19,0.0038489022630719518,0.0034167505325558714,0.9976892493492101
Multi-HI-Tabular,narrow_36_385,Cell12,RandomForest,False,48,10,19,0.015558071503350231,0.01269089795938838,0.9661474669900777
Multi-HI-Tabular,narrow_36_385,Cell01,ExtraTrees,False,47,11,19,0.010992010813252098,0.00930759925002171,0.9836597284766389
