exclude_outliers,window,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,mean,std,mean,std,mean,std
False,full_32_42,CatBoost,0.01356270483043398,0.004624005160931984,0.011657150987294432,0.004708382850229879,0.956308001154453,0.04739021314326178
False,full_32_42,ElasticNet,0.01218235238572721,0.005586017507794179,0.011340432633857851,0.005667523988701049,0.9605284543083963,0.047285290525163046
False,full_32_42,ExtraTrees,0.010448665809492597,0.0050773392992546195,0.009309782237469854,0.005279873122945357,0.9689057675799638,0.04258679859831564
False,full_32_42,HistGB,0.03522883690483129,0.00611882978359937,0.02950704713215648,0.006519949232610268,0.7650474718044039,0.10416814451259802
False,full_32_42,LightGBM,0.0380454059228016,0.00485836334503197,0.031860492041218345,0.004892827744412725,0.7310377091914417,0.1035203168422469
False,full_32_42,RandomForest,0.01089353150328506,0.004449757022610923,0.009591672335167365,0.004544637696074464,0.9698720544471628,0.03537351595786664
False,full_32_42,Ridge,0.011996991810317815,0.005679336765798158,0.01100589478693815,0.0054083632809627516,0.9611229819147024,0.0478860180009153
False,full_32_42,SVR,0.02336606104945248,0.008329229326800358,0.018835251267142812,0.008159273885811405,0.8678761318602011,0.14846380900204809
False,full_32_42,XGBoost,0.013951451278390032,0.006867759256008037,0.011406926291105655,0.006492182066165131,0.9401110264250079,0.0897959154227171
False,medium_35_40,CatBoost,0.015015802335833928,0.005289739243716736,0.012707993975237045,0.00559672666188608,0.9464617402317538,0.057714691316227036
False,medium_35_40,ElasticNet,0.015608261166069814,0.004574905053872877,0.013502727995275573,0.0044630526800261755,0.9428707758357973,0.06098885093784977
False,medium_35_40,ExtraTrees,0.010603997016880343,0.005027459821883677,0.009099245888194822,0.0047352192573149425,0.9689673342529488,0.040513838187909934
False,medium_35_40,HistGB,0.04221661202462204,0.0029215999005559852,0.03534456496327172,0.0012758524458828333,0.6545360906905031,0.18906731400963975
False,medium_35_40,LightGBM,0.04234351338736812,0.003079046566160324,0.035860080244589615,0.001843909301815641,0.6454123845577122,0.22285635557756672
False,medium_35_40,RandomForest,0.011506239044481807,0.005027517718285892,0.010154285668730166,0.004767584379398851,0.9655669106219987,0.04187860676466784
False,medium_35_40,Ridge,0.013960807151966315,0.005173587511719366,0.012095605104938786,0.004927770669633655,0.9510961198202104,0.05851344205973555
False,medium_35_40,SVR,0.027215728335783083,0.009195638227637021,0.021868338265831407,0.007993743447521759,0.8350058207714761,0.1442779505171687
False,medium_35_40,XGBoost,0.014778857480709253,0.00495278860979949,0.012166272139023299,0.005341099329689099,0.9431586699546333,0.07347009357493871
False,narrow_36_385,CatBoost,0.013502564321200164,0.006115668404779492,0.011339338242009441,0.005676657369284616,0.9526797771133213,0.05699946548968991
False,narrow_36_385,ElasticNet,0.010447321470015642,0.0048821656221314305,0.00942030208743422,0.005250149722327026,0.9691933931955294,0.04245326136439015
False,narrow_36_385,ExtraTrees,0.01057083816725803,0.005866857008140294,0.009657525919167034,0.0059970694121683045,0.9650685513733259,0.05271534676302447
False,narrow_36_385,HistGB,0.040553430935356724,0.00855541189288943,0.03278892268294148,0.006966810713309265,0.7034433940401744,0.11083523823766704
False,narrow_36_385,LightGBM,0.039699412173791616,0.006983325372652729,0.03341356830078647,0.007648551336707923,0.7161981747801598,0.09206458435541696
False,narrow_36_385,RandomForest,0.010808616691760618,0.006119108511354334,0.009620977954726804,0.005841717375309636,0.966076819866671,0.044959077538464134
False,narrow_36_385,Ridge,0.010526584598761235,0.00486028322005476,0.009520206795695717,0.004956001633989281,0.9683475245567064,0.044795827940123996
False,narrow_36_385,SVR,0.024888587709889366,0.006510896220014276,0.02001381248158002,0.005205963225592377,0.8740591648874625,0.08627931234980618
