feature,mean_abs_shap
pmax_full_32_42,0.034053434
ic_area_full_32_42,0.011271281
ic_mean_full_32_42,0.006183367
pmax_voltage_narrow_36_385,0.0043402854
pmax_norm_narrow_36_385,0.0032723963
cycle_number,0.0029578954
ic_mean_very_narrow_365_38,0.0028771034
pmax_norm_medium_35_40,0.0027708164
ic_std_full_32_42,0.0025000344
ic_mean_narrow_36_385,0.0023860913
pmax_norm_full_32_42,0.0021275112
charge_time_window_full_32_42,0.001821508
ic_area_very_narrow_365_38,0.0017128477
peak_width_full_32_42,0.0011467243
dva_std_full_32_42,0.0009367579
pmax_very_narrow_365_38,0.0007428513
ic_mean_medium_35_40,0.0006462988
dva_mean_full_32_42,0.00064560364
pmax_medium_35_40,0.0003162701
peak_width_very_narrow_365_38,0.00022302014
dva_mean_very_narrow_365_38,0.00020222462
pmax_narrow_36_385,0.000165984
temp_min,0.00016337677
ic_area_medium_35_40,0.00015480533
dva_mean_narrow_36_385,0.0001546972
pmax_voltage_full_32_42,0.00012945186
charge_time_window_very_narrow_365_38,0.00012118562
pmax_voltage_very_narrow_365_38,5.6630277e-05
temp_max_window_full_32_42,5.1633484e-05
temp_std,4.6869583e-05
dva_std_narrow_36_385,4.6320267e-05
temp_mean_window_full_32_42,4.0922238e-05
peak_width_medium_35_40,4.0568146e-05
peak_width_narrow_36_385,4.0500337e-05
dva_abs_mean_very_narrow_365_38,4.006985e-05
dva_std_medium_35_40,3.1562795e-05
charge_time_window_medium_35_40,2.6311873e-05
pmax_voltage_medium_35_40,2.0119482e-05
dva_std_very_narrow_365_38,1.4423439e-05
dva_abs_mean_narrow_36_385,1.3071391e-05
q_delta_window_very_narrow_365_38,1.24218905e-05
temp_max,1.0312121e-05
temp_max_window_narrow_36_385,6.4355136e-06
temp_max_window_very_narrow_365_38,6.2933336e-06
temp_max_window_medium_35_40,4.6414743e-06
temp_mean_window_narrow_36_385,3.1987563e-06
temp_mean_window_very_narrow_365_38,2.8164873e-06
temp_mean,2.4617004e-06
dva_mean_medium_35_40,0.0
q_delta_window_full_32_42,0.0
q_delta_window_medium_35_40,0.0
ic_std_medium_35_40,0.0
dva_abs_mean_full_32_42,0.0
charge_time_window_narrow_36_385,0.0
ic_std_narrow_36_385,0.0
q_delta_window_narrow_36_385,0.0
ic_area_narrow_36_385,0.0
dva_abs_mean_medium_35_40,0.0
temp_mean_window_medium_35_40,0.0
ic_std_very_narrow_365_38,0.0
pmax_norm_very_narrow_365_38,0.0
