exclude_outliers,scenario,description,model,RMSE,MAE,R2
False,all_windows_available,All window-specific features are available.,RandomForest,0.010803878293624152,0.009910483258476077,0.9657264458053607
False,all_windows_available,All window-specific features are available.,ExtraTrees,0.010909500008796529,0.009804525365094921,0.9609486565452929
False,all_windows_available,All window-specific features are available.,MAW-GME,0.01166282636436195,0.010850590359020432,0.9634303369747897
False,all_windows_available,All window-specific features are available.,CatBoost,0.012357063087915763,0.010875410077890871,0.9614547661420533
False,all_windows_available,All window-specific features are available.,Ridge,0.012619418818711958,0.01133461793359755,0.9609025900669419
False,all_windows_available,All window-specific features are available.,XGBoost,0.013827263876056223,0.01145331262876841,0.9395354686797311
False,all_windows_available,All window-specific features are available.,LightGBM,0.03622026180370673,0.03043709482490231,0.7122357913825338
False,all_windows_available,All window-specific features are available.,HistGB,0.03739957006836135,0.0312381027978857,0.7063518849737859
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",ExtraTrees,0.009756493211803921,0.00879009817692433,0.9690730649602347
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",RandomForest,0.010201413534986953,0.009175933293649373,0.9745073684230174
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",MAW-GME,0.011165427216876082,0.010098985373163349,0.9693200798400958
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",Ridge,0.011760942196335658,0.011038156601660933,0.9626932810910567
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",CatBoost,0.01176654069815026,0.010146819080427274,0.9660151691767315
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",XGBoost,0.013766975413674781,0.011523194067642259,0.9412504071096448
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",HistGB,0.03823638302139219,0.031852449122061165,0.7392554619999064
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",LightGBM,0.038466498363668805,0.03230071964875676,0.735473696893626
False,only_full_window,Only full-window features are available.,ExtraTrees,0.01044866580949259,0.009309782237469848,0.9689057675799638
False,only_full_window,Only full-window features are available.,MAW-GME,0.010780162852301585,0.009987013932103606,0.9662430570554204
False,only_full_window,Only full-window features are available.,RandomForest,0.010893531503285054,0.009591672335167363,0.9698720544471628
False,only_full_window,Only full-window features are available.,Ridge,0.011996991810317815,0.01100589478693815,0.9611229819147024
False,only_full_window,Only full-window features are available.,CatBoost,0.01356270483043398,0.011657150987294432,0.956308001154453
False,only_full_window,Only full-window features are available.,XGBoost,0.013951451278390032,0.011406926291105655,0.9401110264250079
False,only_full_window,Only full-window features are available.,HistGB,0.03522883690483129,0.02950704713215648,0.7650474718044039
False,only_full_window,Only full-window features are available.,LightGBM,0.0380454059228016,0.031860492041218345,0.7310377091914417
False,only_medium_window,Only medium partial-window features are available.,ExtraTrees,0.010603997016880343,0.009099245888194819,0.9689673342529488
False,only_medium_window,Only medium partial-window features are available.,RandomForest,0.01150623904448182,0.010154285668730178,0.9655669106219985
False,only_medium_window,Only medium partial-window features are available.,MAW-GME,0.012721021510231093,0.011732599386764752,0.9568078713031261
False,only_medium_window,Only medium partial-window features are available.,Ridge,0.013960807151966315,0.012095605104938786,0.9510961198202104
False,only_medium_window,Only medium partial-window features are available.,XGBoost,0.014778857480709253,0.012166272139023299,0.9431586699546333
False,only_medium_window,Only medium partial-window features are available.,CatBoost,0.015015802335833928,0.012707993975237045,0.9464617402317538
False,only_medium_window,Only medium partial-window features are available.,HistGB,0.04221661202462204,0.03534456496327172,0.6545360906905031
False,only_medium_window,Only medium partial-window features are available.,LightGBM,0.04234351338736812,0.035860080244589615,0.6454123845577122
False,only_narrow_window,Only narrow partial-window features are available.,Ridge,0.010526584598761235,0.009520206795695717,0.9683475245567064
False,only_narrow_window,Only narrow partial-window features are available.,ExtraTrees,0.01057083816725804,0.009657525919167048,0.9650685513733259
False,only_narrow_window,Only narrow partial-window features are available.,RandomForest,0.01080861669176062,0.00962097795472681,0.966076819866671
False,only_narrow_window,Only narrow partial-window features are available.,MAW-GME,0.011139731865951985,0.01008211259602924,0.9650283865949125
False,only_narrow_window,Only narrow partial-window features are available.,XGBoost,0.013332332997459917,0.011596976052579016,0.9467622574996163
False,only_narrow_window,Only narrow partial-window features are available.,CatBoost,0.013502564321200164,0.011339338242009441,0.9526797771133213
False,only_narrow_window,Only narrow partial-window features are available.,LightGBM,0.039699412173791616,0.03341356830078647,0.7161981747801598
False,only_narrow_window,Only narrow partial-window features are available.,HistGB,0.040553430935356724,0.03278892268294148,0.7034433940401744
False,only_very_narrow_window,Only very-narrow partial-window features are available.,ExtraTrees,0.012313791901511256,0.009955355817785427,0.9672172893229314
False,only_very_narrow_window,Only very-narrow partial-window features are available.,RandomForest,0.013723485336810864,0.011058160310907844,0.9618739874366771
False,only_very_narrow_window,Only very-narrow partial-window features are available.,MAW-GME,0.014933702131777943,0.012570005592308994,0.9517089804650407
False,only_very_narrow_window,Only very-narrow partial-window features are available.,CatBoost,0.015616349290284284,0.012622558436462605,0.9518861010122427
False,only_very_narrow_window,Only very-narrow partial-window features are available.,XGBoost,0.017123915545765554,0.013776756988024597,0.9315384654692508
False,only_very_narrow_window,Only very-narrow partial-window features are available.,Ridge,0.02063721060892701,0.018778287905874227,0.9075421649854934
False,only_very_narrow_window,Only very-narrow partial-window features are available.,HistGB,0.04007007448935433,0.032907461664768774,0.7119731426998509
False,only_very_narrow_window,Only very-narrow partial-window features are available.,LightGBM,0.04043277378513962,0.03364337948867308,0.7094432801330732
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,MAW-GME,0.011033793538240463,0.010245706743322387,0.9620032567978225
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,ExtraTrees,0.011341182631353813,0.010111289182834063,0.9588172573461294
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,RandomForest,0.011542139680624227,0.010523032270498698,0.9561941295843
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,XGBoost,0.011887523165727543,0.010043258619256847,0.9496325220169739
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,CatBoost,0.012646330694843005,0.011319556960908798,0.9567920401436745
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,Ridge,0.01571914456447191,0.014487256390282236,0.9447520543785061
