scenario,description,exclude_outliers,feature,n_features
all_windows_available,All window-specific features are available.,False,pmax_full_32_42,61
all_windows_available,All window-specific features are available.,False,pmax_voltage_full_32_42,61
all_windows_available,All window-specific features are available.,False,ic_area_full_32_42,61
all_windows_available,All window-specific features are available.,False,ic_mean_full_32_42,61
all_windows_available,All window-specific features are available.,False,ic_std_full_32_42,61
all_windows_available,All window-specific features are available.,False,peak_width_full_32_42,61
all_windows_available,All window-specific features are available.,False,charge_time_window_full_32_42,61
all_windows_available,All window-specific features are available.,False,q_delta_window_full_32_42,61
all_windows_available,All window-specific features are available.,False,dva_mean_full_32_42,61
all_windows_available,All window-specific features are available.,False,dva_std_full_32_42,61
all_windows_available,All window-specific features are available.,False,dva_abs_mean_full_32_42,61
all_windows_available,All window-specific features are available.,False,temp_mean_window_full_32_42,61
all_windows_available,All window-specific features are available.,False,temp_max_window_full_32_42,61
all_windows_available,All window-specific features are available.,False,pmax_norm_full_32_42,61
all_windows_available,All window-specific features are available.,False,cycle_number,61
all_windows_available,All window-specific features are available.,False,temp_mean,61
all_windows_available,All window-specific features are available.,False,temp_max,61
all_windows_available,All window-specific features are available.,False,temp_min,61
all_windows_available,All window-specific features are available.,False,temp_std,61
all_windows_available,All window-specific features are available.,False,pmax_medium_35_40,61
all_windows_available,All window-specific features are available.,False,pmax_voltage_medium_35_40,61
all_windows_available,All window-specific features are available.,False,ic_area_medium_35_40,61
all_windows_available,All window-specific features are available.,False,ic_mean_medium_35_40,61
all_windows_available,All window-specific features are available.,False,ic_std_medium_35_40,61
all_windows_available,All window-specific features are available.,False,peak_width_medium_35_40,61
all_windows_available,All window-specific features are available.,False,charge_time_window_medium_35_40,61
all_windows_available,All window-specific features are available.,False,q_delta_window_medium_35_40,61
all_windows_available,All window-specific features are available.,False,dva_mean_medium_35_40,61
all_windows_available,All window-specific features are available.,False,dva_std_medium_35_40,61
all_windows_available,All window-specific features are available.,False,dva_abs_mean_medium_35_40,61
all_windows_available,All window-specific features are available.,False,temp_mean_window_medium_35_40,61
all_windows_available,All window-specific features are available.,False,temp_max_window_medium_35_40,61
all_windows_available,All window-specific features are available.,False,pmax_norm_medium_35_40,61
all_windows_available,All window-specific features are available.,False,pmax_narrow_36_385,61
all_windows_available,All window-specific features are available.,False,pmax_voltage_narrow_36_385,61
all_windows_available,All window-specific features are available.,False,ic_area_narrow_36_385,61
all_windows_available,All window-specific features are available.,False,ic_mean_narrow_36_385,61
all_windows_available,All window-specific features are available.,False,ic_std_narrow_36_385,61
all_windows_available,All window-specific features are available.,False,peak_width_narrow_36_385,61
all_windows_available,All window-specific features are available.,False,charge_time_window_narrow_36_385,61
all_windows_available,All window-specific features are available.,False,q_delta_window_narrow_36_385,61
all_windows_available,All window-specific features are available.,False,dva_mean_narrow_36_385,61
all_windows_available,All window-specific features are available.,False,dva_std_narrow_36_385,61
all_windows_available,All window-specific features are available.,False,dva_abs_mean_narrow_36_385,61
