experiment,scenario,description,test_cell,model,exclude_outliers,n_train,n_test,n_features,n_experts,RMSE,MAE,R2
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell01,Ridge,False,47,11,61,,0.011823261227406293,0.009962093411680417,0.9810948753478682
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell03,Ridge,False,48,10,61,,0.018612496355975883,0.01820430312808007,0.8794371792169217
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell10,Ridge,False,46,12,61,,0.00799526126076523,0.007720328149541693,0.9893132134717535
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell11,Ridge,False,43,15,61,,0.010403231014102343,0.008025244354401202,0.9831183145836572
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell12,Ridge,False,48,10,61,,0.014262844235310037,0.012761120624284372,0.9715493677145088
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell01,ExtraTrees,False,47,11,61,,0.009601823228728964,0.008373153145700167,0.9875315523128261
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell03,ExtraTrees,False,48,10,61,,0.02033866889805308,0.020067343619659485,0.8560375590612541
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell10,ExtraTrees,False,46,12,61,,0.006133221477598262,0.00518269556776262,0.993711325584396
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell11,ExtraTrees,False,43,15,61,,0.0037417422627306477,0.002608357967881007,0.9978161286211746
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell12,ExtraTrees,False,48,10,61,,0.01473204417687169,0.012791076524471322,0.9696467171468139
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell01,RandomForest,False,47,11,61,,0.011152417252821041,0.010294885531124594,0.9831793414810921
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell03,RandomForest,False,48,10,61,,0.018354967458587335,0.017978183313767316,0.8827503953996291
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell10,RandomForest,False,46,12,61,,0.0059118842260147296,0.004657666889260624,0.9941570300067831
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell11,RandomForest,False,43,15,61,,0.004310978063629016,0.003671076724863613,0.9971011152877584
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell12,RandomForest,False,48,10,61,,0.014289144467068636,0.012950603833364238,0.9714443468515408
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell01,HistGB,False,47,11,61,,0.036160961366673516,0.030730998044016265,0.8231582064312801
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell03,HistGB,False,48,10,61,,0.045604793823150906,0.0368203255807447,0.27618906098960516
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell10,HistGB,False,46,12,61,,0.03344393296146726,0.027646390957320865,0.8130108087334902
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell11,HistGB,False,43,15,61,,0.032541193377526166,0.02840490213196277,0.8348242568554736
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell12,HistGB,False,48,10,61,,0.03924696881298892,0.03258789727538388,0.7845770918590806
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell01,XGBoost,False,47,11,61,,0.007425356278335281,0.006427650233956659,0.9925434219521253
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell03,XGBoost,False,48,10,61,,0.025585645483711675,0.023479067487737725,0.7721773469486983
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell10,XGBoost,False,46,12,61,,0.010178761254719492,0.007213223478653792,0.982679051482706
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell11,XGBoost,False,43,15,61,,0.011749412626546435,0.009258542196812354,0.9784666484804238
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell12,XGBoost,False,48,10,61,,0.014197143736968227,0.010888079746681522,0.971810874534702
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell01,LightGBM,False,47,11,61,,0.03262290740820939,0.027274070215224603,0.8560703391904125
