scenario,description,exclude_outliers,test_cell,window,model_name,n_features,val_rmse,weight
all_windows_available,All window-specific features are available.,False,Cell01,full_32_42,Ridge,19,0.014857944289581837,0.05918652985173308
all_windows_available,All window-specific features are available.,False,Cell01,full_32_42,ExtraTrees,19,0.017362127736526525,0.05064991238066011
all_windows_available,All window-specific features are available.,False,Cell01,full_32_42,RandomForest,19,0.01924149066981009,0.04570281550210816
all_windows_available,All window-specific features are available.,False,Cell01,full_32_42,HistGB,19,0.0923983770233876,0.009517382104012621
all_windows_available,All window-specific features are available.,False,Cell01,full_32_42,XGBoost,19,0.019284101902293134,0.04560182805159153
all_windows_available,All window-specific features are available.,False,Cell01,full_32_42,LightGBM,19,0.09239837731617025,0.009517382073854904
all_windows_available,All window-specific features are available.,False,Cell01,full_32_42,CatBoost,19,0.02046075965090894,0.042979358552964086
all_windows_available,All window-specific features are available.,False,Cell01,medium_35_40,Ridge,19,0.017123499816315935,0.051355753845400545
all_windows_available,All window-specific features are available.,False,Cell01,medium_35_40,ExtraTrees,19,0.017885884824651452,0.049166718451457626
all_windows_available,All window-specific features are available.,False,Cell01,medium_35_40,RandomForest,19,0.01926303244201855,0.04565170625268429
all_windows_available,All window-specific features are available.,False,Cell01,medium_35_40,HistGB,19,0.0923983770233876,0.009517382104012621
all_windows_available,All window-specific features are available.,False,Cell01,medium_35_40,XGBoost,19,0.015080105403556619,0.058314590542763244
all_windows_available,All window-specific features are available.,False,Cell01,medium_35_40,LightGBM,19,0.09239837731617025,0.009517382073854904
all_windows_available,All window-specific features are available.,False,Cell01,medium_35_40,CatBoost,19,0.019722138483365993,0.04458899373147478
all_windows_available,All window-specific features are available.,False,Cell01,narrow_36_385,Ridge,19,0.012337672254106383,0.07127681982597106
all_windows_available,All window-specific features are available.,False,Cell01,narrow_36_385,ExtraTrees,19,0.017948628840518906,0.04899484372657851
all_windows_available,All window-specific features are available.,False,Cell01,narrow_36_385,RandomForest,19,0.01978719236016302,0.04444239964243111
all_windows_available,All window-specific features are available.,False,Cell01,narrow_36_385,HistGB,19,0.0923983770233876,0.009517382104012621
all_windows_available,All window-specific features are available.,False,Cell01,narrow_36_385,XGBoost,19,0.0149621882315515,0.058774168172802836
all_windows_available,All window-specific features are available.,False,Cell01,narrow_36_385,LightGBM,19,0.09239837731617025,0.009517382073854904
all_windows_available,All window-specific features are available.,False,Cell01,narrow_36_385,CatBoost,19,0.020840759108737058,0.042195695874167854
all_windows_available,All window-specific features are available.,False,Cell01,very_narrow_365_38,Ridge,19,0.028958104880604064,0.030367679620092625
all_windows_available,All window-specific features are available.,False,Cell01,very_narrow_365_38,ExtraTrees,19,0.023885553804684947,0.036816830546136665
all_windows_available,All window-specific features are available.,False,Cell01,very_narrow_365_38,RandomForest,19,0.02502168000729692,0.03514513827161834
all_windows_available,All window-specific features are available.,False,Cell01,very_narrow_365_38,HistGB,19,0.0923983770233876,0.009517382104012621
all_windows_available,All window-specific features are available.,False,Cell01,very_narrow_365_38,XGBoost,19,0.028578686162423608,0.030770849380185462
all_windows_available,All window-specific features are available.,False,Cell01,very_narrow_365_38,LightGBM,19,0.09239837731617025,0.009517382073854904
all_windows_available,All window-specific features are available.,False,Cell01,very_narrow_365_38,CatBoost,19,0.027585854046668218,0.03187831106570804
all_windows_available,All window-specific features are available.,False,Cell03,full_32_42,Ridge,19,0.007030786677332826,0.0889611951454542
all_windows_available,All window-specific features are available.,False,Cell03,full_32_42,ExtraTrees,19,0.0084678740503651,0.07386356160760715
all_windows_available,All window-specific features are available.,False,Cell03,full_32_42,RandomForest,19,0.013196516838040684,0.04739641595978303
all_windows_available,All window-specific features are available.,False,Cell03,full_32_42,HistGB,19,0.10040597085946533,0.0062293906188283935
all_windows_available,All window-specific features are available.,False,Cell03,full_32_42,XGBoost,19,0.020523795722461366,0.030475248289633765
all_windows_available,All window-specific features are available.,False,Cell03,full_32_42,LightGBM,19,0.1004059706428207,0.0062293906322694655
all_windows_available,All window-specific features are available.,False,Cell03,full_32_42,CatBoost,19,0.018310622131504462,0.034158737434523835
all_windows_available,All window-specific features are available.,False,Cell03,medium_35_40,Ridge,19,0.011946850426322441,0.05235417950159748
all_windows_available,All window-specific features are available.,False,Cell03,medium_35_40,ExtraTrees,19,0.01113334651528873,0.05617965025922783
all_windows_available,All window-specific features are available.,False,Cell03,medium_35_40,RandomForest,19,0.013339064129425812,0.04688991673420891
all_windows_available,All window-specific features are available.,False,Cell03,medium_35_40,HistGB,19,0.10040597085946533,0.0062293906188283935
all_windows_available,All window-specific features are available.,False,Cell03,medium_35_40,XGBoost,19,0.02179185412148123,0.028701907819976915
all_windows_available,All window-specific features are available.,False,Cell03,medium_35_40,LightGBM,19,0.1004059706428207,0.0062293906322694655
all_windows_available,All window-specific features are available.,False,Cell03,medium_35_40,CatBoost,19,0.017132121032884303,0.036508480704452964
all_windows_available,All window-specific features are available.,False,Cell03,narrow_36_385,Ridge,19,0.005369795688458643,0.11647871664789268
all_windows_available,All window-specific features are available.,False,Cell03,narrow_36_385,ExtraTrees,19,0.006682505247717475,0.09359770266949342
all_windows_available,All window-specific features are available.,False,Cell03,narrow_36_385,RandomForest,19,0.013863161199252393,0.04511724382902712
all_windows_available,All window-specific features are available.,False,Cell03,narrow_36_385,HistGB,19,0.10040597085946533,0.0062293906188283935
all_windows_available,All window-specific features are available.,False,Cell03,narrow_36_385,XGBoost,19,0.017781757743718672,0.03517468478133509
all_windows_available,All window-specific features are available.,False,Cell03,narrow_36_385,LightGBM,19,0.1004059706428207,0.0062293906322694655
all_windows_available,All window-specific features are available.,False,Cell03,narrow_36_385,CatBoost,19,0.019597078444402727,0.03191637763000764
all_windows_available,All window-specific features are available.,False,Cell03,very_narrow_365_38,Ridge,19,0.02344264979707583,0.02668076407090272
all_windows_available,All window-specific features are available.,False,Cell03,very_narrow_365_38,ExtraTrees,19,0.018774734472839626,0.033314332248039175
all_windows_available,All window-specific features are available.,False,Cell03,very_narrow_365_38,RandomForest,19,0.022481342467121128,0.02782163911868561
all_windows_available,All window-specific features are available.,False,Cell03,very_narrow_365_38,HistGB,19,0.10040597085946533,0.0062293906188283935
all_windows_available,All window-specific features are available.,False,Cell03,very_narrow_365_38,XGBoost,19,0.028589661804620258,0.021877413616869054
all_windows_available,All window-specific features are available.,False,Cell03,very_narrow_365_38,LightGBM,19,0.1004059706428207,0.0062293906322694655
all_windows_available,All window-specific features are available.,False,Cell03,very_narrow_365_38,CatBoost,19,0.027557647472291145,0.022696706926890145
all_windows_available,All window-specific features are available.,False,Cell10,full_32_42,Ridge,19,0.013002258335353763,0.05750034118794082
all_windows_available,All window-specific features are available.,False,Cell10,full_32_42,ExtraTrees,19,0.01512291915368101,0.049437173043822794
all_windows_available,All window-specific features are available.,False,Cell10,full_32_42,RandomForest,19,0.015884517061421823,0.04706686340796097
all_windows_available,All window-specific features are available.,False,Cell10,full_32_42,HistGB,19,0.0913015101498513,0.008188635460536945
all_windows_available,All window-specific features are available.,False,Cell10,full_32_42,XGBoost,19,0.013809913003218993,0.0541375115071773
all_windows_available,All window-specific features are available.,False,Cell10,full_32_42,LightGBM,19,0.09130151081106722,0.008188635401233922
all_windows_available,All window-specific features are available.,False,Cell10,full_32_42,CatBoost,19,0.01720590340142426,0.04345220437051098
all_windows_available,All window-specific features are available.,False,Cell10,medium_35_40,Ridge,19,0.016817127657697592,0.044456725081143095
all_windows_available,All window-specific features are available.,False,Cell10,medium_35_40,ExtraTrees,19,0.014102667720011034,0.05301368153929676
all_windows_available,All window-specific features are available.,False,Cell10,medium_35_40,RandomForest,19,0.016712050854658888,0.044736245996350565
all_windows_available,All window-specific features are available.,False,Cell10,medium_35_40,HistGB,19,0.0913015101498513,0.008188635460536945
all_windows_available,All window-specific features are available.,False,Cell10,medium_35_40,XGBoost,19,0.01132654898559377,0.06600723718923956
all_windows_available,All window-specific features are available.,False,Cell10,medium_35_40,LightGBM,19,0.09130151081106722,0.008188635401233922
all_windows_available,All window-specific features are available.,False,Cell10,medium_35_40,CatBoost,19,0.016050624398979127,0.04657977042624263
all_windows_available,All window-specific features are available.,False,Cell10,narrow_36_385,Ridge,19,0.011876236306332666,0.06295211855797786
all_windows_available,All window-specific features are available.,False,Cell10,narrow_36_385,ExtraTrees,19,0.014983447129409118,0.049897354064741405
all_windows_available,All window-specific features are available.,False,Cell10,narrow_36_385,RandomForest,19,0.017240375994417353,0.04336532057589046
all_windows_available,All window-specific features are available.,False,Cell10,narrow_36_385,HistGB,19,0.0913015101498513,0.008188635460536945
all_windows_available,All window-specific features are available.,False,Cell10,narrow_36_385,XGBoost,19,0.011697484123780763,0.06391410481498551
all_windows_available,All window-specific features are available.,False,Cell10,narrow_36_385,LightGBM,19,0.09130151081106722,0.008188635401233922
all_windows_available,All window-specific features are available.,False,Cell10,narrow_36_385,CatBoost,19,0.01723005455085417,0.04339129800085033
all_windows_available,All window-specific features are available.,False,Cell10,very_narrow_365_38,Ridge,19,0.027248607849736022,0.027437533515383184
all_windows_available,All window-specific features are available.,False,Cell10,very_narrow_365_38,ExtraTrees,19,0.020308767783906452,0.03681338549543137
all_windows_available,All window-specific features are available.,False,Cell10,very_narrow_365_38,RandomForest,19,0.023249763923858094,0.03215665098286415
all_windows_available,All window-specific features are available.,False,Cell10,very_narrow_365_38,HistGB,19,0.0913015101498513,0.008188635460536945
all_windows_available,All window-specific features are available.,False,Cell10,very_narrow_365_38,XGBoost,19,0.021350870703223734,0.03501658202732202
all_windows_available,All window-specific features are available.,False,Cell10,very_narrow_365_38,LightGBM,19,0.09130151081106722,0.008188635401233922
all_windows_available,All window-specific features are available.,False,Cell10,very_narrow_365_38,CatBoost,19,0.022547082552486553,0.03315881476778475
all_windows_available,All window-specific features are available.,False,Cell11,full_32_42,Ridge,19,0.016289169026861956,0.04947505220414613
all_windows_available,All window-specific features are available.,False,Cell11,full_32_42,ExtraTrees,19,0.01482920339180881,0.054345969770846755
all_windows_available,All window-specific features are available.,False,Cell11,full_32_42,RandomForest,19,0.01953708726455016,0.04125013925067509
all_windows_available,All window-specific features are available.,False,Cell11,full_32_42,HistGB,19,0.08694749850375766,0.009268902543444913
all_windows_available,All window-specific features are available.,False,Cell11,full_32_42,XGBoost,19,0.014646227727076657,0.05502491477567559
all_windows_available,All window-specific features are available.,False,Cell11,full_32_42,LightGBM,19,0.08694749874742248,0.009268902517469407
all_windows_available,All window-specific features are available.,False,Cell11,full_32_42,CatBoost,19,0.02425207626882111,0.03323046000181709
all_windows_available,All window-specific features are available.,False,Cell11,medium_35_40,Ridge,19,0.01846356477303299,0.043648534621461704
all_windows_available,All window-specific features are available.,False,Cell11,medium_35_40,ExtraTrees,19,0.015452083555006685,0.05215526167038722
all_windows_available,All window-specific features are available.,False,Cell11,medium_35_40,RandomForest,19,0.018924252711685966,0.04258596464204755
all_windows_available,All window-specific features are available.,False,Cell11,medium_35_40,HistGB,19,0.08694749850375766,0.009268902543444913
