exclude_outliers,window,experiment,model,RMSE,MAE,R2
False,adaptive_all_windows,MAW-GME,MAW-GME,0.005986588688228504,0.00367894075473971,0.9885814611091747
False,full_36_42,MultiHI-Tabular,Ridge,0.004354051543705096,0.003587962740896787,0.9948117139230042
False,full_36_42,MultiHI-Tabular,ExtraTrees,0.005408970700088519,0.003497842306745149,0.9909677199338314
False,full_36_42,MultiHI-Tabular,ElasticNet,0.005536238640817852,0.004242276075119173,0.9912128702672984
False,full_36_42,MultiHI-Tabular,XGBoost,0.005893304829624657,0.0037190776080080045,0.9897445417583992
False,full_36_42,MultiHI-Tabular,RandomForest,0.006720769959426851,0.0038879565827070854,0.9845839357135993
False,full_36_42,MultiHI-Tabular,SVR-RBF,0.007580908056838226,0.003971562203808172,0.979913688902333
False,full_36_42,MultiHI-Tabular,HistGB,0.007622980263389775,0.0041662768058306505,0.9802365994865176
False,full_36_42,MultiHI-Tabular,LightGBM,0.007899425888267888,0.004388909558049661,0.9792106182886838
False,full_36_42,MultiHI-Tabular,KNN,0.008170544004290787,0.0052810386310411924,0.9790048306563871
False,full_36_42,MultiHI-Tabular,CatBoost,0.008324127964243784,0.0055955450153923475,0.9780819638833979
False,full_36_42,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.008512267422794054,0.004453381272125458,0.9720352963265508
False,full_36_42,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.012709152130987332,0.006128738884743245,0.9533291627407166
False,medium_37_40,MultiHI-Tabular,Ridge,0.0054017741272394185,0.004259428284513019,0.9925171479017298
False,medium_37_40,MultiHI-Tabular,ExtraTrees,0.006361406621752728,0.0040596682800940025,0.9878298777629431
False,medium_37_40,MultiHI-Tabular,XGBoost,0.006405193534912364,0.00398455615913143,0.9879520858546653
False,medium_37_40,MultiHI-Tabular,ElasticNet,0.006729383777173834,0.0050049681136692375,0.9863578007767017
False,medium_37_40,MultiHI-Tabular,RandomForest,0.007339222890035482,0.004204126851702208,0.9821816422866292
False,medium_37_40,MultiHI-Tabular,HistGB,0.007632834709306547,0.004187449609028754,0.9799833325219063
False,medium_37_40,MultiHI-Tabular,LightGBM,0.007784414062426652,0.0042664453150854315,0.9788296885691702
False,medium_37_40,MultiHI-Tabular,CatBoost,0.009074099642063814,0.005573749255928251,0.9731425573901844
False,medium_37_40,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.009555461643950252,0.005194544396373503,0.9687731057535738
False,medium_37_40,MultiHI-Tabular,KNN,0.010170158056083732,0.0062646206623026965,0.9698269640439601
False,medium_37_40,MultiHI-Tabular,SVR-RBF,0.011149928872448374,0.0048849615264056016,0.9482952858536411
False,medium_37_40,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.013659087983940976,0.006869003172973609,0.9478785862579975
False,narrow_375_395,MultiHI-Tabular,Ridge,0.004306791912777459,0.0035830438477939645,0.9946740959987277
False,narrow_375_395,MultiHI-Tabular,ElasticNet,0.005669410094423017,0.004252655397484997,0.9901052664508684
False,narrow_375_395,MultiHI-Tabular,XGBoost,0.006770619420744772,0.004499211909789793,0.9868148201108939
False,narrow_375_395,MultiHI-Tabular,ExtraTrees,0.006996721830349073,0.0044914979425989526,0.9848482581243716
False,narrow_375_395,MultiHI-Tabular,LightGBM,0.007672638759598176,0.004344389509292775,0.9802488931940708
False,narrow_375_395,MultiHI-Tabular,HistGB,0.00770850869009241,0.004274998007939731,0.9804541476818552
False,narrow_375_395,MultiHI-Tabular,RandomForest,0.00780767662458056,0.0047570724449513165,0.9805826388988103
False,narrow_375_395,MultiHI-Tabular,CatBoost,0.009237188108414087,0.005941218783159319,0.9725374250785931
False,narrow_375_395,MultiHI-Tabular,KNN,0.009733891936637401,0.00584563290553856,0.9725172329593781
False,narrow_375_395,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.010487979768619385,0.0059785666784398705,0.9644930444589311
False,narrow_375_395,MultiHI-Tabular,SVR-RBF,0.010970839239621286,0.0050143698453966185,0.9506470686095746
False,narrow_375_395,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.014336211361221542,0.007655733913110216,0.9441102915166354
False,very_narrow_38_39,MultiHI-Tabular,Ridge,0.0066636543504441995,0.004848129383626646,0.9889360225627308
False,very_narrow_38_39,MultiHI-Tabular,ElasticNet,0.007429864952451984,0.004891039454155973,0.9857407434329707
False,very_narrow_38_39,MultiHI-Tabular,ExtraTrees,0.0075334927230457545,0.004950032119424597,0.9837133454305637
False,very_narrow_38_39,MultiHI-Tabular,XGBoost,0.008060124040454848,0.005061549968706466,0.9811491022581922
False,very_narrow_38_39,MultiHI-Tabular,RandomForest,0.00811818386768558,0.004984898758939092,0.9801129084469484
False,very_narrow_38_39,MultiHI-Tabular,HistGB,0.008255809267140498,0.0047679384137172065,0.9787944778735679
False,very_narrow_38_39,MultiHI-Tabular,LightGBM,0.008315927227005629,0.00475289699281106,0.9786462203422192
False,very_narrow_38_39,MultiHI-Tabular,SVR-RBF,0.008661805645470783,0.005171619024749932,0.9790965537507014
False,very_narrow_38_39,MultiHI-Tabular,CatBoost,0.00924800179933391,0.006190093632911384,0.9736834524568967
False,very_narrow_38_39,MultiHI-Tabular,KNN,0.010108333438096693,0.0063796572557370205,0.9712455378716915
False,very_narrow_38_39,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.011316912981357737,0.006337080166203971,0.9579039792028566
False,very_narrow_38_39,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.015090855001672007,0.008022202046149505,0.9382372862492326
True,adaptive_all_windows,MAW-GME,MAW-GME,0.004920737571214715,0.003813402047623725,0.9920122836289738
True,full_36_42,MultiHI-Tabular,Ridge,0.004228872894663114,0.0036264120546542124,0.9943775360252486
True,full_36_42,MultiHI-Tabular,SVR-RBF,0.004306526926335749,0.0031334287925718447,0.9947265222618047
True,full_36_42,MultiHI-Tabular,ExtraTrees,0.0045235425656653516,0.003374238229643838,0.993466344751656
True,full_36_42,MultiHI-Tabular,XGBoost,0.0047199795479254385,0.003649831408241376,0.993276532140297
True,full_36_42,MultiHI-Tabular,RandomForest,0.005005180073790595,0.0037000510073625513,0.9923244456950963
True,full_36_42,MultiHI-Tabular,HistGB,0.005150781893743254,0.003829775177544183,0.9919596182950629
True,full_36_42,MultiHI-Tabular,LightGBM,0.005256443491992903,0.003911143213994307,0.9916613440343238
True,full_36_42,MultiHI-Tabular,ElasticNet,0.0054620120177677044,0.004399605574681227,0.9906948802345039
True,full_36_42,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.005711204429212013,0.004139737612553848,0.990109060042828
True,full_36_42,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.005783782199247248,0.0039769834793297295,0.9898002650310059
True,full_36_42,MultiHI-Tabular,CatBoost,0.0059055543404022085,0.005122757108138981,0.9893383328351381
True,full_36_42,MultiHI-Tabular,KNN,0.005998708944785774,0.004809470691097008,0.9887087100440062
True,full_36_42,MultiHI-DeepSequence,TransformerEncoder,0.018428637762574116,0.012909637691700943,0.8297462655488129
True,full_36_42,MultiHI-DeepSequence,LSTM,0.021042022203701768,0.01519971205121437,0.8125054166381813
True,full_36_42,MultiHI-DeepSequence,GRU,0.02436972258182603,0.020776128890144133,0.7631292043423558
