dataset,protocol,test_cell,row_index,cycle_number,measurement_source,model,window,selected_model,selected_window,mode,availability,true_soh,pred_soh,abs_error,feature_assembly_time_ms,inference_time_ms,total_update_time_ms,model_size_kb,n_experts,measurement_val_rmse
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,0,0.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,1.0,1.0036401171110532,0.003640117111053165,0.4978970000593108,3.0113710001842264,3.5092680002435372,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,1,100.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.9879341903869114,0.9913034826560978,0.0033692922691863636,0.4135479998694791,2.569110999957047,2.9826589998265263,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,2,200.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.9819185685326264,0.9882273895976336,0.006308821065007186,0.37251300000207266,2.448852000043189,2.8213650000452617,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,3,300.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.9779901456267632,0.9822241757067632,0.004234030080000006,0.35729499995795777,2.4121639999066247,2.7694589998645824,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,4,400.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.971933813142211,0.9770999284856159,0.005166115343404942,0.34994199995708186,2.383112999950754,2.7330549999078357,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,5,500.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.9673496633874816,0.9721062050356175,0.004756541648135881,0.3745970000181842,2.389411999956792,2.764008999974976,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,6,600.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.9628059674337692,0.9659830525360142,0.003177085102245014,0.3382959998816659,2.343753999866749,2.682049999748415,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,7,700.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.9599805615275302,0.9625380244422299,0.002557462914699715,0.3458230000887852,2.3568340000110766,2.7026570000998618,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,8,800.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.9549960513654362,0.9565316602954914,0.0015356089300552211,0.37168700009715394,2.3754849999022554,2.7471719999994093,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,9,900.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.9505271222934892,0.9524280226072016,0.0019009003137123726,0.3590609999264416,2.3654110000279616,2.724471999954403,2.234375,1,0.004273322351673966
