dataset,test_cell,deployment_model,expert_window,expert_model,expert_inner_rmse,expert_rank_score,expert_weight,expert_model_size_kb,n_features
Dataset 2,Cell1,MAW-GME-full-40experts,narrow_375_395,Ridge,0.004273322351673966,0.004373645919200629,0.05061640432116698,2.234375,17
Dataset 2,Cell1,MAW-GME-full-40experts,medium_37_40,Ridge,0.004743838950111873,0.004854403193228719,0.045603603887019555,2.20703125,17
Dataset 2,Cell1,MAW-GME-full-40experts,full_36_42,Ridge,0.00491481866736992,0.0050285262333058375,0.04402448865768367,2.1796875,17
Dataset 2,Cell1,MAW-GME-full-40experts,full_36_42,ElasticNet,0.00556902161902252,0.005700734954397622,0.03883329953169542,2.2626953125,17
Dataset 2,Cell1,MAW-GME-full-40experts,narrow_375_395,ElasticNet,0.005634633500897416,0.0057697718644783074,0.03836864920853309,2.3173828125,17
Dataset 2,Cell1,MAW-GME-full-40experts,medium_37_40,ElasticNet,0.006216730462212161,0.006364800478461096,0.03478166979473831,2.2900390625,17
Dataset 2,Cell1,MAW-GME-full-40experts,very_narrow_38_39,Ridge,0.006923815077111372,0.007088108503825529,0.031232369527744757,2.275390625,17
Dataset 2,Cell1,MAW-GME-full-40experts,full_36_42,ExtraTrees,0.006229798980252117,0.007497970882168405,0.02952511347346912,30685.6376953125,17
Dataset 2,Cell1,MAW-GME-full-40experts,very_narrow_38_39,ElasticNet,0.0075867161440759945,0.0077705368448915,0.02848946680161418,2.3583984375,17
Dataset 2,Cell1,MAW-GME-full-40experts,medium_37_40,ExtraTrees,0.00685261995702193,0.008247575376364294,0.026841642282642554,30683.6962890625,17
Dataset 2,Cell1,MAW-GME-full-40experts,full_36_42,RandomForest,0.007132503328112272,0.008401906947496169,0.02634859851047405,8516.1943359375,17
Dataset 2,Cell1,MAW-GME-full-40experts,very_narrow_38_39,XGBoost,0.007972675152320322,0.009007889075599568,0.02457606757246991,667.4794921875,17
Dataset 2,Cell1,MAW-GME-full-40experts,medium_37_40,RandomForest,0.007764462400988465,0.009146369862847694,0.024203973559764082,8526.91796875,17
Dataset 2,Cell1,MAW-GME-full-40experts,medium_37_40,XGBoost,0.00813123817781382,0.00918614161805383,0.024099181634760054,665.57421875,17
Dataset 2,Cell1,MAW-GME-full-40experts,narrow_375_395,ExtraTrees,0.007685586805340546,0.00925010644263208,0.023932535091950896,30683.8642578125,17
Dataset 2,Cell1,MAW-GME-full-40experts,full_36_42,XGBoost,0.008209655776089352,0.00927345591114237,0.023872275855560163,655.78125,17
Dataset 2,Cell1,MAW-GME-full-40experts,narrow_375_395,XGBoost,0.008605757654912007,0.009722420953315512,0.022769895454225916,661.083984375,17
Dataset 2,Cell1,MAW-GME-full-40experts,narrow_375_395,RandomForest,0.00830173511798805,0.009779265315869447,0.022637540023919663,8516.3896484375,17
Dataset 2,Cell1,MAW-GME-full-40experts,very_narrow_38_39,LightGBM,0.008784355276299772,0.009972243174455678,0.022199470119249946,887.626953125,17
Dataset 2,Cell1,MAW-GME-full-40experts,very_narrow_38_39,HistGB,0.008825502767857683,0.009991700450653817,0.02215624016140681,847.3994140625,17
Dataset 2,Cell1,MAW-GME-full-40experts,very_narrow_38_39,ExtraTrees,0.008308725821320782,0.01000008791218029,0.02213765688216724,30684.1865234375,17
Dataset 2,Cell1,MAW-GME-full-40experts,narrow_375_395,LightGBM,0.008854038511107646,0.010052166880039364,0.022022964678179966,889.6943359375,17
Dataset 2,Cell1,MAW-GME-full-40experts,medium_37_40,LightGBM,0.00894029272476137,0.010150163048162257,0.021810341096401897,889.029296875,17
