dataset,protocol,stress_scenario,measurement_source,model,window,rmse,mae,r2,n_eval,n_rows,n_predictions,measurement_update_count,prediction_only_count,no_measurement_count,mean_availability,mean_update_time_ms,median_update_time_ms,p95_update_time_ms,mean_feature_assembly_time_ms,mean_inference_time_ms,mean_model_size_kb,mean_n_experts,measurement_val_rmse
Dataset 2,BMS-3B_structured_missing_fast_pruned,all_windows_available,Best-single-selected,Best-single-selected,per_fold_selected,0.004936887854476516,0.003985030975398594,0.9946587036186229,519,519,519,519,0,0,1.0,2.8264278053861944,2.773884999442089,3.210547100434269,0.3787128073191229,2.4477149980670716,2.216883429672447,1.0,0.004920393907766753
Dataset 2,BMS-3B_structured_missing_fast_pruned,all_windows_available,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.004934596231748936,0.003952906792317566,0.9946636611528769,519,519,519,519,0,0,1.0,7.53252557031896,7.31828099969789,8.892010700037645,1.0177619845733905,6.514763585745569,6.653484013728324,3.0,0.005191959121691399
Dataset 2,BMS-3B_structured_missing_fast_pruned,all_windows_available,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.005270568770904781,0.0039639161999168015,0.99391227365316,519,519,519,519,0,0,1.0,56.612823803463996,12.909463000596588,135.70370149996052,1.6352553930574654,54.97756841040653,12042.419442061055,5.0,0.005480596251768545
Dataset 2,BMS-3B_structured_missing_fast_pruned,best_window_only,Best-single-selected,Best-single-selected,per_fold_selected,0.004936887854476516,0.003985030975398594,0.9946587036186229,519,519,519,519,0,0,1.0,2.849758593435751,2.7736239999285317,3.3193214998391336,0.3770513949812628,2.472707198454488,2.216883429672447,1.0,0.004920393907766753
Dataset 2,BMS-3B_structured_missing_fast_pruned,best_window_only,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.004925616811925091,0.003959378164740286,0.9946830644140187,519,519,519,519,0,0,1.0,2.9534870057814295,2.490915000635141,5.677908899815519,0.43925281887488365,2.514234186906546,6.653484013728324,3.0,0.005191959121691399
Dataset 2,BMS-3B_structured_missing_fast_pruned,best_window_only,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.005707521072803091,0.004034875877481425,0.9928610358611462,519,519,519,519,0,0,1.0,16.02943066859859,4.988142999991396,130.1409147004506,0.7125615741814567,15.316869094417134,12042.419442061055,5.0,0.005480596251768545
Dataset 2,BMS-3B_structured_missing_fast_pruned,best_window_unavailable,Best-single-selected,Best-single-selected,per_fold_selected,0.14741691154064848,0.13102918481832262,-3.7624975980946376,519,519,519,0,519,0,0.0,0.0,0.0,0.0,0.0,0.0,2.216883429672447,1.0,0.004920393907766753
Dataset 2,BMS-3B_structured_missing_fast_pruned,best_window_unavailable,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.005175001116147186,0.004118309214685968,0.9941310413631421,519,519,519,519,0,0,1.0,4.702273427725136,4.9466729988125735,5.630886700009796,0.6702003737944162,4.03207305393072,6.653484013728324,3.0,0.005191959121691399
Dataset 2,BMS-3B_structured_missing_fast_pruned,best_window_unavailable,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.005074824271541833,0.0039489891857138965,0.9943560628386674,519,519,519,519,0,0,1.0,40.95114405009836,7.515947999308992,127.808241000821,1.074442936427315,39.87670111367104,12042.419442061055,5.0,0.005480596251768545
Dataset 2,BMS-3B_structured_missing_fast_pruned,icdva_shape_features_removed,Best-single-selected,Best-single-selected,per_fold_selected,0.03925883412555117,0.03321326525365926,0.6622347631979344,519,519,519,519,0,0,0.588235294117647,2.889343805428309,2.822095999817975,3.4089308999682544,0.34322052795824026,2.5461232774700693,2.216883429672447,1.0,0.004920393907766753
