window,model_name,inner_rmse,inner_mae,inner_valid_folds,inner_model_size_kb,rank_score,n_features,test_cell,dataset
narrow_375_395,Ridge,0.004273322351673966,0.00348252593931997,7,2.234375,0.004373645919200629,17,Cell1,Dataset 2
medium_37_40,Ridge,0.004743838950111873,0.003767907902906179,7,2.20703125,0.004854403193228719,17,Cell1,Dataset 2
full_36_42,Ridge,0.00491481866736992,0.004061321731689801,7,2.1796875,0.0050285262333058375,17,Cell1,Dataset 2
full_36_42,ElasticNet,0.00556902161902252,0.00457253681419643,7,2.2626953125,0.005700734954397622,17,Cell1,Dataset 2
narrow_375_395,ElasticNet,0.005634633500897416,0.004559353653289971,7,2.3173828125,0.0057697718644783074,17,Cell1,Dataset 2
medium_37_40,ElasticNet,0.006216730462212161,0.0046606681245533535,7,2.2900390625,0.006364800478461096,17,Cell1,Dataset 2
very_narrow_38_39,Ridge,0.006923815077111372,0.005227345124466403,7,2.275390625,0.007088108503825529,17,Cell1,Dataset 2
full_36_42,ExtraTrees,0.006229798980252117,0.004074943323338144,7,26323.966238839286,0.007497970882168405,17,Cell1,Dataset 2
very_narrow_38_39,ElasticNet,0.0075867161440759945,0.0051425508353506785,7,2.3583984375,0.0077705368448915,17,Cell1,Dataset 2
medium_37_40,ExtraTrees,0.00685261995702193,0.004376107585547042,7,26323.712332589286,0.008247575376364294,17,Cell1,Dataset 2
full_36_42,RandomForest,0.007132503328112272,0.004076147313409441,7,7321.626395089285,0.008401906947496169,17,Cell1,Dataset 2
very_narrow_38_39,XGBoost,0.007972675152320322,0.0052071605779606634,7,659.0146484375,0.009007889075599568,17,Cell1,Dataset 2
medium_37_40,RandomForest,0.007764462400988465,0.004526353538147655,7,7323.100167410715,0.009146369862847694,17,Cell1,Dataset 2
medium_37_40,XGBoost,0.00813123817781382,0.004825450882244668,7,655.3755580357143,0.00918614161805383,17,Cell1,Dataset 2
narrow_375_395,ExtraTrees,0.007685586805340546,0.005163676566772635,7,26323.900390625,0.00925010644263208,17,Cell1,Dataset 2
full_36_42,XGBoost,0.008209655776089352,0.004808099357813365,7,650.2912946428571,0.00927345591114237,17,Cell1,Dataset 2
narrow_375_395,XGBoost,0.008605757654912007,0.0052860732044851064,7,656.1319754464286,0.009722420953315512,17,Cell1,Dataset 2
