dataset,protocol,test_cell,row_index,cycle_number,measurement_source,model,window,mode,availability,true_soh,pred_soh,abs_error,feature_assembly_time_ms,inference_time_ms,total_update_time_ms,model_size_kb,n_experts,measurement_val_rmse
Dataset 2,Kadem-style_GPR-EKF_Colab,Cell1,0,0.0,Kadem-style GPR-EKF::very_narrow_38_39,Kadem-style GPR-EKF,very_narrow_38_39,measurement_update,1.0,1.0,1.0018473174494638,0.001847317449463759,0.0,6.618963000164513,6.618963000164513,3031.3369140625,1,
Dataset 2,Kadem-style_GPR-EKF_Colab,Cell1,1,100.0,Kadem-style GPR-EKF::very_narrow_38_39,Kadem-style GPR-EKF,very_narrow_38_39,measurement_update,1.0,0.9879341903869114,0.9816609678753634,0.006273222511548049,0.0,3.661354000087158,3.661354000087158,3031.3369140625,1,
Dataset 2,Kadem-style_GPR-EKF_Colab,Cell1,2,200.0,Kadem-style GPR-EKF::very_narrow_38_39,Kadem-style GPR-EKF,very_narrow_38_39,measurement_update,1.0,0.9819185685326264,0.9802836376079315,0.0016349309246949106,0.0,3.385092000144141,3.385092000144141,3031.3369140625,1,
Dataset 2,Kadem-style_GPR-EKF_Colab,Cell1,3,300.0,Kadem-style GPR-EKF::very_narrow_38_39,Kadem-style GPR-EKF,very_narrow_38_39,measurement_update,1.0,0.9779901456267632,0.9770225635575079,0.0009675820692552906,0.0,3.3121959997970407,3.3121959997970407,3031.3369140625,1,
Dataset 2,Kadem-style_GPR-EKF_Colab,Cell1,4,400.0,Kadem-style GPR-EKF::very_narrow_38_39,Kadem-style GPR-EKF,very_narrow_38_39,measurement_update,1.0,0.971933813142211,0.9733611341248394,0.0014273209826284328,0.0,3.473674999895593,3.473674999895593,3031.3369140625,1,
Dataset 2,Kadem-style_GPR-EKF_Colab,Cell1,5,500.0,Kadem-style GPR-EKF::very_narrow_38_39,Kadem-style GPR-EKF,very_narrow_38_39,measurement_update,1.0,0.9673496633874816,0.9674215813743494,7.191798686778661e-05,0.0,3.257406000102492,3.257406000102492,3031.3369140625,1,
Dataset 2,Kadem-style_GPR-EKF_Colab,Cell1,6,600.0,Kadem-style GPR-EKF::very_narrow_38_39,Kadem-style GPR-EKF,very_narrow_38_39,measurement_update,1.0,0.9628059674337692,0.9616391135483526,0.0011668538854165966,0.0,3.9607389999218867,3.9607389999218867,3031.3369140625,1,
Dataset 2,Kadem-style_GPR-EKF_Colab,Cell1,7,700.0,Kadem-style GPR-EKF::very_narrow_38_39,Kadem-style GPR-EKF,very_narrow_38_39,measurement_update,1.0,0.9599805615275302,0.9586855074519113,0.0012950540756189177,0.0,3.5624959998585837,3.5624959998585837,3031.3369140625,1,
Dataset 2,Kadem-style_GPR-EKF_Colab,Cell1,8,800.0,Kadem-style GPR-EKF::very_narrow_38_39,Kadem-style GPR-EKF,very_narrow_38_39,measurement_update,1.0,0.9549960513654362,0.9528439601669382,0.0021520911984980184,0.0,3.404896999882112,3.404896999882112,3031.3369140625,1,
Dataset 2,Kadem-style_GPR-EKF_Colab,Cell1,9,900.0,Kadem-style GPR-EKF::very_narrow_38_39,Kadem-style GPR-EKF,very_narrow_38_39,measurement_update,1.0,0.9505271222934892,0.9508194016753323,0.00029227938184306357,0.0,3.5151179999957094,3.5151179999957094,3031.3369140625,1,
Dataset 2,Kadem-style_GPR-EKF_Colab,Cell1,10,1000.0,Kadem-style GPR-EKF::very_narrow_38_39,Kadem-style GPR-EKF,very_narrow_38_39,measurement_update,1.0,0.9462932123200192,0.9476236553662288,0.0013304430462096617,0.0,3.313538999918819,3.313538999918819,3031.3369140625,1,
Dataset 2,Kadem-style_GPR-EKF_Colab,Cell1,11,1100.0,Kadem-style GPR-EKF::very_narrow_38_39,Kadem-style GPR-EKF,very_narrow_38_39,measurement_update,1.0,0.9420556121867812,0.9435116115527933,0.0014559993660120396,0.0,3.3384579999165,3.3384579999165,3031.3369140625,1,
Dataset 2,Kadem-style_GPR-EKF_Colab,Cell1,12,1200.0,Kadem-style GPR-EKF::very_narrow_38_39,Kadem-style GPR-EKF,very_narrow_38_39,measurement_update,1.0,0.9379746201503268,0.9380268101334734,5.218998314659995e-05,0.0,3.3236689998830116,3.3236689998830116,3031.3369140625,1,
Dataset 2,Kadem-style_GPR-EKF_Colab,Cell1,13,1300.0,Kadem-style GPR-EKF::very_narrow_38_39,Kadem-style GPR-EKF,very_narrow_38_39,measurement_update,1.0,0.9340530286945622,0.9347030909822345,0.0006500622876722817,0.0,3.244569999878877,3.244569999878877,3031.3369140625,1,
Dataset 2,Kadem-style_GPR-EKF_Colab,Cell1,14,1400.0,Kadem-style GPR-EKF::very_narrow_38_39,Kadem-style GPR-EKF,very_narrow_38_39,measurement_update,1.0,0.9303329460978876,0.9311197740228293,0.0007868279249416688,0.0,3.365872999893327,3.365872999893327,3031.3369140625,1,
Dataset 2,Kadem-style_GPR-EKF_Colab,Cell1,15,1600.0,Kadem-style GPR-EKF::very_narrow_38_39,Kadem-style GPR-EKF,very_narrow_38_39,measurement_update,1.0,0.92249525210398,0.922275061675393,0.0002201904285870082,0.0,3.3474209999440063,3.3474209999440063,3031.3369140625,1,
Dataset 2,Kadem-style_GPR-EKF_Colab,Cell1,16,1800.0,Kadem-style GPR-EKF::very_narrow_38_39,Kadem-style GPR-EKF,very_narrow_38_39,measurement_update,1.0,0.9144596673802964,0.9133315672197331,0.0011281001605633056,0.0,3.335762999995495,3.335762999995495,3031.3369140625,1,
