experiment,window,test_cell,model,exclude_outliers,n_features,n_experts,RMSE,MAE,R2
MAW-GME,adaptive_all_windows,Cell1,MAW-GME,False,68,28,0.004817290684314975,0.004423516808081844,0.9950912656570089
MAW-GME,adaptive_all_windows,Cell2,MAW-GME,False,68,28,0.008558483078929261,0.004908568504445121,0.9874484056562128
MAW-GME,adaptive_all_windows,Cell3,MAW-GME,False,68,28,0.0017306555452942893,0.0012431956257647145,0.9993392329972155
MAW-GME,adaptive_all_windows,Cell4,MAW-GME,False,68,28,0.0022671165214290683,0.0018036437792031065,0.9986358953550404
MAW-GME,adaptive_all_windows,Cell5,MAW-GME,False,68,28,0.0127405422993798,0.002571718072582815,0.960599520734356
MAW-GME,adaptive_all_windows,Cell6,MAW-GME,False,68,28,0.004119921122878671,0.002138815400942288,0.9945579913648256
MAW-GME,adaptive_all_windows,Cell7,MAW-GME,False,68,28,0.008043249068822967,0.007495604510616178,0.9799493818450595
MAW-GME,adaptive_all_windows,Cell8,MAW-GME,False,68,28,0.005615451184779,0.004846463336281611,0.9930299952636786
MAW-GME,adaptive_all_windows,Cell1,MAW-GME,True,68,28,0.004850521372243248,0.0043071201375647905,0.9950233091021603
MAW-GME,adaptive_all_windows,Cell2,MAW-GME,True,68,28,0.010018249896489612,0.006711107835161904,0.9817733072180584
MAW-GME,adaptive_all_windows,Cell3,MAW-GME,True,68,28,0.0019214947899150044,0.0014105390174062812,0.9991854729846505
MAW-GME,adaptive_all_windows,Cell4,MAW-GME,True,68,28,0.0022151538787602214,0.001820182536852547,0.9986977097021463
MAW-GME,adaptive_all_windows,Cell5,MAW-GME,True,68,28,0.000961481720411501,0.0007475957112484721,0.9996339236546158
MAW-GME,adaptive_all_windows,Cell6,MAW-GME,True,68,28,0.0046976344376488816,0.0024401379029543964,0.992924781458
MAW-GME,adaptive_all_windows,Cell7,MAW-GME,True,68,28,0.00859593744903334,0.00788472460709551,0.9770991699012715
MAW-GME,adaptive_all_windows,Cell8,MAW-GME,True,68,28,0.006105427025215911,0.0051858086327059,0.9917605950108874
