experiment,window,test_cell,model,exclude_outliers,n_train,n_test,n_features,seq_len,RMSE,MAE,R2
MultiHI-DeepSequence,full_36_42,Cell1,LSTM,True,338,74,17,5,0.05079116340658364,0.020167485462552853,0.3426662473270794
MultiHI-DeepSequence,full_36_42,Cell1,GRU,True,338,74,17,5,0.021907748884425347,0.01881221824674199,0.8777060085284819
MultiHI-DeepSequence,full_36_42,Cell1,TCN,True,338,74,17,5,0.03069835976694733,0.01790159295674329,0.7598735754360381
MultiHI-DeepSequence,full_36_42,Cell1,TransformerEncoder,True,338,74,17,5,0.06193069094138631,0.03060584014081547,0.022714484493597586
MultiHI-DeepSequence,full_36_42,Cell2,LSTM,True,345,67,17,5,0.01280273676995387,0.01060936412808988,0.9649920297352556
MultiHI-DeepSequence,full_36_42,Cell2,GRU,True,345,67,17,5,0.023656604830317427,0.019834729661797192,0.8804729696869954
MultiHI-DeepSequence,full_36_42,Cell2,TCN,True,345,67,17,5,0.013134807653196372,0.008926890184905476,0.9631524400997901
MultiHI-DeepSequence,full_36_42,Cell2,TransformerEncoder,True,345,67,17,5,0.014237157278101275,0.012397547073765279,0.9567079786158966
MultiHI-DeepSequence,full_36_42,Cell3,LSTM,True,340,72,17,5,0.012184928116846945,0.010455151634620394,0.961488077734764
MultiHI-DeepSequence,full_36_42,Cell3,GRU,True,340,72,17,5,0.012482888924965466,0.009293929679267317,0.9595815676120796
MultiHI-DeepSequence,full_36_42,Cell3,TCN,True,340,72,17,5,0.02203122746709445,0.018294002216029392,0.8740997355433942
MultiHI-DeepSequence,full_36_42,Cell3,TransformerEncoder,True,340,72,17,5,0.011608816681072479,0.010287388799933966,0.9650437240009324
MultiHI-DeepSequence,full_36_42,Cell4,LSTM,True,369,43,17,5,0.01564112661210257,0.012600053031025578,0.9162167110137218
MultiHI-DeepSequence,full_36_42,Cell4,GRU,True,369,43,17,5,0.038311069054129405,0.034302382168655346,0.4973451425788693
MultiHI-DeepSequence,full_36_42,Cell4,TCN,True,369,43,17,5,0.04639332048942146,0.040942879475904206,0.2628900795403133
MultiHI-DeepSequence,full_36_42,Cell4,TransformerEncoder,True,369,43,17,5,0.011045574552443352,0.008994693701305637,0.9582171591787388
MultiHI-DeepSequence,full_36_42,Cell5,LSTM,True,371,41,17,5,0.016458087412236522,0.01599637301374725,0.8605073846297422
MultiHI-DeepSequence,full_36_42,Cell5,GRU,True,371,41,17,5,0.01762959470392878,0.01479675271891084,0.839942089089823
MultiHI-DeepSequence,full_36_42,Cell5,TCN,True,371,41,17,5,0.011656547337713338,0.010929419959458711,0.9300267007907828
MultiHI-DeepSequence,full_36_42,Cell5,TransformerEncoder,True,371,41,17,5,0.01544126520019923,0.01401936254268238,0.8772113423343428
MultiHI-DeepSequence,full_36_42,Cell6,LSTM,True,370,42,17,5,0.016539492551624454,0.014509104215671035,0.8892391383813305
MultiHI-DeepSequence,full_36_42,Cell6,GRU,True,370,42,17,5,0.02504090102675671,0.020447265499968476,0.7461121796039938
MultiHI-DeepSequence,full_36_42,Cell6,TCN,True,370,42,17,5,0.015761386049913596,0.013759983550911268,0.8994155658977934
MultiHI-DeepSequence,full_36_42,Cell6,TransformerEncoder,True,370,42,17,5,0.01195716956001735,0.009052505688372247,0.9421106411554114
MultiHI-DeepSequence,full_36_42,Cell7,LSTM,True,339,73,17,5,0.03348706102980006,0.02824573271933574,0.5927374496055378
MultiHI-DeepSequence,full_36_42,Cell7,GRU,True,339,73,17,5,0.04225087006305722,0.03723561353557653,0.35167656143411896
MultiHI-DeepSequence,full_36_42,Cell7,TCN,True,339,73,17,5,0.037110518321540366,0.031492740655066374,0.4998336735031569
MultiHI-DeepSequence,full_36_42,Cell7,TransformerEncoder,True,339,73,17,5,0.013934159175961967,0.011925879642781401,0.9294849295633171
MultiHI-DeepSequence,full_36_42,Cell8,LSTM,True,339,72,17,5,0.010431581730466079,0.009014432204672233,0.9721962946780198
