feature,mean_abs_shap
pmax_norm_medium_37_40,0.03804647709670746
ic_std_medium_37_40,0.010713860608300728
pmax_medium_37_40,0.0035483107638497663
ic_area_medium_37_40,0.003530743207240319
ic_mean_medium_37_40,0.002530287158378577
charge_time_window_medium_37_40,0.0012615024463310648
cycle_number,0.0010487807699981748
peak_width_medium_37_40,0.0009214652701796875
temp_max,0.0007035634177918634
dva_std_medium_37_40,0.0007030416049684152
dva_mean_medium_37_40,0.0005678590591780446
pmax_voltage_medium_37_40,0.00042358797233618667
temp_mean_window_medium_37_40,0.00037890186196511903
temp_mean,0.00030968448870478753
q_delta_window_medium_37_40,0.000300348811214159
temp_max_window_medium_37_40,0.00022189386399804788
dva_abs_mean_medium_37_40,6.225502779890724e-05
