experiment,window,test_cell,model,exclude_outliers,n_train,n_test,n_features,RMSE,MAE,R2
SingleHI-Polynomial-EKF,full_36_42,Cell1,SingleHI-Polynomial-EKF,False,441,78,1,0.004640465387927975,0.003204350637305432,0.9954450155572533
SingleHI-Polynomial-EKF,full_36_42,Cell2,SingleHI-Polynomial-EKF,False,446,73,1,0.017975998841181402,0.011909680037376191,0.9446278527780341
SingleHI-Polynomial-EKF,full_36_42,Cell3,SingleHI-Polynomial-EKF,False,443,76,1,0.004325823862061677,0.002971057215059687,0.9958717619296965
SingleHI-Polynomial-EKF,full_36_42,Cell4,SingleHI-Polynomial-EKF,False,472,47,1,0.0026190941506216117,0.0022825414554052863,0.998179451616637
SingleHI-Polynomial-EKF,full_36_42,Cell5,SingleHI-Polynomial-EKF,False,473,46,1,0.023737680273269272,0.004972335485168603,0.8632264156568652
SingleHI-Polynomial-EKF,full_36_42,Cell6,SingleHI-Polynomial-EKF,False,473,46,1,0.004827004502871692,0.0026657117577789536,0.9925297208368042
SingleHI-Polynomial-EKF,full_36_42,Cell7,SingleHI-Polynomial-EKF,False,442,77,1,0.0053537108756033696,0.004084684617275711,0.9911166952980157
SingleHI-Polynomial-EKF,full_36_42,Cell8,SingleHI-Polynomial-EKF,False,443,76,1,0.004618361488815423,0.0035366889716337982,0.995285456939101
SingleHI-Polynomial-EKF,medium_37_40,Cell1,SingleHI-Polynomial-EKF,False,441,78,1,0.005516892069218352,0.0036938290304978994,0.9935619729389564
SingleHI-Polynomial-EKF,medium_37_40,Cell2,SingleHI-Polynomial-EKF,False,446,73,1,0.018492646651111517,0.012561223859046856,0.9413992134840667
SingleHI-Polynomial-EKF,medium_37_40,Cell3,SingleHI-Polynomial-EKF,False,443,76,1,0.005464537231538064,0.003514106480978759,0.9934122994571497
SingleHI-Polynomial-EKF,medium_37_40,Cell4,SingleHI-Polynomial-EKF,False,472,47,1,0.004006551603488616,0.0035115088141420858,0.9957396872139965
SingleHI-Polynomial-EKF,medium_37_40,Cell5,SingleHI-Polynomial-EKF,False,473,46,1,0.02393730762963674,0.005326854830783239,0.8609162861703885
SingleHI-Polynomial-EKF,medium_37_40,Cell6,SingleHI-Polynomial-EKF,False,473,46,1,0.0067483099338501145,0.0034103027288234465,0.985399374396362
