experiment,scenario,description,test_cell,model,exclude_outliers,n_train,n_test,n_features,n_experts,RMSE,MAE,R2
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell1,Ridge,False,441,78,59,,0.006196939918133381,0.005708397801225175,0.9918769637080761
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell2,Ridge,False,446,73,59,,0.004920905510508173,0.004272431555579841,0.995850503964634
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell3,Ridge,False,443,76,59,,0.0024122730021489394,0.0018718278945343207,0.9987162513992559
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell4,Ridge,False,472,47,59,,0.004800295757184289,0.004125994438006204,0.9938844433115845
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell5,Ridge,False,473,46,59,,0.001715446692449622,0.0013119561347562383,0.9992857008550997
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell6,Ridge,False,473,46,59,,0.0034811189780238126,0.0024465586899969868,0.996114748314418
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell7,Ridge,False,442,77,59,,0.006038793095174897,0.00571121180381817,0.9886977468306964
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell8,Ridge,False,443,76,59,,0.002823160030364397,0.0023386063701345636,0.9982382886424612
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell1,ExtraTrees,False,441,78,59,,0.005475151056026666,0.00430994118651922,0.9936590251050434
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell2,ExtraTrees,False,446,73,59,,0.006804732502484915,0.004550800017550689,0.9920653565312486
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell3,ExtraTrees,False,443,76,59,,0.0027417711892593825,0.0023428481919478186,0.9983415992416443
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell4,ExtraTrees,False,472,47,59,,0.0015400150174526644,0.0012120222247535626,0.9993705664095156
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell5,ExtraTrees,False,473,46,59,,0.010648153479177053,0.0027789910914307095,0.9724783618171121
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell6,ExtraTrees,False,473,46,59,,0.004510221591824379,0.0022521546145481334,0.993478054231734
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell7,ExtraTrees,False,442,77,59,,0.008047231947005717,0.007153765542538354,0.9799295194881046
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell8,ExtraTrees,False,443,76,59,,0.005900750180822129,0.004532058228219836,0.9923037668207549
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell1,RandomForest,False,441,78,59,,0.005853513809747705,0.004578967696901988,0.9927523515904443
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell2,RandomForest,False,446,73,59,,0.007720585651139709,0.004409891118104727,0.989785766240213
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell3,RandomForest,False,443,76,59,,0.003003606362711381,0.002579155155417645,0.9980097249353438
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell4,RandomForest,False,472,47,59,,0.0024757520464522313,0.0020485211130436293,0.9983732744141093
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell5,RandomForest,False,473,46,59,,0.016284023426648236,0.0040597043916524135,0.9356350978383801
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell6,RandomForest,False,473,46,59,,0.004390667437250284,0.0025155569508387298,0.993819231025035
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell7,RandomForest,False,442,77,59,,0.007914906534317739,0.007010086247749916,0.9805841542497767
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell8,RandomForest,False,443,76,59,,0.005895462909185352,0.004483099086835491,0.9923175528118288
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell1,HistGB,False,441,78,59,,0.00486977159723186,0.0038392708903832303,0.9949837288107816
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell2,HistGB,False,446,73,59,,0.00999659486145393,0.004630371633404606,0.9828758317937935
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell3,HistGB,False,443,76,59,,0.005057924857543196,0.0037231287472612247,0.9943561973819707
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell4,HistGB,False,472,47,59,,0.0020247838038811045,0.0014997279095200543,0.9989119287863366
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell5,HistGB,False,473,46,59,,0.01764237113636198,0.004047540892523137,0.9244491100754512
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell6,HistGB,False,473,46,59,,0.004407723801187946,0.0027851020385363293,0.993771117060057
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell7,HistGB,False,442,77,59,,0.007789415557543803,0.006690048853738395,0.9811949505887284
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell8,HistGB,False,443,76,59,,0.004703388954530002,0.0035189755184900974,0.9951102624392187
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell1,XGBoost,False,441,78,59,,0.005024317699266091,0.0039043288979457246,0.9946602858499201
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell2,XGBoost,False,446,73,59,,0.011212272964202475,0.005541830113373858,0.9784576723805813
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell3,XGBoost,False,443,76,59,,0.002734569175271153,0.0023194952529252792,0.9983503002876251
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell4,XGBoost,False,472,47,59,,0.00220848980171692,0.0017641158737173323,0.9987055335455827
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell5,XGBoost,False,473,46,59,,0.010448309476048035,0.0031104436847940054,0.9735017171200372
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell6,XGBoost,False,473,46,59,,0.0035902049815269683,0.002126515410243154,0.9958674328979985
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell7,XGBoost,False,442,77,59,,0.008639303206430167,0.007448843397893886,0.9768675216535687
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell8,XGBoost,False,443,76,59,,0.006544489615993799,0.005008048128725945,0.9905329357054298
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell1,LightGBM,False,441,78,59,,0.004336072988745939,0.0034512567438200136,0.9960229871829739
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell2,LightGBM,False,446,73,59,,0.010375601889361865,0.005004719273562095,0.9815527386252061
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell3,LightGBM,False,443,76,59,,0.004468382572956815,0.003402086636902462,0.9955951840224203
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell4,LightGBM,False,472,47,59,,0.0021552773691596748,0.0016608096117676785,0.9987671610650507
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell5,LightGBM,False,473,46,59,,0.017938633408833688,0.00408057690285118,0.9218904049952983
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell6,LightGBM,False,473,46,59,,0.004636379735602596,0.002773545002494539,0.993108092789287
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell7,LightGBM,False,442,77,59,,0.007334700912046173,0.006461541079111019,0.9833263934119685
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell8,LightGBM,False,443,76,59,,0.004625607536280856,0.0035424168828648048,0.9952706514275722
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell1,CatBoost,False,441,78,59,,0.005528203519159534,0.00487388176171963,0.9935355457129267
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell2,CatBoost,False,446,73,59,,0.011158468765870426,0.006096433237891572,0.9786639261293937
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell3,CatBoost,False,443,76,59,,0.0035018187153288438,0.002705095563349437,0.9972947064967361
