scenario,description,exclude_outliers,test_cell,window,model_name,n_features,val_rmse,weight
all_windows_available,All window-specific features are available.,False,Cell1,full_36_42,Ridge,17,0.005834706879593988,0.03864896757535142
all_windows_available,All window-specific features are available.,False,Cell1,full_36_42,ExtraTrees,17,0.004642392500298198,0.04857523307733412
all_windows_available,All window-specific features are available.,False,Cell1,full_36_42,RandomForest,17,0.004466333981942149,0.05049001698089642
all_windows_available,All window-specific features are available.,False,Cell1,full_36_42,HistGB,17,0.00785461706486132,0.028709928762832373
all_windows_available,All window-specific features are available.,False,Cell1,full_36_42,XGBoost,17,0.00596703282177511,0.03779188288508023
all_windows_available,All window-specific features are available.,False,Cell1,full_36_42,LightGBM,17,0.007322186271680127,0.030797560612103047
all_windows_available,All window-specific features are available.,False,Cell1,full_36_42,CatBoost,17,0.00811467132787059,0.027789850812288103
all_windows_available,All window-specific features are available.,False,Cell1,medium_37_40,Ridge,17,0.006014259644420419,0.03749512356832732
all_windows_available,All window-specific features are available.,False,Cell1,medium_37_40,ExtraTrees,17,0.005109864273305124,0.044131376121887236
all_windows_available,All window-specific features are available.,False,Cell1,medium_37_40,RandomForest,17,0.004452470579125895,0.050647224504021225
all_windows_available,All window-specific features are available.,False,Cell1,medium_37_40,HistGB,17,0.004923519737668063,0.0458016495291019
all_windows_available,All window-specific features are available.,False,Cell1,medium_37_40,XGBoost,17,0.00611730702002219,0.036863511038040926
all_windows_available,All window-specific features are available.,False,Cell1,medium_37_40,LightGBM,17,0.004872559394827304,0.0462806714933972
all_windows_available,All window-specific features are available.,False,Cell1,medium_37_40,CatBoost,17,0.0064432498595636154,0.03499871003279023
all_windows_available,All window-specific features are available.,False,Cell1,narrow_375_395,Ridge,17,0.004319702693748544,0.05220388472065143
all_windows_available,All window-specific features are available.,False,Cell1,narrow_375_395,ExtraTrees,17,0.005987420380882328,0.03766319926003922
all_windows_available,All window-specific features are available.,False,Cell1,narrow_375_395,RandomForest,17,0.0047453858663585695,0.04752096344363109
all_windows_available,All window-specific features are available.,False,Cell1,narrow_375_395,HistGB,17,0.0062040601537146,0.03634803893308093
all_windows_available,All window-specific features are available.,False,Cell1,narrow_375_395,XGBoost,17,0.0063995752003857915,0.03523756250283054
all_windows_available,All window-specific features are available.,False,Cell1,narrow_375_395,LightGBM,17,0.005942933344941843,0.03794513432181986
all_windows_available,All window-specific features are available.,False,Cell1,narrow_375_395,CatBoost,17,0.0072697790900538,0.031019577142796424
all_windows_available,All window-specific features are available.,False,Cell1,very_narrow_38_39,Ridge,17,0.009880518381291382,0.022823251428311785
all_windows_available,All window-specific features are available.,False,Cell1,very_narrow_38_39,ExtraTrees,17,0.010468001632526813,0.021542370357143948
all_windows_available,All window-specific features are available.,False,Cell1,very_narrow_38_39,RandomForest,17,0.010241699344230047,0.022018373682692785
all_windows_available,All window-specific features are available.,False,Cell1,very_narrow_38_39,HistGB,17,0.008070592517582582,0.027941629264915186
all_windows_available,All window-specific features are available.,False,Cell1,very_narrow_38_39,XGBoost,17,0.0106013822137005,0.021271336721167218
