exclude_outliers,scenario,description,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,,mean,std,mean,std,mean,std
False,all_windows_available,All window-specific features are available.,CatBoost,0.008350833640944069,0.005309332046966563,0.005301852004472458,0.002232244579640282,0.9774032509446419,0.02962738279762693
False,all_windows_available,All window-specific features are available.,ExtraTrees,0.005708503370506613,0.0028976985746101826,0.0036415726371885403,0.0018771484565351956,0.9902032812056447,0.009262365898247282
False,all_windows_available,All window-specific features are available.,HistGB,0.007061496821216728,0.004897363569283719,0.003841770810482134,0.0014878994411644916,0.9832066408670422,0.02455191758717498
False,all_windows_available,All window-specific features are available.,LightGBM,0.006983832051623451,0.005061898204970899,0.003797119016671724,0.0014436985135550125,0.9831917016899722,0.02553952777713431
False,all_windows_available,All window-specific features are available.,MAW-GME,0.006205218762019706,0.004083626611651951,0.003721820963329351,0.002167053731215902,0.9873483268198197,0.014978915153050104
False,all_windows_available,All window-specific features are available.,RandomForest,0.0066923147721815795,0.004351929914748336,0.003960622720068067,0.0015954855690421114,0.9851596441381414,0.020766094306662392
False,all_windows_available,All window-specific features are available.,Ridge,0.004048616622998439,0.0016838351040179315,0.0034733730860064373,0.00171740585985462,0.9953330808782782,0.003673436788156396
False,all_windows_available,All window-specific features are available.,XGBoost,0.0063002446150569515,0.0034906838955851708,0.003902952594952398,0.001976514184755207,0.988367924930093,0.010409571027243809
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed from the all-window feature set.",CatBoost,0.009370998653427514,0.005240604222356554,0.006420997131246296,0.0025829301769717344,0.9727670947622337,0.030543255639670773
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed from the all-window feature set.",ExtraTrees,0.005915610345906785,0.0031160169703622577,0.0038469740300365683,0.0022801576697836752,0.9896019908636895,0.008692423662586365
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed from the all-window feature set.",HistGB,0.007757793467491973,0.005083677641633747,0.004374917224543494,0.0016967574445344608,0.9800682724285665,0.02810577845787884
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed from the all-window feature set.",LightGBM,0.007709343041972063,0.005090907754703492,0.00433171722024903,0.0017223717826401902,0.9802519698917166,0.02812045001183317
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed from the all-window feature set.",MAW-GME,0.006508326530513252,0.0041519617208580365,0.0040603313159298295,0.00235071706131161,0.9860913483583407,0.015896048670945975
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed from the all-window feature set.",RandomForest,0.007032856995158305,0.004615933864508138,0.004206462737869565,0.0019845485603176183,0.9838498579716201,0.02099548449740029
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed from the all-window feature set.",Ridge,0.004248211967174486,0.0012202691923460763,0.003480020212407035,0.0014000014466979413,0.9952415688284252,0.0026052417130999926
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed from the all-window feature set.",XGBoost,0.006620690841187448,0.0039243317866682345,0.00409187169104794,0.002103918607626646,0.98659014476947,0.013248144291762331
False,only_full_window,Only full-window features are available.,CatBoost,0.008324127964243784,0.004958581846707675,0.0055955450153923475,0.002479338450446884,0.9780819638833979,0.026116294169165808
False,only_full_window,Only full-window features are available.,ExtraTrees,0.005408970700088517,0.002846771050963291,0.0034978423067451403,0.0018797070257149013,0.9909677199338313,0.008822112358647986
False,only_full_window,Only full-window features are available.,HistGB,0.007622980263389775,0.005331386270047309,0.0041662768058306505,0.0015595888374019197,0.9802365994865176,0.029072671681246956
False,only_full_window,Only full-window features are available.,LightGBM,0.007899425888267888,0.00534580476292876,0.004388909558049661,0.0017067838981053476,0.9792106182886838,0.029575064861981474
False,only_full_window,Only full-window features are available.,MAW-GME,0.005833092065862081,0.0037530148897980367,0.003601165384536604,0.001896662630022434,0.9888059251008826,0.013932274367759817
False,only_full_window,Only full-window features are available.,RandomForest,0.006720769959426855,0.004709631564787594,0.0038879565827070915,0.0019379552936818344,0.9845839357135993,0.02143007206616877
False,only_full_window,Only full-window features are available.,Ridge,0.004354051543705096,0.0015715201557106972,0.003587962740896787,0.00172899462099411,0.9948117139230042,0.0033997885000316254
False,only_full_window,Only full-window features are available.,XGBoost,0.005893304829624657,0.0032628523149430405,0.0037190776080080045,0.0018283924505768765,0.9897445417583992,0.00942014161209464
False,only_medium_window,Only medium partial-window features are available.,CatBoost,0.009074099642063814,0.005801673236347983,0.005573749255928251,0.0021674700531075113,0.9731425573901844,0.03352672985999955
False,only_medium_window,Only medium partial-window features are available.,ExtraTrees,0.006361406621752727,0.0032163257397567293,0.004059668280094008,0.0020223923952973673,0.9878298777629431,0.011356598247040725
False,only_medium_window,Only medium partial-window features are available.,HistGB,0.007632834709306547,0.00558067130070849,0.004187449609028754,0.0019868553221374747,0.9799833325219063,0.027717613952587265
False,only_medium_window,Only medium partial-window features are available.,LightGBM,0.007784414062426652,0.005893871106078239,0.0042664453150854315,0.002170701469091301,0.9788296885691702,0.029379793459655152
False,only_medium_window,Only medium partial-window features are available.,MAW-GME,0.006373847862910836,0.004294044177361244,0.0036980731426638964,0.0020610561858211336,0.9863499174546659,0.016441064250347144
False,only_medium_window,Only medium partial-window features are available.,RandomForest,0.007339222890035482,0.004781645832492126,0.004204126851702209,0.0022765252271563824,0.9821816422866292,0.021399399647578962
