experiment,window,test_cell,model,exclude_outliers,n_train,n_test,n_features,RMSE,MAE,R2,n_val,seq_len,n_experts
SingleHI-Polynomial-EKF,full_27_36,Cell51,SingleHI-Polynomial-EKF,False,231.0,57.0,1,0.008680713457291996,0.006750039302157235,0.9748475758403734,,,
SingleHI-Polynomial-EKF,full_27_36,Cell52,SingleHI-Polynomial-EKF,False,230.0,58.0,1,0.008919889025142234,0.007109282886531519,0.9722319607360139,,,
SingleHI-Polynomial-EKF,full_27_36,Cell53,SingleHI-Polynomial-EKF,False,230.0,58.0,1,0.011034118065742166,0.00871340769382358,0.957941666872668,,,
SingleHI-Polynomial-EKF,full_27_36,Cell54,SingleHI-Polynomial-EKF,False,230.0,58.0,1,0.019850349365862874,0.017531597464993987,0.8604150612656167,,,
SingleHI-Polynomial-EKF,full_27_36,Cell55,SingleHI-Polynomial-EKF,False,231.0,57.0,1,0.009920185440359178,0.007820470486288736,0.9637861059817256,,,
SingleHI-Polynomial-EKF,medium_32_35,Cell51,SingleHI-Polynomial-EKF,False,231.0,57.0,1,0.011121969488543161,0.007109987536521237,0.9587111862765553,,,
SingleHI-Polynomial-EKF,medium_32_35,Cell52,SingleHI-Polynomial-EKF,False,230.0,58.0,1,0.00820280539032369,0.006535814722572653,0.9765171324499241,,,
SingleHI-Polynomial-EKF,medium_32_35,Cell53,SingleHI-Polynomial-EKF,False,230.0,58.0,1,0.006826950049054869,0.005154692137848829,0.9838998377079764,,,
SingleHI-Polynomial-EKF,medium_32_35,Cell54,SingleHI-Polynomial-EKF,False,230.0,58.0,1,0.024986916849949758,0.022348240069853323,0.7788292992384667,,,
SingleHI-Polynomial-EKF,medium_32_35,Cell55,SingleHI-Polynomial-EKF,False,231.0,57.0,1,0.008812596396273898,0.007333711524937952,0.9714212383655868,,,
SingleHI-Polynomial-EKF,narrow_33_345,Cell51,SingleHI-Polynomial-EKF,False,231.0,57.0,1,0.02406148562976701,0.011904638325059759,0.8067525002819331,,,
SingleHI-Polynomial-EKF,narrow_33_345,Cell52,SingleHI-Polynomial-EKF,False,230.0,58.0,1,0.0261843518854849,0.011927197821786376,0.7607180332101904,,,
SingleHI-Polynomial-EKF,narrow_33_345,Cell53,SingleHI-Polynomial-EKF,False,230.0,58.0,1,0.024212548607033837,0.012107003773461434,0.7974847117513986,,,
SingleHI-Polynomial-EKF,narrow_33_345,Cell54,SingleHI-Polynomial-EKF,False,230.0,58.0,1,0.02825828772994145,0.013824673601122923,0.717125410631634,,,
SingleHI-Polynomial-EKF,narrow_33_345,Cell55,SingleHI-Polynomial-EKF,False,231.0,57.0,1,0.026852502587739708,0.01269074185322646,0.7346585003818081,,,
SingleHI-Polynomial-EKF,paper_335_350,Cell51,SingleHI-Polynomial-EKF,False,231.0,57.0,1,0.02581247348441791,0.011630731824486084,0.7776033442311262,,,
SingleHI-Polynomial-EKF,paper_335_350,Cell52,SingleHI-Polynomial-EKF,False,230.0,58.0,1,0.028355283480626065,0.012643439134298573,0.719395714628309,,,
SingleHI-Polynomial-EKF,paper_335_350,Cell53,SingleHI-Polynomial-EKF,False,230.0,58.0,1,0.026438145984109485,0.012890329771599615,0.7585435584644102,,,
SingleHI-Polynomial-EKF,paper_335_350,Cell54,SingleHI-Polynomial-EKF,False,230.0,58.0,1,0.03135306424453715,0.015060420790928734,0.6517731650709251,,,
SingleHI-Polynomial-EKF,paper_335_350,Cell55,SingleHI-Polynomial-EKF,False,231.0,57.0,1,0.029597169114792692,0.013612149442094818,0.6776438255943742,,,
SingleHI-Polynomial-EKF,very_narrow_335_340,Cell51,SingleHI-Polynomial-EKF,False,231.0,57.0,1,0.020866797970315584,0.01460331563005257,0.8546615148782457,,,
SingleHI-Polynomial-EKF,very_narrow_335_340,Cell52,SingleHI-Polynomial-EKF,False,230.0,58.0,1,0.01113470776058123,0.00947163731601798,0.9567302925891301,,,
SingleHI-Polynomial-EKF,very_narrow_335_340,Cell53,SingleHI-Polynomial-EKF,False,230.0,58.0,1,0.012297947923620442,0.009344468920418842,0.9477553164888193,,,
SingleHI-Polynomial-EKF,very_narrow_335_340,Cell54,SingleHI-Polynomial-EKF,False,230.0,58.0,1,0.03549291954384022,0.021570069981791215,0.5537423233704406,,,
SingleHI-Polynomial-EKF,very_narrow_335_340,Cell55,SingleHI-Polynomial-EKF,False,231.0,57.0,1,0.01391605868304019,0.010185309864119259,0.9287363359503771,,,
SingleHI-Polynomial-EKF,full_27_36,Cell51,SingleHI-Polynomial-EKF,True,231.0,57.0,1,0.008680713457291996,0.006750039302157235,0.9748475758403734,,,
SingleHI-Polynomial-EKF,full_27_36,Cell52,SingleHI-Polynomial-EKF,True,230.0,58.0,1,0.008919889025142234,0.007109282886531519,0.9722319607360139,,,
SingleHI-Polynomial-EKF,full_27_36,Cell53,SingleHI-Polynomial-EKF,True,230.0,58.0,1,0.011034118065742166,0.00871340769382358,0.957941666872668,,,
SingleHI-Polynomial-EKF,full_27_36,Cell54,SingleHI-Polynomial-EKF,True,230.0,58.0,1,0.019850349365862874,0.017531597464993987,0.8604150612656167,,,
SingleHI-Polynomial-EKF,full_27_36,Cell55,SingleHI-Polynomial-EKF,True,231.0,57.0,1,0.009920185440359178,0.007820470486288736,0.9637861059817256,,,
SingleHI-Polynomial-EKF,medium_32_35,Cell51,SingleHI-Polynomial-EKF,True,231.0,57.0,1,0.011121969488543161,0.007109987536521237,0.9587111862765553,,,
SingleHI-Polynomial-EKF,medium_32_35,Cell52,SingleHI-Polynomial-EKF,True,230.0,58.0,1,0.00820280539032369,0.006535814722572653,0.9765171324499241,,,
SingleHI-Polynomial-EKF,medium_32_35,Cell53,SingleHI-Polynomial-EKF,True,230.0,58.0,1,0.006826950049054869,0.005154692137848829,0.9838998377079764,,,
SingleHI-Polynomial-EKF,medium_32_35,Cell54,SingleHI-Polynomial-EKF,True,230.0,58.0,1,0.024986916849949758,0.022348240069853323,0.7788292992384667,,,
SingleHI-Polynomial-EKF,medium_32_35,Cell55,SingleHI-Polynomial-EKF,True,231.0,57.0,1,0.008812596396273898,0.007333711524937952,0.9714212383655868,,,
SingleHI-Polynomial-EKF,narrow_33_345,Cell51,SingleHI-Polynomial-EKF,True,231.0,57.0,1,0.02406148562976701,0.011904638325059759,0.8067525002819331,,,
SingleHI-Polynomial-EKF,narrow_33_345,Cell52,SingleHI-Polynomial-EKF,True,230.0,58.0,1,0.0261843518854849,0.011927197821786376,0.7607180332101904,,,
SingleHI-Polynomial-EKF,narrow_33_345,Cell53,SingleHI-Polynomial-EKF,True,230.0,58.0,1,0.024212548607033837,0.012107003773461434,0.7974847117513986,,,
SingleHI-Polynomial-EKF,narrow_33_345,Cell54,SingleHI-Polynomial-EKF,True,230.0,58.0,1,0.02825828772994145,0.013824673601122923,0.717125410631634,,,
SingleHI-Polynomial-EKF,narrow_33_345,Cell55,SingleHI-Polynomial-EKF,True,231.0,57.0,1,0.026852502587739708,0.01269074185322646,0.7346585003818081,,,
SingleHI-Polynomial-EKF,paper_335_350,Cell51,SingleHI-Polynomial-EKF,True,231.0,57.0,1,0.02581247348441791,0.011630731824486084,0.7776033442311262,,,
SingleHI-Polynomial-EKF,paper_335_350,Cell52,SingleHI-Polynomial-EKF,True,230.0,58.0,1,0.028355283480626065,0.012643439134298573,0.719395714628309,,,
SingleHI-Polynomial-EKF,paper_335_350,Cell53,SingleHI-Polynomial-EKF,True,230.0,58.0,1,0.026438145984109485,0.012890329771599615,0.7585435584644102,,,
SingleHI-Polynomial-EKF,paper_335_350,Cell54,SingleHI-Polynomial-EKF,True,230.0,58.0,1,0.03135306424453715,0.015060420790928734,0.6517731650709251,,,
SingleHI-Polynomial-EKF,paper_335_350,Cell55,SingleHI-Polynomial-EKF,True,231.0,57.0,1,0.029597169114792692,0.013612149442094818,0.6776438255943742,,,
SingleHI-Polynomial-EKF,very_narrow_335_340,Cell51,SingleHI-Polynomial-EKF,True,231.0,57.0,1,0.020866797970315584,0.01460331563005257,0.8546615148782457,,,
SingleHI-Polynomial-EKF,very_narrow_335_340,Cell52,SingleHI-Polynomial-EKF,True,230.0,58.0,1,0.01113470776058123,0.00947163731601798,0.9567302925891301,,,
SingleHI-Polynomial-EKF,very_narrow_335_340,Cell53,SingleHI-Polynomial-EKF,True,230.0,58.0,1,0.012297947923620442,0.009344468920418842,0.9477553164888193,,,
SingleHI-Polynomial-EKF,very_narrow_335_340,Cell54,SingleHI-Polynomial-EKF,True,230.0,58.0,1,0.03549291954384022,0.021570069981791215,0.5537423233704406,,,
SingleHI-Polynomial-EKF,very_narrow_335_340,Cell55,SingleHI-Polynomial-EKF,True,231.0,57.0,1,0.01391605868304019,0.010185309864119259,0.9287363359503771,,,
ApproxPaper-GPR-EKF,full_27_36,Cell51,ApproxPaper-GPR-EKF,False,231.0,57.0,1,0.004729697733645996,0.003580329121496427,0.99253317831749,,,
ApproxPaper-GPR-EKF,full_27_36,Cell52,ApproxPaper-GPR-EKF,False,230.0,58.0,1,0.010041800338070755,0.007226104550514285,0.9648075521016063,,,
ApproxPaper-GPR-EKF,full_27_36,Cell53,ApproxPaper-GPR-EKF,False,230.0,58.0,1,0.014297328636835183,0.010417970874107048,0.9293866845286076,,,
ApproxPaper-GPR-EKF,full_27_36,Cell54,ApproxPaper-GPR-EKF,False,230.0,58.0,1,0.04285568876351344,0.03569748983820023,0.34939228413299606,,,
ApproxPaper-GPR-EKF,full_27_36,Cell55,ApproxPaper-GPR-EKF,False,231.0,57.0,1,0.006306329102854869,0.00404824350408721,0.9853651287068177,,,
ApproxPaper-GPR-EKF,medium_32_35,Cell51,ApproxPaper-GPR-EKF,False,231.0,57.0,1,0.007579942057972345,0.005008264384454716,0.9808221119863006,,,
ApproxPaper-GPR-EKF,medium_32_35,Cell52,ApproxPaper-GPR-EKF,False,230.0,58.0,1,0.08605894919635246,0.04370418557278966,-1.5847490843112202,,,
ApproxPaper-GPR-EKF,medium_32_35,Cell53,ApproxPaper-GPR-EKF,False,230.0,58.0,1,0.016447260197009466,0.00923289061206315,0.9065533085616942,,,
ApproxPaper-GPR-EKF,medium_32_35,Cell54,ApproxPaper-GPR-EKF,False,230.0,58.0,1,0.09769739705872982,0.07214591272039175,-2.3811795749269837,,,
ApproxPaper-GPR-EKF,medium_32_35,Cell55,ApproxPaper-GPR-EKF,False,231.0,57.0,1,0.005437969757441699,0.004465464341751069,0.989117987484716,,,
ApproxPaper-GPR-EKF,narrow_33_345,Cell51,ApproxPaper-GPR-EKF,False,231.0,57.0,1,0.009252795425944956,0.006029126077491636,0.9714231123656103,,,
ApproxPaper-GPR-EKF,narrow_33_345,Cell52,ApproxPaper-GPR-EKF,False,230.0,58.0,1,0.004823567392847238,0.003156949585482439,0.9918798694113237,,,
ApproxPaper-GPR-EKF,narrow_33_345,Cell53,ApproxPaper-GPR-EKF,False,230.0,58.0,1,0.08312524095556013,0.03600013035221693,-1.386946240004249,,,
ApproxPaper-GPR-EKF,narrow_33_345,Cell54,ApproxPaper-GPR-EKF,False,230.0,58.0,1,0.0029493055761574934,0.001855996396484433,0.9969186445828211,,,
ApproxPaper-GPR-EKF,narrow_33_345,Cell55,ApproxPaper-GPR-EKF,False,231.0,57.0,1,0.0030877295140891593,0.0020850208702876964,0.9964915592783882,,,
ApproxPaper-GPR-EKF,paper_335_350,Cell51,ApproxPaper-GPR-EKF,False,231.0,57.0,1,0.00823456524152278,0.005357945041686189,0.9773665709525803,,,
