experiment,window,test_cell,model,exclude_outliers,n_train,n_test,n_features,RMSE,MAE,R2
ApproxPaper-GPR-EKF,full_27_36,Cell51,ApproxPaper-GPR-EKF,False,231,57,1,0.004729697733645996,0.003580329121496427,0.99253317831749
ApproxPaper-GPR-EKF,full_27_36,Cell52,ApproxPaper-GPR-EKF,False,230,58,1,0.010041800338070755,0.007226104550514285,0.9648075521016063
ApproxPaper-GPR-EKF,full_27_36,Cell53,ApproxPaper-GPR-EKF,False,230,58,1,0.014297328636835183,0.010417970874107048,0.9293866845286076
ApproxPaper-GPR-EKF,full_27_36,Cell54,ApproxPaper-GPR-EKF,False,230,58,1,0.04285568876351344,0.03569748983820023,0.34939228413299606
ApproxPaper-GPR-EKF,full_27_36,Cell55,ApproxPaper-GPR-EKF,False,231,57,1,0.006306329102854869,0.00404824350408721,0.9853651287068177
ApproxPaper-GPR-EKF,medium_32_35,Cell51,ApproxPaper-GPR-EKF,False,231,57,1,0.007579942057972345,0.005008264384454716,0.9808221119863006
ApproxPaper-GPR-EKF,medium_32_35,Cell52,ApproxPaper-GPR-EKF,False,230,58,1,0.08605894919635246,0.04370418557278966,-1.5847490843112202
ApproxPaper-GPR-EKF,medium_32_35,Cell53,ApproxPaper-GPR-EKF,False,230,58,1,0.016447260197009466,0.00923289061206315,0.9065533085616942
ApproxPaper-GPR-EKF,medium_32_35,Cell54,ApproxPaper-GPR-EKF,False,230,58,1,0.09769739705872982,0.07214591272039175,-2.3811795749269837
ApproxPaper-GPR-EKF,medium_32_35,Cell55,ApproxPaper-GPR-EKF,False,231,57,1,0.005437969757441699,0.004465464341751069,0.989117987484716
ApproxPaper-GPR-EKF,narrow_33_345,Cell51,ApproxPaper-GPR-EKF,False,231,57,1,0.009252795425944956,0.006029126077491636,0.9714231123656103
ApproxPaper-GPR-EKF,narrow_33_345,Cell52,ApproxPaper-GPR-EKF,False,230,58,1,0.004823567392847238,0.003156949585482439,0.9918798694113237
ApproxPaper-GPR-EKF,narrow_33_345,Cell53,ApproxPaper-GPR-EKF,False,230,58,1,0.08312524095556013,0.03600013035221693,-1.386946240004249
