exclude_outliers,window,experiment,model,RMSE,MAE,R2
False,adaptive_all_windows,MAW-GME,MAW-GME,0.0029321054597014106,0.0021163465327682365,0.996243395301789
False,full_27_36,MultiHI-Tabular,RandomForest,0.0032651087243291146,0.0019672837328951736,0.9958505895013605
False,full_27_36,MultiHI-Tabular,ExtraTrees,0.0036753298050966263,0.0022440612275196705,0.9947586621582474
False,full_27_36,MultiHI-Tabular,XGBoost,0.004240037856840867,0.0028843116496335757,0.9933628049170601
False,full_27_36,MultiHI-Tabular,HistGB,0.0056660236440096755,0.003365347377110019,0.9886120544229999
False,full_27_36,MultiHI-Tabular,LightGBM,0.006073295294450465,0.003772425660584723,0.9869202424359329
False,full_27_36,MultiHI-Tabular,CatBoost,0.006940426840820334,0.005338495593746278,0.9816499521409646
False,full_27_36,MultiHI-Tabular,ElasticNet,0.011210897770151934,0.009762093893831396,0.9519041611184615
False,full_27_36,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.011681051070879689,0.009584959566759012,0.9458444741392796
False,full_27_36,MultiHI-Tabular,Ridge,0.01397525888846926,0.012526134544368971,0.9248177469145764
False,full_27_36,MultiHI-Tabular,SVR-RBF,0.014915585389629707,0.007001975175811024,0.912904080056429
False,full_27_36,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.01564616891498405,0.01219402757768104,0.8442969655575036
False,full_27_36,MultiHI-Tabular,KNN,0.01677747453522658,0.010424506731900611,0.8776229997239436
False,medium_32_35,MultiHI-Tabular,RandomForest,0.002544801322527765,0.001596752533307664,0.9972860094733462
False,medium_32_35,MultiHI-Tabular,ExtraTrees,0.0028027577813240314,0.0018143785472462498,0.9966529620425353
False,medium_32_35,MultiHI-Tabular,XGBoost,0.0031181323639338466,0.0020396633756676165,0.9959837469918218
False,medium_32_35,MultiHI-Tabular,HistGB,0.005177685145852591,0.002915330364239345,0.9902272055264852
False,medium_32_35,MultiHI-Tabular,LightGBM,0.005506822891073723,0.0034176377498253987,0.9886695034645008
False,medium_32_35,MultiHI-Tabular,CatBoost,0.0056807796888974854,0.004384331740665335,0.9871443484231157
False,medium_32_35,MultiHI-Tabular,SVR-RBF,0.005681716359693531,0.004012471507361865,0.9885099466252489
False,medium_32_35,MultiHI-Tabular,ElasticNet,0.006203311657047699,0.005410917824131639,0.9841615803276802
False,medium_32_35,MultiHI-Tabular,KNN,0.008131873080528929,0.006097033756048117,0.9757206634232943
False,medium_32_35,MultiHI-Tabular,Ridge,0.008438647148019725,0.007648555618249382,0.9652905054824155
False,medium_32_35,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.011990247634829075,0.009696489198346798,0.9338757388077019
False,medium_32_35,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.04264430365350116,0.02691134352629007,-0.21788705024109864
False,narrow_33_345,MultiHI-Tabular,RandomForest,0.00270598765799693,0.001680249734191734,0.9968545413457243
False,narrow_33_345,MultiHI-Tabular,ExtraTrees,0.0028158722673888026,0.001853195437330378,0.9964506944291435
False,narrow_33_345,MultiHI-Tabular,XGBoost,0.003404584873916533,0.002193630945617429,0.9952048882600014
False,narrow_33_345,MultiHI-Tabular,HistGB,0.004796524955611909,0.0028261747191918466,0.9914371592506261
False,narrow_33_345,MultiHI-Tabular,LightGBM,0.005236489760794846,0.0032218971133126167,0.9898667348858854
False,narrow_33_345,MultiHI-Tabular,CatBoost,0.005907581414425676,0.004632640102793686,0.9861981325409175
False,narrow_33_345,MultiHI-Tabular,ElasticNet,0.0061618629283873485,0.005139886044514678,0.9850291598382803
False,narrow_33_345,MultiHI-Tabular,Ridge,0.006216254840158524,0.0052339914591665185,0.9843555233455945
False,narrow_33_345,MultiHI-Tabular,SVR-RBF,0.006721440584189707,0.0038818499305838016,0.9786325407153376
False,narrow_33_345,MultiHI-Tabular,KNN,0.010140746711868043,0.007490103686085325,0.9616987064593717
False,narrow_33_345,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.020647727772919795,0.009825444656392627,0.5139533891267789
False,narrow_33_345,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.025913835287993382,0.01249085107493139,0.7633478312513928
False,paper_335_350,MultiHI-Tabular,ExtraTrees,0.002290542646652917,0.0014814560522184298,0.9977742209932854
False,paper_335_350,MultiHI-Tabular,RandomForest,0.002446353519231715,0.0015454672457059276,0.9976809853089733
False,paper_335_350,MultiHI-Tabular,XGBoost,0.003002322597933981,0.0019792131903736835,0.9963975466469602
False,paper_335_350,MultiHI-Tabular,HistGB,0.004466996211941386,0.0025352561166875343,0.9929343403419896
False,paper_335_350,MultiHI-Tabular,LightGBM,0.004925072441786298,0.0029974225744438085,0.9912425640113952
False,paper_335_350,MultiHI-Tabular,CatBoost,0.005539329616709829,0.004139125848552276,0.9880695108239819
