dataset,protocol,test_cell,row_index,cycle_number,measurement_source,model,window,selected_model,selected_window,mode,availability,true_soh,pred_soh,abs_error,feature_assembly_time_ms,inference_time_ms,total_update_time_ms,model_size_kb,n_experts,measurement_val_rmse
Dataset 3,BMS-1_runtime_fast_pruned,Cell51,0,0.0,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,1.0,0.9993500709533691,0.0006499290466308594,0.29401899996628345,2.729137999949671,3.0231569999159547,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-1_runtime_fast_pruned,Cell51,1,0.0,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.997733465354695,0.9973306059837341,0.0004028593709608508,0.21059999994577083,1.920788999996148,2.131388999941919,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-1_runtime_fast_pruned,Cell51,2,68.0,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9932091247897517,0.9928922057151794,0.00031691907457220836,0.20494000000326196,1.8531189999748676,2.0580589999781296,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-1_runtime_fast_pruned,Cell51,3,130.0,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9909524191296388,0.9907253980636597,0.0002270210659791605,0.1954500000920234,1.8191890000025523,2.0146390000945757,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-1_runtime_fast_pruned,Cell51,4,194.0,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.98845827746154,0.9883432388305664,0.00011503863097361844,0.22625999997671897,1.8468590000111362,2.073118999987855,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-1_runtime_fast_pruned,Cell51,5,257.0,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.986010199992712,0.9856674075126648,0.00034279248004720486,0.2105099999880622,1.7984090000027209,2.008918999990783,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-1_runtime_fast_pruned,Cell51,6,322.0,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9836136880208226,0.9833551049232483,0.0002585830975743164,0.1976799999283685,1.9350789999634799,2.1327589998918484,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-1_runtime_fast_pruned,Cell51,7,388.0,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9812812845045976,0.9811144471168518,0.0001668373877458107,0.20180000001346343,1.7941190000101415,1.995919000023605,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-1_runtime_fast_pruned,Cell51,8,454.0,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9782670134782528,0.9783870577812195,0.0001200443029666376,0.19898000005014183,1.8780290000677269,2.0770090001178687,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-1_runtime_fast_pruned,Cell51,9,521.0,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9763861564758298,0.975946307182312,0.0004398492935178133,0.19913000005544745,1.831139000046278,2.0302690001017254,580.0185546875,1,0.0016949740287349414
