dataset,test_cell,deployment_model,expert_window,expert_model,expert_inner_rmse,expert_rank_score,expert_weight,expert_model_size_kb,n_features
Dataset 3,Cell51,MAW-GME-full-50experts,very_narrow_335_340,XGBoost,0.0016949740287349414,0.0019097354012571149,0.04788616115021503,580.0185546875,18
Dataset 3,Cell51,MAW-GME-full-50experts,paper_335_350,XGBoost,0.00171012180916988,0.0019265790009209039,0.047467506560437765,571.53125,18
Dataset 3,Cell51,MAW-GME-full-50experts,medium_32_35,XGBoost,0.0017330850796812266,0.0019523581714993063,0.04684074314234064,572.587890625,18
Dataset 3,Cell51,MAW-GME-full-50experts,very_narrow_335_340,RandomForest,0.0017234460920407756,0.0020033001178067014,0.045649635185092324,4457.64453125,18
Dataset 3,Cell51,MAW-GME-full-50experts,narrow_33_345,XGBoost,0.0017786314897618222,0.002003886832994935,0.04563626955974705,576.4716796875,18
Dataset 3,Cell51,MAW-GME-full-50experts,very_narrow_335_340,ExtraTrees,0.0018188202056534132,0.0021609107084860457,0.04232009794776364,16129.810546875,18
Dataset 3,Cell51,MAW-GME-full-50experts,medium_32_35,RandomForest,0.001934564132278185,0.0022486741919999064,0.040668394595306544,4456.283203125,18
Dataset 3,Cell51,MAW-GME-full-50experts,paper_335_350,RandomForest,0.002002495038076382,0.002327664803251377,0.039288295733037625,4453.484375,18
Dataset 3,Cell51,MAW-GME-full-50experts,paper_335_350,ExtraTrees,0.001991771346847576,0.002366394107791865,0.03864529128366595,16129.587890625,18
Dataset 3,Cell51,MAW-GME-full-50experts,narrow_33_345,RandomForest,0.0020810511708088887,0.0024189609365550986,0.037805487721450856,4457.0,18
Dataset 3,Cell51,MAW-GME-full-50experts,narrow_33_345,ExtraTrees,0.0021233286334566915,0.0025226962370331328,0.036250901788720306,16130.009765625,18
Dataset 3,Cell51,MAW-GME-full-50experts,full_27_36,XGBoost,0.0022594864197577193,0.0025465211936241956,0.03591174389280858,590.0048828125,18
Dataset 3,Cell51,MAW-GME-full-50experts,full_27_36,RandomForest,0.0022840273882114587,0.00265486413961419,0.03444621900372647,4449.083984375,18
Dataset 3,Cell51,MAW-GME-full-50experts,medium_32_35,ExtraTrees,0.002248558916044624,0.0026715078254692277,0.03423161738567768,16140.82421875,18
Dataset 3,Cell51,MAW-GME-full-50experts,full_27_36,ExtraTrees,0.0028073946854778433,0.003335425581454718,0.027417821093278335,16133.625,18
Dataset 3,Cell51,MAW-GME-full-50experts,medium_32_35,LightGBM,0.005159066943220454,0.005791216573758858,0.015791192914961952,572.6552734375,18
Dataset 3,Cell51,MAW-GME-full-50experts,narrow_33_345,HistGB,0.005208178703691,0.005820194758020331,0.015712570234657164,452.806640625,18
Dataset 3,Cell51,MAW-GME-full-50experts,medium_32_35,HistGB,0.005212721570415503,0.005825457073991659,0.01569837660721987,457.87890625,18
Dataset 3,Cell51,MAW-GME-full-50experts,narrow_33_345,LightGBM,0.005269728368917112,0.005915124958124792,0.015460403978588467,572.365234375,18
Dataset 3,Cell51,MAW-GME-full-50experts,paper_335_350,ElasticNet,0.005801110623077071,0.005937476661433973,0.015402203197268979,2.2392578125,18
Dataset 3,Cell51,MAW-GME-full-50experts,paper_335_350,HistGB,0.005620457873168181,0.006281616631558738,0.014558390908023062,460.126953125,18
Dataset 3,Cell51,MAW-GME-full-50experts,full_27_36,HistGB,0.005684585312732339,0.0063532383958171896,0.014394270512182204,464.6435546875,18
Dataset 3,Cell51,MAW-GME-full-50experts,medium_32_35,CatBoost,0.005755508449337816,0.0063672983989310275,0.01436248573350607,202.724609375,18
Dataset 3,Cell51,MAW-GME-full-50experts,very_narrow_335_340,CatBoost,0.005822999009247371,0.006441974150165736,0.014195995194761146,202.7265625,18
Dataset 3,Cell51,MAW-GME-full-50experts,paper_335_350,LightGBM,0.005741437276189072,0.006445266528812648,0.014188743591010407,568.2138671875,18
Dataset 3,Cell51,MAW-GME-full-50experts,very_narrow_335_340,HistGB,0.005986106644890517,0.006688825072905666,0.013672093128879275,458.841796875,18
Dataset 3,Cell51,MAW-GME-full-50experts,full_27_36,LightGBM,0.0059692217213909585,0.006701316005089447,0.013646609039916364,574.2333984375,18
Dataset 3,Cell51,MAW-GME-full-50experts,very_narrow_335_340,LightGBM,0.006057714504455566,0.006799442822086046,0.01344966697076422,567.0703125,18
Dataset 3,Cell51,MAW-GME-full-50experts,narrow_33_345,ElasticNet,0.006706946903778698,0.006864626549507697,0.013321954539172025,2.2392578125,18
Dataset 3,Cell51,MAW-GME-full-50experts,medium_32_35,ElasticNet,0.006837812638473048,0.006997990585697024,0.013068072075814422,2.2255859375,18
Dataset 3,Cell51,MAW-GME-full-50experts,narrow_33_345,CatBoost,0.006559115525979808,0.0072563398922238795,0.012602806837978032,202.69140625,18
Dataset 3,Cell51,MAW-GME-full-50experts,paper_335_350,CatBoost,0.006968921864614959,0.007709732138436425,0.01186166468325319,202.74609375,18
Dataset 3,Cell51,MAW-GME-full-50experts,full_27_36,CatBoost,0.007645538567102853,0.008458259859093431,0.01081194825466139,202.595703125,18
Dataset 3,Cell51,MAW-GME-full-50experts,medium_32_35,SVR-RBF,0.00802565563641016,0.008465869218439327,0.010802230185530453,18.552734375,18
Dataset 3,Cell51,MAW-GME-full-50experts,paper_335_350,Ridge,0.00829972037132364,0.00849056314094848,0.010770813056121245,2.1572265625,18
Dataset 3,Cell51,MAW-GME-full-50experts,very_narrow_335_340,ElasticNet,0.00839912217327683,0.008600760399778879,0.010632812153993948,2.3212890625,18
Dataset 3,Cell51,MAW-GME-full-50experts,medium_32_35,Ridge,0.008846955258979099,0.009049613210787996,0.010105434658479798,2.1435546875,18
Dataset 3,Cell51,MAW-GME-full-50experts,narrow_33_345,Ridge,0.008967137515822624,0.009173326794805944,0.009969150603111028,2.1572265625,18
Dataset 3,Cell51,MAW-GME-full-50experts,paper_335_350,SVR-RBF,0.008870144186351753,0.009361944442291084,0.00976829962207125,17.9609375,18
Dataset 3,Cell51,MAW-GME-full-50experts,very_narrow_335_340,Ridge,0.009461428796384227,0.009683837511885408,0.00944359934708175,2.2392578125,18
