dataset,protocol,test_cell,row_index,cycle_number,stress_scenario,scenario_family,allowed_windows,removed_feature_group,measurement_source,model,window,selected_model,selected_window,mode,availability,true_soh,pred_soh,abs_error,feature_assembly_time_ms,inference_time_ms,total_update_time_ms,model_size_kb,n_experts,measurement_val_rmse
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,0,0.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,1.0,0.9993500709533691,0.0006499290466308594,0.2730000001065491,2.458278999938557,2.731279000045106,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,1,0.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.997733465354695,0.9973306059837341,0.0004028593709608508,0.2352300000438845,1.8924699998024153,2.1276999998462998,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,2,68.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9932091247897517,0.9928922057151794,0.00031691907457220836,0.203708999833907,1.79946900016148,2.003177999995387,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,3,130.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9909524191296388,0.9907253980636597,0.0002270210659791605,0.20526999992398487,1.9480700000258366,2.1533399999498215,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,4,194.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.98845827746154,0.9883432388305664,0.00011503863097361844,0.21379999998316634,1.885749999928521,2.0995499999116873,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,5,257.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.986010199992712,0.9856674075126648,0.00034279248004720486,0.21455000000969449,1.7765299999155104,1.991079999925205,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,6,322.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9836136880208226,0.9833551049232483,0.0002585830975743164,0.2007600000979437,1.8279799999163515,2.028740000014295,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,7,388.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9812812845045976,0.9811144471168518,0.0001668373877458107,0.22386000000551576,1.8001299999923503,2.023989999997866,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,8,454.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9782670134782528,0.9783870577812195,0.0001200443029666376,0.22299100010059192,1.8570189999991271,2.080010000099719,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,9,521.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9763861564758298,0.975946307182312,0.0004398492935178133,0.19947999999203603,1.7583689998446062,1.9578489998366422,580.0185546875,1,0.0016949740287349414
