window,model_name,inner_rmse,inner_mae,inner_valid_folds,inner_model_size_kb,rank_score,n_features,test_cell,dataset
very_narrow_335_340,XGBoost,0.0016949740287349414,0.001284108053782269,4,563.105224609375,0.0019097354012571149,18,Cell51,Dataset 3
paper_335_350,XGBoost,0.00171012180916988,0.0013004177366448563,4,559.431396484375,0.0019265790009209039,18,Cell51,Dataset 3
medium_32_35,XGBoost,0.0017330850796812266,0.001294584176324714,4,557.967529296875,0.0019523581714993063,18,Cell51,Dataset 3
very_narrow_335_340,RandomForest,0.0017234460920407756,0.0011375708679459032,4,3356.744140625,0.0020033001178067014,18,Cell51,Dataset 3
narrow_33_345,XGBoost,0.0017786314897618222,0.0013044643458602235,4,561.429443359375,0.002003886832994935,18,Cell51,Dataset 3
very_narrow_335_340,ExtraTrees,0.0018188202056534132,0.0012918149494954491,4,12138.099609375,0.0021609107084860457,18,Cell51,Dataset 3
medium_32_35,RandomForest,0.001934564132278185,0.0012611082149834559,4,3354.5390625,0.0022486741919999064,18,Cell51,Dataset 3
paper_335_350,RandomForest,0.002002495038076382,0.001342909561789012,4,3357.048828125,0.002327664803251377,18,Cell51,Dataset 3
paper_335_350,ExtraTrees,0.001991771346847576,0.0013811323960439457,4,12139.001953125,0.002366394107791865,18,Cell51,Dataset 3
narrow_33_345,RandomForest,0.0020810511708088887,0.001325296902642033,4,3355.748046875,0.0024189609365550986,18,Cell51,Dataset 3
narrow_33_345,ExtraTrees,0.0021233286334566915,0.001403829267745132,4,12139.248046875,0.0025226962370331328,18,Cell51,Dataset 3
full_27_36,XGBoost,0.0022594864197577193,0.0016756185640353105,4,572.507080078125,0.0025465211936241956,18,Cell51,Dataset 3
full_27_36,RandomForest,0.0022840273882114587,0.0014159078139920715,4,3353.45703125,0.00265486413961419,18,Cell51,Dataset 3
medium_32_35,ExtraTrees,0.002248558916044624,0.0015014500565648852,4,12146.6171875,0.0026715078254692277,18,Cell51,Dataset 3
full_27_36,ExtraTrees,0.0028073946854778433,0.001803496988395402,4,12139.3125,0.003335425581454718,18,Cell51,Dataset 3
medium_32_35,LightGBM,0.005159066943220454,0.0031286130219236124,4,456.87158203125,0.005791216573758858,18,Cell51,Dataset 3
narrow_33_345,HistGB,0.005208178703691,0.0031020217369674323,4,355.212890625,0.005820194758020331,18,Cell51,Dataset 3
medium_32_35,HistGB,0.005212721570415503,0.0031729397799043838,4,355.84765625,0.005825457073991659,18,Cell51,Dataset 3
narrow_33_345,LightGBM,0.005269728368917112,0.0030873524132424396,4,455.515625,0.005915124958124792,18,Cell51,Dataset 3
paper_335_350,ElasticNet,0.005801110623077071,0.0049673532803355775,4,2.2392578125,0.005937476661433973,18,Cell51,Dataset 3
paper_335_350,HistGB,0.005620457873168181,0.0033787516236994442,4,357.423828125,0.006281616631558738,18,Cell51,Dataset 3
full_27_36,HistGB,0.005684585312732339,0.0033495270646964185,4,357.2685546875,0.0063532383958171896,18,Cell51,Dataset 3
medium_32_35,CatBoost,0.005755508449337816,0.004235651521924885,4,202.328125,0.0063672983989310275,18,Cell51,Dataset 3
very_narrow_335_340,CatBoost,0.005822999009247371,0.004141264994782565,4,202.34765625,0.006441974150165736,18,Cell51,Dataset 3
paper_335_350,LightGBM,0.005741437276189072,0.0034283601835554383,4,458.15234375,0.006445266528812648,18,Cell51,Dataset 3
very_narrow_335_340,HistGB,0.005986106644890517,0.0035325520016116782,4,353.099609375,0.006688825072905666,18,Cell51,Dataset 3
full_27_36,LightGBM,0.0059692217213909585,0.003452167641727715,4,459.467529296875,0.006701316005089447,18,Cell51,Dataset 3
very_narrow_335_340,LightGBM,0.006057714504455566,0.0036505759604246553,4,454.857177734375,0.006799442822086046,18,Cell51,Dataset 3
narrow_33_345,ElasticNet,0.006706946903778698,0.005933778687915188,4,2.23974609375,0.006864626549507697,18,Cell51,Dataset 3
medium_32_35,ElasticNet,0.006837812638473048,0.006342117587074954,4,2.22607421875,0.006997990585697024,18,Cell51,Dataset 3
narrow_33_345,CatBoost,0.006559115525979808,0.004980886136452563,4,202.349609375,0.0072563398922238795,18,Cell51,Dataset 3
paper_335_350,CatBoost,0.006968921864614959,0.005129165977487479,4,202.384765625,0.007709732138436425,18,Cell51,Dataset 3
full_27_36,CatBoost,0.007645538567102853,0.005799341733216972,4,202.365234375,0.008458259859093431,18,Cell51,Dataset 3
medium_32_35,SVR-RBF,0.00802565563641016,0.00467676153826246,4,14.5263671875,0.008465869218439327,18,Cell51,Dataset 3
paper_335_350,Ridge,0.00829972037132364,0.007588130839323127,4,2.1572265625,0.00849056314094848,18,Cell51,Dataset 3
very_narrow_335_340,ElasticNet,0.00839912217327683,0.0063898024153069225,4,2.3212890625,0.008600760399778879,18,Cell51,Dataset 3
medium_32_35,Ridge,0.008846955258979099,0.008226547205376078,4,2.1435546875,0.009049613210787996,18,Cell51,Dataset 3
narrow_33_345,Ridge,0.008967137515822624,0.008228173204347305,4,2.1572265625,0.009173326794805944,18,Cell51,Dataset 3
paper_335_350,SVR-RBF,0.008870144186351753,0.0047478063603945105,4,14.994140625,0.009361944442291084,18,Cell51,Dataset 3
very_narrow_335_340,Ridge,0.009461428796384227,0.008029670318303726,4,2.2392578125,0.009683837511885408,18,Cell51,Dataset 3
medium_32_35,KNN,0.009450234400130337,0.006605654713932391,4,26.0283203125,0.010073361161903629,18,Cell51,Dataset 3
narrow_33_345,KNN,0.009558970567721882,0.006914765286838305,4,26.0419921875,0.01018936382358418,18,Cell51,Dataset 3
narrow_33_345,SVR-RBF,0.009925829137758647,0.0047930222825217535,4,14.2978515625,0.01046732528170621,18,Cell51,Dataset 3
very_narrow_335_340,SVR-RBF,0.010061064554227787,0.006209573980826604,4,17.255859375,0.01064550899522351,18,Cell51,Dataset 3
full_27_36,ElasticNet,0.01190613537142628,0.010559751607972487,4,2.198486328125,0.012182995327367408,18,Cell51,Dataset 3
paper_335_350,KNN,0.011556258034606928,0.008187918421116058,4,26.0419921875,0.012318368041789103,18,Cell51,Dataset 3
full_27_36,Ridge,0.012769771531523894,0.011598329972478557,4,2.1162109375,0.013060058529298427,18,Cell51,Dataset 3
full_27_36,KNN,0.013051732533479654,0.008035650584609902,4,26.0009765625,0.01391206959964777,18,Cell51,Dataset 3
full_27_36,SVR-RBF,0.014139013315415807,0.006361204921386989,4,16.9208984375,0.01495510798558773,18,Cell51,Dataset 3
very_narrow_335_340,KNN,0.014688990877691566,0.009974979728331109,4,26.1240234375,0.015658587607003723,18,Cell51,Dataset 3
paper_335_350,RandomForest,0.0027503658035387723,0.0016358089988563276,4,3349.068359375,0.0031968456678257338,18,Cell52,Dataset 3
paper_335_350,ExtraTrees,0.0027173447728794506,0.0017236523222488428,4,12085.634765625,0.00322819774011299,18,Cell52,Dataset 3
very_narrow_335_340,ExtraTrees,0.0028194055058588527,0.0017781932155717817,4,12086.103515625,0.0033494477828817618,18,Cell52,Dataset 3
very_narrow_335_340,RandomForest,0.00294827640819124,0.001781668761711937,4,3346.654296875,0.003426841529256423,18,Cell52,Dataset 3
medium_32_35,RandomForest,0.003441187316634002,0.002102608418347479,4,3346.83984375,0.003999765700418421,18,Cell52,Dataset 3
narrow_33_345,RandomForest,0.0035475988518064187,0.0021202375768173873,4,3345.974609375,0.004123431766626384,18,Cell52,Dataset 3
paper_335_350,XGBoost,0.0036841418795627674,0.0022833025910084983,4,573.422607421875,0.00415227586866776,18,Cell52,Dataset 3
narrow_33_345,ExtraTrees,0.0035422633273219433,0.0022468112944110017,4,12086.619140625,0.004208204369339445,18,Cell52,Dataset 3
medium_32_35,ExtraTrees,0.0036225393549347055,0.0022966009085138408,4,12093.53125,0.004303613606958619,18,Cell52,Dataset 3
full_27_36,RandomForest,0.003750111105097375,0.0022145500541608503,4,3351.734375,0.004358944007321988,18,Cell52,Dataset 3
very_narrow_335_340,XGBoost,0.0039087636571559035,0.002391913513016972,4,579.176513671875,0.004406218904935077,18,Cell52,Dataset 3
medium_32_35,XGBoost,0.004201888922287914,0.0025272855691624544,4,580.262939453125,0.004736806460091025,18,Cell52,Dataset 3
full_27_36,XGBoost,0.004358664560509455,0.002769880321968914,4,596.766845703125,0.004915980914549133,18,Cell52,Dataset 3
full_27_36,ExtraTrees,0.004210202735280172,0.0025543038534443794,4,12083.58984375,0.005001694439187056,18,Cell52,Dataset 3
paper_335_350,ElasticNet,0.004981923088147461,0.0042591991636229684,4,2.2392578125,0.005099032579600168,18,Cell52,Dataset 3
narrow_33_345,XGBoost,0.004685459386420818,0.0028022727487941623,4,581.0390625,0.005282062450108562,18,Cell52,Dataset 3
very_narrow_335_340,ElasticNet,0.005486660501855076,0.004203345100423032,4,2.3212890625,0.005618379087463085,18,Cell52,Dataset 3
narrow_33_345,ElasticNet,0.005626145232332436,0.004900609372283706,4,2.239501953125,0.0057584068598824575,18,Cell52,Dataset 3
paper_335_350,HistGB,0.005525085083979659,0.0034245897548079844,4,355.806640625,0.0061745250234233285,18,Cell52,Dataset 3
very_narrow_335_340,CatBoost,0.005767594089795394,0.004096639789508246,4,202.318359375,0.006380663159359191,18,Cell52,Dataset 3
medium_32_35,HistGB,0.005727229064971193,0.0034005748619073445,4,353.890625,0.00639981304204571,18,Cell52,Dataset 3
paper_335_350,Ridge,0.0063148188782339194,0.005477862446620679,4,2.1572265625,0.006460021062221376,18,Cell52,Dataset 3
medium_32_35,LightGBM,0.006064791849394624,0.0036323772879376824,4,455.981201171875,0.006807685457936765,18,Cell52,Dataset 3
paper_335_350,LightGBM,0.006092773413076267,0.003846410126131977,4,457.187744140625,0.00683941586744961,18,Cell52,Dataset 3
very_narrow_335_340,LightGBM,0.006140118252074434,0.003781003826991431,4,452.824462890625,0.006891387567370092,18,Cell52,Dataset 3
very_narrow_335_340,HistGB,0.006239537351707554,0.0038968105337987033,4,354.076171875,0.006972350090640082,18,Cell52,Dataset 3
very_narrow_335_340,Ridge,0.006998371693349611,0.00430002465598121,4,2.2392578125,0.007162881609601641,18,Cell52,Dataset 3
medium_32_35,ElasticNet,0.0070070597125358805,0.006505338862915783,4,2.225830078125,0.007171191720670823,18,Cell52,Dataset 3
full_27_36,HistGB,0.006573399628687192,0.004181114536810705,4,356.5283203125,0.007346328166990168,18,Cell52,Dataset 3
narrow_33_345,HistGB,0.006591552748519905,0.004118640615385207,4,352.5859375,0.0073651540636850395,18,Cell52,Dataset 3
full_27_36,LightGBM,0.006797467819309349,0.004126260549396131,4,457.691650390625,0.007630616891109693,18,Cell52,Dataset 3
narrow_33_345,LightGBM,0.006976538846148263,0.004410396135704458,4,454.4677734375,0.007830652074219775,18,Cell52,Dataset 3
paper_335_350,CatBoost,0.007079430757073471,0.005074107457654345,4,202.34375,0.007831959789884862,18,Cell52,Dataset 3
narrow_33_345,CatBoost,0.007243957068439355,0.005690594579866473,4,202.125,0.00801381897243712,18,Cell52,Dataset 3
