dataset,protocol,test_cell,row_index,cycle_number,measurement_source,model,window,mode,availability,true_soh,pred_soh,abs_error,feature_assembly_time_ms,inference_time_ms,total_update_time_ms,model_size_kb,n_experts,measurement_val_rmse
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,0,0.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,1.0,1.0015494308856445,0.0015494308856445205,0.0,6.195548000050621,6.195548000050621,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,1,0.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.997733465354695,0.9945667979275206,0.003166667427174419,0.0,2.5752990000000864,2.5752990000000864,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,2,68.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9932091247897517,0.9910339582230665,0.0021751665666851494,0.0,2.394559000094887,2.394559000094887,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,3,130.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9909524191296388,0.9896410535338562,0.0013113655957825987,0.0,2.322738999964713,2.322738999964713,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,4,194.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.98845827746154,0.9889042561554743,0.00044597869393425693,0.0,2.3185590000593947,2.3185590000593947,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,5,257.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.986010199992712,1.008890258049406,0.022880058056693908,0.0,2.257819000078598,2.257819000078598,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,6,322.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9836136880208226,0.9888382312704521,0.00522454324962951,0.0,2.2234190000745,2.2234190000745,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,7,388.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9812812845045976,0.9788353861112415,0.002445898393356072,0.0,2.206118999993123,2.206118999993123,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,8,454.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9782670134782528,0.9712487955884421,0.007018217889810718,0.0,2.254829999969843,2.254829999969843,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,9,521.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9763861564758298,0.9796592812913008,0.003273124815470929,0.0,2.259479000031206,2.259479000031206,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,10,588.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9739146801541868,0.9741942075719069,0.0002795274177200824,0.0,2.3185880000937686,2.3185880000937686,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,11,654.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.972318570319827,0.9678696973207646,0.004448872999062492,0.0,5.156078000027264,5.156078000027264,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,12,721.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.969576210100282,0.9730937887366188,0.0035175786363367267,0.0,3.5731680000026245,3.5731680000026245,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,13,788.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9680450155785733,0.977853517983013,0.009808502404439756,0.0,2.5743390000343425,2.5743390000343425,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,14,854.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9657280156958624,0.9704389200688969,0.004710904373034452,0.0,2.264749000005395,2.264749000005395,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,15,921.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.963999874717116,0.9789520860614285,0.01495221134431246,0.0,3.431448000014825,3.431448000014825,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,16,987.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9620043706709784,0.9745572968807437,0.012552926209765225,0.0,10.563614999909987,10.563614999909987,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,17,1053.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9597059284991188,0.9741816658071815,0.01447573730806262,0.0,3.3691689999386654,3.3691689999386654,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,18,1129.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9574626460053548,0.9717476710062132,0.014285025000858376,0.0,2.5068290000263005,2.5068290000263005,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,19,1203.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9552010992032866,0.9723665241700367,0.01716542496675011,0.0,2.161639000064497,2.161639000064497,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,20,1270.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9533071124370616,0.972952040929544,0.01964492849248245,0.0,2.05727900004149,2.05727900004149,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,21,1337.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9506288606731808,0.9492417780370473,0.0013870826361334077,0.0,2.04197900006875,2.04197900006875,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,22,1405.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9492707003012548,0.971753584783279,0.02248288448202418,0.0,2.834939000081249,2.834939000081249,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,23,1472.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9471227002833592,0.9664110731261366,0.0192883728427774,0.0,3.4363290000101188,3.4363290000101188,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,24,1537.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.945003380364045,0.9571626790381581,0.01215929867411314,0.0,2.341379000085908,2.341379000085908,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,25,1612.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9435202305087722,0.9465295253947669,0.003009294885994662,0.0,2.7848490000224047,2.7848490000224047,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,26,1679.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.941828618146642,0.9878230619762323,0.04599444382959028,0.0,2.467849000026945,2.467849000026945,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,27,1745.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9396039667143572,0.9657404043635202,0.026136437649162958,0.0,2.3399090000566503,2.3399090000566503,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,28,1812.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.937486700612854,0.965359287397404,0.027872586784549958,0.0,2.2428889999446255,2.2428889999446255,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,29,1876.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9361006669993338,0.9672450152486093,0.031144348249275478,0.0,2.4384289999943576,2.4384289999943576,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,30,1943.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9335597276256146,0.9428395243677996,0.009279796742185042,0.0,2.2658390000742656,2.2658390000742656,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,31,2011.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9317008024632888,0.9768506713322427,0.04514986886895389,0.0,2.4659480000082112,2.4659480000082112,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,32,2079.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9298218525773948,0.9740328528288965,0.04421100025150171,0.0,2.3289890000341984,2.3289890000341984,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,33,2147.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9278246614666464,0.9701952912785158,0.04237062981186934,0.0,2.2988389999909487,2.2988389999909487,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,34,2215.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9254009364088848,0.9703899465600537,0.04498901015116896,0.0,2.2908490000190795,2.2908490000190795,846.8583984375,1,
Dataset 3,Kadem-style_GPR-EKF_Colab,Cell51,35,2292.0,Kadem-style GPR-EKF::paper_335_350,Kadem-style GPR-EKF,paper_335_350,measurement_update,1.0,0.9232756017374448,0.958961514660998,0.035685912923553165,0.0,3.1474090000074284,3.1474090000074284,846.8583984375,1,
