window,feature
full_27_36,cycle_number
full_27_36,temp_mean
full_27_36,temp_max
full_27_36,pmax_full_27_36
full_27_36,pmax_voltage_full_27_36
full_27_36,ic_area_full_27_36
full_27_36,ic_mean_full_27_36
full_27_36,ic_std_full_27_36
full_27_36,peak_width_full_27_36
full_27_36,q_delta_window_full_27_36
full_27_36,charge_time_window_full_27_36
full_27_36,dva_mean_full_27_36
full_27_36,dva_std_full_27_36
full_27_36,dva_abs_mean_full_27_36
full_27_36,temp_mean_window_full_27_36
full_27_36,temp_max_window_full_27_36
full_27_36,pmax_norm_full_27_36
medium_32_35,cycle_number
medium_32_35,temp_mean
medium_32_35,temp_max
medium_32_35,pmax_medium_32_35
medium_32_35,pmax_voltage_medium_32_35
medium_32_35,ic_area_medium_32_35
medium_32_35,ic_mean_medium_32_35
medium_32_35,ic_std_medium_32_35
medium_32_35,peak_width_medium_32_35
medium_32_35,q_delta_window_medium_32_35
medium_32_35,charge_time_window_medium_32_35
medium_32_35,dva_mean_medium_32_35
medium_32_35,dva_std_medium_32_35
medium_32_35,dva_abs_mean_medium_32_35
medium_32_35,temp_mean_window_medium_32_35
medium_32_35,temp_max_window_medium_32_35
medium_32_35,pmax_norm_medium_32_35
narrow_33_345,cycle_number
narrow_33_345,temp_mean
narrow_33_345,temp_max
narrow_33_345,pmax_narrow_33_345
narrow_33_345,pmax_voltage_narrow_33_345
narrow_33_345,ic_area_narrow_33_345
narrow_33_345,ic_mean_narrow_33_345
narrow_33_345,ic_std_narrow_33_345
narrow_33_345,peak_width_narrow_33_345
narrow_33_345,q_delta_window_narrow_33_345
narrow_33_345,charge_time_window_narrow_33_345
narrow_33_345,dva_mean_narrow_33_345
narrow_33_345,dva_std_narrow_33_345
narrow_33_345,dva_abs_mean_narrow_33_345
narrow_33_345,temp_mean_window_narrow_33_345
narrow_33_345,temp_max_window_narrow_33_345
narrow_33_345,pmax_norm_narrow_33_345
paper_335_350,cycle_number
paper_335_350,temp_mean
paper_335_350,temp_max
paper_335_350,pmax_paper_335_350
paper_335_350,pmax_voltage_paper_335_350
paper_335_350,ic_area_paper_335_350
paper_335_350,ic_mean_paper_335_350
paper_335_350,ic_std_paper_335_350
paper_335_350,peak_width_paper_335_350
paper_335_350,q_delta_window_paper_335_350
paper_335_350,charge_time_window_paper_335_350
paper_335_350,dva_mean_paper_335_350
paper_335_350,dva_std_paper_335_350
paper_335_350,dva_abs_mean_paper_335_350
paper_335_350,temp_mean_window_paper_335_350
paper_335_350,temp_max_window_paper_335_350
paper_335_350,pmax_norm_paper_335_350
very_narrow_335_340,cycle_number
very_narrow_335_340,temp_mean
very_narrow_335_340,temp_max
very_narrow_335_340,pmax_very_narrow_335_340
very_narrow_335_340,pmax_voltage_very_narrow_335_340
very_narrow_335_340,ic_area_very_narrow_335_340
very_narrow_335_340,ic_mean_very_narrow_335_340
very_narrow_335_340,ic_std_very_narrow_335_340
very_narrow_335_340,peak_width_very_narrow_335_340
very_narrow_335_340,q_delta_window_very_narrow_335_340
very_narrow_335_340,charge_time_window_very_narrow_335_340
very_narrow_335_340,dva_mean_very_narrow_335_340
very_narrow_335_340,dva_std_very_narrow_335_340
very_narrow_335_340,dva_abs_mean_very_narrow_335_340
very_narrow_335_340,temp_mean_window_very_narrow_335_340
very_narrow_335_340,temp_max_window_very_narrow_335_340
very_narrow_335_340,pmax_norm_very_narrow_335_340
