experiment,window,test_cell,model,exclude_outliers,n_features,n_experts,RMSE,MAE,R2
MAW-GME,adaptive_all_windows,Cell51,MAW-GME,False,85,25,0.004285053745999256,0.0026590922152022987,0.993871113855087
MAW-GME,adaptive_all_windows,Cell52,MAW-GME,False,85,25,0.0022821083671501407,0.0018959945974645267,0.9981823978035063
MAW-GME,adaptive_all_windows,Cell53,MAW-GME,False,85,25,0.001389361756406758,0.0008548801007680667,0.9993331817400269
MAW-GME,adaptive_all_windows,Cell54,MAW-GME,False,85,25,0.001727876347482412,0.0013703114513345363,0.998942385076708
MAW-GME,adaptive_all_windows,Cell55,MAW-GME,False,85,25,0.004976127081468487,0.003801454299071755,0.9908878980336164
MAW-GME,adaptive_all_windows,Cell51,MAW-GME,True,85,25,0.004285053745999276,0.0026590922152023395,0.993871113855087
MAW-GME,adaptive_all_windows,Cell52,MAW-GME,True,85,25,0.0022821083671502535,0.0018959945974646568,0.998182397803506
MAW-GME,adaptive_all_windows,Cell53,MAW-GME,True,85,25,0.0013893617564067447,0.0008548801007680878,0.999333181740027
MAW-GME,adaptive_all_windows,Cell54,MAW-GME,True,85,25,0.0017278763474825275,0.0013703114513346703,0.9989423850767079
MAW-GME,adaptive_all_windows,Cell55,MAW-GME,True,85,25,0.004976127081468706,0.0038014542990720004,0.9908878980336157
