experiment,window,test_cell,model,exclude_outliers,n_train,n_val,n_test,n_features,seq_len,RMSE,MAE,R2
MultiHI-DeepSequence,full_27_36,Cell51,LSTM,True,162,53,53,17,5,0.05930346036238899,0.04354569629590004,-0.24675775109382436
MultiHI-DeepSequence,full_27_36,Cell51,GRU,True,162,53,53,17,5,0.09200653392130612,0.065589390786918,-2.0009540587354273
MultiHI-DeepSequence,full_27_36,Cell51,TCN,True,162,53,53,17,5,0.08725850865088829,0.07331268248558451,-1.6992156214523617
MultiHI-DeepSequence,full_27_36,Cell51,TransformerEncoder,True,162,53,53,17,5,0.12433687121956806,0.0920383503595168,-4.480521374175022
MultiHI-DeepSequence,full_27_36,Cell52,LSTM,True,161,53,54,17,5,0.02749961440483469,0.021338718696593383,0.7186448476525757
MultiHI-DeepSequence,full_27_36,Cell52,GRU,True,161,53,54,17,5,0.07349448727057678,0.050506574423589266,-1.0096072689157989
MultiHI-DeepSequence,full_27_36,Cell52,TCN,True,161,53,54,17,5,0.031246874487773357,0.024687721533276457,0.6367422990466562
MultiHI-DeepSequence,full_27_36,Cell52,TransformerEncoder,True,161,53,54,17,5,0.03841320879638085,0.022733111179895103,0.45101201730150464
MultiHI-DeepSequence,full_27_36,Cell53,LSTM,True,161,53,54,17,5,0.04650068348446408,0.031719321130244664,0.2063065812239505
MultiHI-DeepSequence,full_27_36,Cell53,GRU,True,161,53,54,17,5,0.06031011049430578,0.04505403830100495,-0.3351017180354121
MultiHI-DeepSequence,full_27_36,Cell53,TCN,True,161,53,54,17,5,0.05381522263328693,0.038193784008237947,-0.06302722928453575
MultiHI-DeepSequence,full_27_36,Cell53,TransformerEncoder,True,161,53,54,17,5,0.015388021548884767,0.012622119496323447,0.9130840106386614
MultiHI-DeepSequence,full_27_36,Cell54,LSTM,True,161,53,54,17,5,0.021780711955396295,0.015981369710396803,0.8208003876013265
MultiHI-DeepSequence,full_27_36,Cell54,GRU,True,161,53,54,17,5,0.061467858789104664,0.04909876343690139,-0.42721398462478355
MultiHI-DeepSequence,full_27_36,Cell54,TCN,True,161,53,54,17,5,0.10436095616450977,0.09351628282260639,-3.1140448479648493
MultiHI-DeepSequence,full_27_36,Cell54,TransformerEncoder,True,161,53,54,17,5,0.010581141422790544,0.008597987589151057,0.957708025590407
MultiHI-DeepSequence,full_27_36,Cell55,LSTM,True,161,54,53,17,5,0.04068176312856766,0.02973058063886068,0.34685924005840063
MultiHI-DeepSequence,full_27_36,Cell55,GRU,True,161,54,53,17,5,0.0647840789144781,0.04630493595822266,-0.6563184156193369
MultiHI-DeepSequence,full_27_36,Cell55,TCN,True,161,54,53,17,5,0.08893062665468189,0.0797913414708688,-2.121116350952475
MultiHI-DeepSequence,full_27_36,Cell55,TransformerEncoder,True,161,54,53,17,5,0.023469188562366582,0.014318579002770008,0.782628099598669
MultiHI-DeepSequence,medium_32_35,Cell51,LSTM,True,162,53,53,17,5,0.02699778514535903,0.022089686259269232,0.7416084661013235
MultiHI-DeepSequence,medium_32_35,Cell51,GRU,True,162,53,53,17,5,0.06198839197838134,0.05262237265341124,-0.36220587077319033
MultiHI-DeepSequence,medium_32_35,Cell51,TCN,True,162,53,53,17,5,0.08170288085600466,0.06762378914329427,-1.3664468058959627
MultiHI-DeepSequence,medium_32_35,Cell51,TransformerEncoder,True,162,53,53,17,5,0.018146820206745854,0.01608483076649023,0.8832590886822996
MultiHI-DeepSequence,medium_32_35,Cell52,LSTM,True,161,53,54,17,5,0.028184851166341004,0.017997721291588317,0.7044485082470198
MultiHI-DeepSequence,medium_32_35,Cell52,GRU,True,161,53,54,17,5,0.130988319644625,0.10857814473954316,-5.383616754958917
MultiHI-DeepSequence,medium_32_35,Cell52,TCN,True,161,53,54,17,5,0.07933195589920641,0.06173112977158851,-1.3415206255348253
MultiHI-DeepSequence,medium_32_35,Cell52,TransformerEncoder,True,161,53,54,17,5,0.023138656940710017,0.019945101290465166,0.8008052176524348
MultiHI-DeepSequence,medium_32_35,Cell53,LSTM,True,161,53,54,17,5,0.04098215769150157,0.0336571044619531,0.38351325032936245
MultiHI-DeepSequence,medium_32_35,Cell53,GRU,True,161,53,54,17,5,0.05370390435488406,0.04596007505521452,-0.05863397524512304
MultiHI-DeepSequence,medium_32_35,Cell53,TCN,True,161,53,54,17,5,0.06391265552554838,0.05637306600602306,-0.49936659770919056
MultiHI-DeepSequence,medium_32_35,Cell53,TransformerEncoder,True,161,53,54,17,5,0.015099459161558615,0.013027792281698283,0.9163132137877816
MultiHI-DeepSequence,medium_32_35,Cell54,LSTM,True,161,53,54,17,5,0.03740577877998444,0.033439384059778816,0.47146917064816085
