exclude_outliers,scenario,model,RMSE,MAE,R2
False,all_windows_available,RandomForest,0.002717982637965784,0.0017028089701509584,0.9968583214613066
False,all_windows_available,ExtraTrees,0.0027539044233873882,0.001985904910992366,0.9967034381169905
False,all_windows_available,XGBoost,0.0031743844223737576,0.002027898170307231,0.99574127331266
False,all_windows_available,HistGB,0.004258780977059809,0.00251043997756025,0.99301439949753
False,all_windows_available,LightGBM,0.004811670783870065,0.0031050220241155843,0.990856606603489
False,all_windows_available,CatBoost,0.00679031645828834,0.005097774192520421,0.98196780187192
False,all_windows_available,Ridge,0.008672681094251792,0.007943809405084476,0.9671781196532964
False,ica_shape_features_missing,RandomForest,0.0026538830400294876,0.00167127389818041,0.9970243471698957
False,ica_shape_features_missing,ExtraTrees,0.0026707540255638948,0.0018958449160401138,0.996971140422571
False,ica_shape_features_missing,XGBoost,0.0031215731471102774,0.0020111064452699176,0.9959046078996752
False,ica_shape_features_missing,HistGB,0.004471718716800385,0.002631088253329702,0.9924709508698216
False,ica_shape_features_missing,LightGBM,0.004797823594036298,0.0030644496417574136,0.9911643420828256
False,ica_shape_features_missing,CatBoost,0.005979936188455839,0.004565433249811826,0.9858265603373357
False,ica_shape_features_missing,Ridge,0.007823005215118698,0.007362829212849078,0.9707445827859097
False,only_full_window,RandomForest,0.003265108724329114,0.001967283732895166,0.9958505895013605
False,only_full_window,ExtraTrees,0.0036753298050966193,0.002244061227519671,0.9947586621582474
False,only_full_window,XGBoost,0.004240037856840867,0.0028843116496335757,0.9933628049170601
False,only_full_window,HistGB,0.0056660236440096755,0.003365347377110019,0.9886120544229999
False,only_full_window,LightGBM,0.006073295294450465,0.003772425660584723,0.9869202424359329
False,only_full_window,CatBoost,0.006940426840820334,0.005338495593746278,0.9816499521409646
False,only_full_window,Ridge,0.01397525888846926,0.012526134544368971,0.9248177469145764
False,only_medium_window,RandomForest,0.002544801322527777,0.0015967525333076792,0.9972860094733462
False,only_medium_window,ExtraTrees,0.002802757781324027,0.0018143785472462502,0.9966529620425353
False,only_medium_window,XGBoost,0.0031181323639338466,0.0020396633756676165,0.9959837469918218
False,only_medium_window,HistGB,0.005177685145852591,0.002915330364239345,0.9902272055264852
False,only_medium_window,LightGBM,0.005506822891073723,0.0034176377498253987,0.9886695034645008
