scenario,description,exclude_outliers,feature,n_features
all_windows_available,All voltage-window features are available.,False,cycle_number,61
all_windows_available,All voltage-window features are available.,False,pmax_full_27_36,61
all_windows_available,All voltage-window features are available.,False,pmax_voltage_full_27_36,61
all_windows_available,All voltage-window features are available.,False,ic_area_full_27_36,61
all_windows_available,All voltage-window features are available.,False,ic_mean_full_27_36,61
all_windows_available,All voltage-window features are available.,False,ic_std_full_27_36,61
all_windows_available,All voltage-window features are available.,False,peak_width_full_27_36,61
all_windows_available,All voltage-window features are available.,False,q_delta_window_full_27_36,61
all_windows_available,All voltage-window features are available.,False,charge_time_window_full_27_36,61
all_windows_available,All voltage-window features are available.,False,dva_mean_full_27_36,61
all_windows_available,All voltage-window features are available.,False,dva_std_full_27_36,61
all_windows_available,All voltage-window features are available.,False,dva_abs_mean_full_27_36,61
all_windows_available,All voltage-window features are available.,False,pmax_norm_full_27_36,61
all_windows_available,All voltage-window features are available.,False,pmax_medium_32_35,61
all_windows_available,All voltage-window features are available.,False,pmax_voltage_medium_32_35,61
all_windows_available,All voltage-window features are available.,False,ic_area_medium_32_35,61
all_windows_available,All voltage-window features are available.,False,ic_mean_medium_32_35,61
all_windows_available,All voltage-window features are available.,False,ic_std_medium_32_35,61
all_windows_available,All voltage-window features are available.,False,peak_width_medium_32_35,61
all_windows_available,All voltage-window features are available.,False,q_delta_window_medium_32_35,61
all_windows_available,All voltage-window features are available.,False,charge_time_window_medium_32_35,61
all_windows_available,All voltage-window features are available.,False,dva_mean_medium_32_35,61
all_windows_available,All voltage-window features are available.,False,dva_std_medium_32_35,61
all_windows_available,All voltage-window features are available.,False,dva_abs_mean_medium_32_35,61
all_windows_available,All voltage-window features are available.,False,pmax_norm_medium_32_35,61
all_windows_available,All voltage-window features are available.,False,pmax_narrow_33_345,61
all_windows_available,All voltage-window features are available.,False,pmax_voltage_narrow_33_345,61
all_windows_available,All voltage-window features are available.,False,ic_area_narrow_33_345,61
all_windows_available,All voltage-window features are available.,False,ic_mean_narrow_33_345,61
all_windows_available,All voltage-window features are available.,False,ic_std_narrow_33_345,61
all_windows_available,All voltage-window features are available.,False,peak_width_narrow_33_345,61
all_windows_available,All voltage-window features are available.,False,q_delta_window_narrow_33_345,61
all_windows_available,All voltage-window features are available.,False,charge_time_window_narrow_33_345,61
all_windows_available,All voltage-window features are available.,False,dva_mean_narrow_33_345,61
