scenario,scenario_description,exclude_outliers,test_cell,window,model_name,n_features,val_rmse,weight
all_windows_available,All voltage-window features are available.,False,Cell51,full_27_36,Ridge,13,0.01840891993829933,0.00647052698853202
all_windows_available,All voltage-window features are available.,False,Cell51,full_27_36,ExtraTrees,13,0.0038328689677524976,0.031077286550899672
all_windows_available,All voltage-window features are available.,False,Cell51,full_27_36,RandomForest,13,0.0026998689781119953,0.0441188212365939
all_windows_available,All voltage-window features are available.,False,Cell51,full_27_36,HistGB,13,0.006854592312154012,0.01737744548426321
all_windows_available,All voltage-window features are available.,False,Cell51,full_27_36,XGBoost,13,0.0028504788489593412,0.04178773687862265
all_windows_available,All voltage-window features are available.,False,Cell51,full_27_36,LightGBM,13,0.007164684331378594,0.016625339824210102
all_windows_available,All voltage-window features are available.,False,Cell51,full_27_36,CatBoost,13,0.009959021379223559,0.01196054851722413
all_windows_available,All voltage-window features are available.,False,Cell51,medium_32_35,Ridge,13,0.01174570333821069,0.010141187220043856
all_windows_available,All voltage-window features are available.,False,Cell51,medium_32_35,ExtraTrees,13,0.0032962496120093783,0.036136558407530564
all_windows_available,All voltage-window features are available.,False,Cell51,medium_32_35,RandomForest,13,0.0026337638530600643,0.04522616011901172
all_windows_available,All voltage-window features are available.,False,Cell51,medium_32_35,HistGB,13,0.0055480664739927694,0.02146968927954185
all_windows_available,All voltage-window features are available.,False,Cell51,medium_32_35,XGBoost,13,0.001503800822521683,0.07920908415595834
all_windows_available,All voltage-window features are available.,False,Cell51,medium_32_35,LightGBM,13,0.005721553935055584,0.020818692117717936
all_windows_available,All voltage-window features are available.,False,Cell51,medium_32_35,CatBoost,13,0.006978359556060039,0.01706924189652877
all_windows_available,All voltage-window features are available.,False,Cell51,narrow_33_345,Ridge,13,0.009754245718632376,0.01221164191627958
all_windows_available,All voltage-window features are available.,False,Cell51,narrow_33_345,ExtraTrees,13,0.0037617015536718207,0.03166523437436128
all_windows_available,All voltage-window features are available.,False,Cell51,narrow_33_345,RandomForest,13,0.003795882205904732,0.03138010025955685
all_windows_available,All voltage-window features are available.,False,Cell51,narrow_33_345,HistGB,13,0.006287390108417696,0.018945108620697884
all_windows_available,All voltage-window features are available.,False,Cell51,narrow_33_345,XGBoost,13,0.0018839712864797062,0.06322540401573357
all_windows_available,All voltage-window features are available.,False,Cell51,narrow_33_345,LightGBM,13,0.006059216764994533,0.01965852783129307
all_windows_available,All voltage-window features are available.,False,Cell51,narrow_33_345,CatBoost,13,0.008210613974051524,0.01450748181529296
all_windows_available,All voltage-window features are available.,False,Cell51,paper_335_350,Ridge,13,0.010095523772625993,0.011798829133605807
all_windows_available,All voltage-window features are available.,False,Cell51,paper_335_350,ExtraTrees,13,0.0036456439221507603,0.03267328181427833
all_windows_available,All voltage-window features are available.,False,Cell51,paper_335_350,RandomForest,13,0.0032214341003445972,0.03697580162356974
all_windows_available,All voltage-window features are available.,False,Cell51,paper_335_350,HistGB,13,0.007023100362294917,0.016960502092528414
all_windows_available,All voltage-window features are available.,False,Cell51,paper_335_350,XGBoost,13,0.0022371763063865464,0.05324343245608078
all_windows_available,All voltage-window features are available.,False,Cell51,paper_335_350,LightGBM,13,0.007152881735389694,0.016652772389441378
all_windows_available,All voltage-window features are available.,False,Cell51,paper_335_350,CatBoost,13,0.009319708963341321,0.012781016086890182
all_windows_available,All voltage-window features are available.,False,Cell51,very_narrow_335_340,Ridge,13,0.00840300843209045,0.01417532032785606
all_windows_available,All voltage-window features are available.,False,Cell51,very_narrow_335_340,ExtraTrees,13,0.002465841698600594,0.04830601859120751
all_windows_available,All voltage-window features are available.,False,Cell51,very_narrow_335_340,RandomForest,13,0.002162280721027491,0.05508763314636936
all_windows_available,All voltage-window features are available.,False,Cell51,very_narrow_335_340,HistGB,13,0.006749020449186527,0.01764927257219859
all_windows_available,All voltage-window features are available.,False,Cell51,very_narrow_335_340,XGBoost,13,0.0020483952733710677,0.05815034726977253
all_windows_available,All voltage-window features are available.,False,Cell51,very_narrow_335_340,LightGBM,13,0.006911985355874011,0.01723315364998519
all_windows_available,All voltage-window features are available.,False,Cell51,very_narrow_335_340,CatBoost,13,0.00691292896730553,0.01723080133632205
all_windows_available,All voltage-window features are available.,False,Cell52,full_27_36,Ridge,13,0.021539934772171716,0.008500400955565306
all_windows_available,All voltage-window features are available.,False,Cell52,full_27_36,ExtraTrees,13,0.004787612906609993,0.03824406614635404
all_windows_available,All voltage-window features are available.,False,Cell52,full_27_36,RandomForest,13,0.005126972073893669,0.03571265990113734
all_windows_available,All voltage-window features are available.,False,Cell52,full_27_36,HistGB,13,0.008504019668175962,0.021530753568439195
all_windows_available,All voltage-window features are available.,False,Cell52,full_27_36,XGBoost,13,0.005055725916232616,0.03621592784075472
