dataset,test_cell,availability_prob,seed,paper_pmax_window,paper_gpr_ekf_rmse,paper_gpr_ekf_mae,RMSE,MAE,R2,n_updates,n_prediction_only,mean_update_time_ms,median_update_time_ms,p95_update_time_ms
Dataset 2,Cell1,1.0,42,very_narrow_38_39,0.0045,0.0034,0.017123313501574138,0.010686332031376066,0.9379789037107719,78,0,2.029974961516974,2.170179999893662,2.269081149802332
Dataset 2,Cell1,0.8,42,very_narrow_38_39,0.0045,0.0034,0.01844466976712156,0.011609553073917768,0.9280376080091708,66,12,1.6950455000520985,1.7984599999181228,1.8967205001217733
Dataset 2,Cell1,0.8,43,very_narrow_38_39,0.0045,0.0034,0.01733625806722735,0.010542069383612847,0.9364267302357792,61,17,1.663689999998333,1.8291694998424646,1.9715669997594887
Dataset 2,Cell1,0.8,44,very_narrow_38_39,0.0045,0.0034,0.01784312001416096,0.011775178317743296,0.9326549909310782,63,15,1.6843337051422844,1.8440050000663177,1.957585999980438
Dataset 2,Cell1,0.8,45,very_narrow_38_39,0.0045,0.0034,0.01695273537956505,0.010654040743397099,0.9392084259366502,65,13,1.6729219615300304,1.8152699999518518,1.896303650005393
Dataset 2,Cell1,0.8,46,very_narrow_38_39,0.0045,0.0034,0.01820352103588905,0.011589856367130188,0.929907004158197,66,12,1.6841362307728467,1.813828999956968,1.9004620001624062
Dataset 2,Cell1,0.8,47,very_narrow_38_39,0.0045,0.0034,0.016841095060480083,0.010155957188860412,0.940006461622782,60,18,1.6092860640781463,1.7578140002569853,1.9564949999448797
Dataset 2,Cell1,0.8,48,very_narrow_38_39,0.0045,0.0034,0.018810923596084793,0.012011375656122212,0.9251513345158935,65,13,1.6510709358732503,1.7570549998708884,1.9303011499459897
Dataset 2,Cell1,0.8,49,very_narrow_38_39,0.0045,0.0034,0.01715669669616701,0.010442769567130451,0.937736838343279,61,17,1.62240853845875,1.7430150001018774,1.9748293498878409
Dataset 2,Cell1,0.8,50,very_narrow_38_39,0.0045,0.0034,0.01835143138402014,0.011371278335935915,0.9287633134183277,63,15,1.6941496153555282,1.8203249999260152,2.091837350167225
Dataset 2,Cell1,0.8,51,very_narrow_38_39,0.0045,0.0034,0.016598923142588304,0.01014502385436345,0.9417194487878582,62,16,1.6629721922888563,1.8278790000749723,1.9741939999676106
Dataset 2,Cell1,0.6,42,very_narrow_38_39,0.0045,0.0034,0.018843892007593965,0.011958623667523803,0.9248887419843056,45,33,1.4418212179360779,1.797990000113714,1.8893799999659675
Dataset 2,Cell1,0.6,43,very_narrow_38_39,0.0045,0.0034,0.01601647815506057,0.009427346730031587,0.945737740495074,52,26,1.5651740768997768,1.794984500065766,2.0100215000866224
